Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ab:a0:de:a8,00:1a:ab:a0:de:a9,00:1a:ac:a0:de:f9,00:1a:ac:a0:de:h2,00:1a:ac:a0:de:h5,00:1a:ac:a0:de:j5,00:1a:ac:a0:de:k3,00:1a:ac:a0:de:k4,00:1a:ac:a0:de:l9,00:1a:ac:a0:de:n6,00:1a:ac:a0:de:r9,00:1a:ac:a0:de:s6,00:1a:ac:a0:de:s7,00:1a:ac:a0:de:t3,00:1a:ac:a0:de:x3,00:1a:ac:a0:de:x4,00:1a:ab:a0:de:a1,00:1a:ac:a0:de:b5,00:1a:ac:a0:de:b7,00:1a:ac:a0:de:b8,00:1a:ac:a0:de:d3,00:1a:ac:a0:de:f6,00:1a:ac:a0:de:g9,00:1a:ac:a0:de:h4,00:1a:ac:a0:de:i1,00:1a:ac:a0:de:i2,00:1a:ac:a0:de:i8,00:1a:ac:a0:de:k7,00:1a:ac:a0:de:k8,00:1a:ac:a0:de:l2,00:1a:ac:a0:de:m2,00:1a:ac:a0:de:m3,00:1a:ac:a0:de:p1,00:1a:ac:a0:de:p2,00:1a:ac:a0:de:p3,00:1a:ac:a0:de:p4,00:1a:ac:a0:de:p5,00:1a:ac:a0:de:p6,00:1a:ac:a0:de:p7,00:1a:ac:a0:de:p8,00:1a:ac:a0:de:r2,00:1a:ac:a0:de:r5,00:1a:ac:a0:de:r6,00:1a:ac:a0:de:s2,00:1a:ac:a0:de:s3,00:1a:ac:a0:de:s4,00:1a:ac:a0:de:s5,00:1a:ac:a0:de:t5,00:1a:ac:a0:de:t7,00:1a:ac:a0:de:t8,00:1a:ac:a0:de:t9,00:1a:ac:a0:de:u1,00:1a:ac:a0:de:u2,00:1a:ac:a0:de:u3,00:1a:ac:a0:de:u4,00:1a:ac:a0:de:u5,00:1a:ac:a0:de:v8,00:1a:ac:a0:de:w2,00:1a:ac:a0:de:w3,00:1a:ac:a0:de:w8,00:1a:ac:a0:de:w9,00:1a:ac:a0:de:x1,00:1a:ac:a0:de:x2,00:1a:ac:a0:de:b6,00:1a:ac:a0:de:f3,00:1a:ac:a0:de:n4,00:1a:ac:a0:de:r1,00:1a:ac:a0:de:s1,00:1a:ac:a0:de:t1,00:1a:ac:a0:de:v7,00:1a:ac:a0:de:w7,00:1a:ab:a0:de:a4,00:1a:ac:a0:de:e8,00:1a:ac:a0:de:j8,00:1a:ac:a0:de:k9,00:1a:ac:a0:de:n3,00:1a:ac:a0:de:n8,00:1a:ac:a0:de:w6,00:1a:ac:a0:de:b3,00:1a:ac:a0:de:f5,00:1a:ac:a0:de:f8,00:1a:ac:a0:de:g5,00:1a:ac:a0:de:g8,00:1a:ac:a0:de:h3,00:1a:ac:a0:de:h6,00:1a:ac:a0:de:j7,00:1a:ac:a0:de:d5,00:1a:ac:a0:de:e9,00:1a:ac:a0:de:v1,00:1a:ab:a0:de:a2,00:1a:ac:a0:de:h9,00:1a:ac:a0:de:i6,00:1a:ac:a0:de:k2,00:1a:ac:a0:de:n9,00:1a:ac:a0:de:t6,00:1a:ac:a0:de:d4,00:1a:ac:a0:de:j9,00:1a:ac:a0:de:f7,00:1a:ac:a0:de:l8,90:9f:33:a4:06:5c,00:1a:ab:a0:de:a7,00:1a:ac:a0:de:g7,00:1a:ac:a0:de:j6,00:1a:ac:a0:de:l1,00:1a:ac:a0:de:b1,00:1a:ac:a0:de:n5,00:1a:ac:a0:de:t2,00:1a:ac:a0:de:l7,00:1a:ac:a0:de:n7,00:1a:ac:a0:de:r3,00:1a:ac:a0:de:t4,00:1a:ac:a0:de:k1,00:1a:ac:a0:de:v9,00:1a:ac:a0:de:j1,00:1a:ac:a0:de:r4,00:1a:ac:a0:de:w1,00:1a:ac:a0:de:r7,00:1a:ac:a0:de:b4,00:1a:ac:a0:de:e1,00:1a:ac:a0:de:e4,00:1a:ac:a0:de:w4,00:1a:ac:a0:de:g1,00:1a:ac:a0:de:d2,00:1a:ac:a0:de:c9,00:1a:ac:a0:de:j2,00:1a:ac:a0:de:i7,00:1a:ac:a0:de:m4,00:1a:ac:a0:de:r8,00:1a:ac:a0:de:w5,00:1a:ac:a0:de:q2,00:1a:ac:a0:de:u8,00:1a:ac:a0:de:c1,00:1a:ac:a0:de:c2,00:1a:ac:a0:de:m5,00:1a:ac:a0:de:m6,00:1a:ac:a0:de:q5,00:1a:ac:a0:de:q6,00:1a:ac:a0:de:v3,00:1a:ac:a0:de:v2,00:1a:ac:a0:de:q4,00:1a:ac:a0:de:p9,00:1a:ac:a0:de:q3,00:1a:ac:a0:de:q7,00:1a:ac:a0:de:u9,00:1a:ac:a0:de:v4,00:1a:ac:a0:de:s8,00:1a:ac:a0:de:u6,00:1a:ac:a0:de:x5,00:1a:ac:a0:de:q1,00:1a:ac:a0:de:s9,00:1a:ac:a0:de:u7,00:1a:ac:a0:de:k5,00:1a:ac:a0:de:q8,00:1a:ac:a0:de:q9,00:1a:ac:a0:de:v6,00:1a:ac:a0:de:v5
2021.02.13 184615,25.0,24.0,36.45451275221239,3.9658406628318583,-39.702477327433634,0.2690063095079646,0.728749447079646,9.672785495575223,-0.002995493842566372,-0.005910045624778762,0.0002917826415929214,-0.07513803062317642,-0.02776813413741772,-1.3899237772004793,1015.1444876991152,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-52.0,-68.0,-100.0,-58.0,-68.0,-100.0,-100.0,-79.0,-93.0,-100.0,-69.0,-70.0,-100.0,-73.0,-44.0,-100.0,-100.0,-100.0,-62.0,-100.0,-100.0,-56.0,-74.0,-81.0,-100.0,-39.0,-51.0,-55.0,-75.0,-80.0,-100.0,-100.0,-56.0,-72.0,-38.0,-53.0,-58.0,-56.0,-73.0,-80.0,-100.0,-39.0,-51.0,-55.0,-75.0,-80.0,-100.0,-100.0,-56.0,-72.0,-37.0,-53.0,-100.0,-100.0,-100.0,-64.0,-83.0,-100.0,-64.0,-82.0,-66.0,-100.0,-100.0,-100.0,-68.0,-58.0,-100.0,-70.0,-100.0,-61.0,-100.0,-85.0,-52.0,-100.0,-78.0,-100.0,-75.0,-100.0,-100.0,-68.0,-100.0,-100.0,-85.0,-84.0,-77.0,-100.0,-63.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.13 184626,26.0,24.0,36.687026558558564,5.9935133990991005,-36.45135091891892,0.23481149381981983,0.5754456152252252,9.676343009009006,0.0018397555846846837,-0.004748607768468468,0.00316342909027027,-0.059365161300242435,-0.024183249429837333,-1.3583740747726716,1015.1441009909912,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-100.0,-100.0,-70.0,-72.0,-58.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.0,-70.0,-100.0,-74.0,-50.0,-100.0,-100.0,-100.0,-65.0,-100.0,-100.0,-48.0,-77.0,-83.0,-100.0,-44.0,-56.0,-57.0,-86.0,-81.0,-100.0,-100.0,-61.0,-75.0,-38.0,-53.0,-65.0,-49.0,-76.0,-82.0,-100.0,-45.0,-56.0,-57.0,-85.0,-81.0,-100.0,-90.0,-61.0,-75.0,-39.0,-53.0,-100.0,-72.0,-100.0,-55.0,-80.0,-100.0,-63.0,-80.0,-65.0,-56.0,-85.0,-64.0,-100.0,-65.0,-100.0,-69.0,-100.0,-64.0,-100.0,-86.0,-55.0,-100.0,-100.0,-100.0,-76.0,-100.0,-100.0,-76.0,-100.0,-100.0,-86.0,-86.0,-100.0,-79.0,-100.0,-100.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.13 184757,34.0,24.0,41.8086201637931,-1.790689623275862,-33.84413750862068,0.20638235942241384,0.515801102327586,9.690042935344827,-0.0065628200957758625,-0.005165244746982759,0.0015203170801724143,-0.05318780651251813,-0.02128183009737198,-1.5717060596778476,1015.169041551724,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-100.0,-55.0,-70.0,-74.0,-57.0,-70.0,-75.0,-100.0,-71.0,-100.0,-100.0,-69.0,-61.0,-100.0,-100.0,-56.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-48.0,-69.0,-78.0,-100.0,-44.0,-60.0,-56.0,-78.0,-82.0,-73.0,-100.0,-58.0,-74.0,-40.0,-50.0,-61.0,-48.0,-70.0,-77.0,-100.0,-43.0,-60.0,-56.0,-78.0,-83.0,-100.0,-100.0,-58.0,-74.0,-40.0,-50.0,-100.0,-67.0,-100.0,-56.0,-82.0,-100.0,-53.0,-83.0,-73.0,-52.0,-100.0,-71.0,-75.0,-63.0,-100.0,-100.0,-71.0,-82.0,-100.0,-90.0,-58.0,-65.0,-76.0,-100.0,-72.0,-100.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.0,-100.0,-84.0,-79.0,-68.0,-76.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.13 184808,35.0,24.0,38.83578887719298,-5.348420964912279,-32.93105219298246,0.19866180136842104,0.7237850730701754,9.650061594736842,-0.0018852481557894742,-0.001711805308333333,0.005559677343157894,-0.0748687099600047,-0.020492446695642274,-1.644953467343983,1015.1741898245613,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-54.0,-100.0,-63.0,-100.0,-54.0,-63.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-60.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-38.0,-54.0,-100.0,-100.0,-58.0,-65.0,-61.0,-88.0,-78.0,-100.0,-100.0,-69.0,-76.0,-31.0,-40.0,-68.0,-38.0,-54.0,-100.0,-100.0,-58.0,-65.0,-61.0,-88.0,-78.0,-100.0,-100.0,-69.0,-76.0,-30.0,-39.0,-100.0,-100.0,-100.0,-51.0,-78.0,-100.0,-50.0,-78.0,-100.0,-100.0,-80.0,-81.0,-100.0,-68.0,-53.0,-56.0,-100.0,-92.0,-100.0,-83.0,-50.0,-60.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-85.0,-86.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.13 184819,36.0,24.0,33.43034431896552,-7.569827437931035,-30.944482422413788,0.2817813767327586,0.7471788665517242,9.662570737068965,-0.0038929177758620695,-0.005739247390086206,0.002715717284482758,-0.07713533497961428,-0.029096522944545785,-1.722587405607618,1015.1756773275862,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,-100.0,-59.0,-52.0,-69.0,-100.0,-51.0,-69.0,-56.0,-100.0,-100.0,-100.0,-100.0,-100.0,-53.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-41.0,-58.0,-100.0,-100.0,-53.0,-70.0,-100.0,-90.0,-77.0,-100.0,-100.0,-68.0,-73.0,-36.0,-45.0,-71.0,-42.0,-58.0,-100.0,-100.0,-52.0,-70.0,-100.0,-89.0,-77.0,-100.0,-100.0,-68.0,-73.0,-36.0,-46.0,-100.0,-77.0,-66.0,-43.0,-74.0,-65.0,-42.0,-74.0,-100.0,-63.0,-76.0,-100.0,-100.0,-71.0,-58.0,-56.0,-100.0,-100.0,-100.0,-82.0,-42.0,-66.0,-71.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-79.0,-100.0,-100.0,-85.0,-100.0,-100.0,-67.0,-90.0,-86.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.13 184830,37.0,24.0,24.108849238938053,-8.397344939823011,-28.30725625663717,0.22834601353451325,0.586830397079646,9.680201349557521,-0.002638705296194691,-0.0033098139716814163,0.0021622196865486733,-0.06061487148754888,-0.023672523747086973,-1.8354137102059558,1015.182492920354,-100.0,-100.0,-89.0,-67.0,-100.0,-100.0,-100.0,-100.0,-72.0,-100.0,-55.0,-51.0,-69.0,-65.0,-51.0,-69.0,-64.0,-100.0,-100.0,-100.0,-100.0,-88.0,-66.0,-100.0,-100.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-44.0,-60.0,-76.0,-100.0,-47.0,-72.0,-62.0,-84.0,-75.0,-100.0,-100.0,-63.0,-75.0,-44.0,-52.0,-60.0,-42.0,-59.0,-77.0,-100.0,-47.0,-72.0,-60.0,-84.0,-75.0,-100.0,-100.0,-63.0,-75.0,-45.0,-52.0,-100.0,-100.0,-100.0,-53.0,-68.0,-100.0,-52.0,-70.0,-100.0,-100.0,-80.0,-100.0,-100.0,-69.0,-55.0,-59.0,-100.0,-100.0,-75.0,-79.0,-53.0,-65.0,-70.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-60.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-88.0,-88.0,-100.0,-90.0,-100.0,-91.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.13 184958,45.0,24.0,27.075262815789465,8.225262980701755,-26.982631184210526,0.12443928288596491,0.6665745029824562,9.679212960526314,-0.0005831405590350878,-0.0026656123921052636,0.0003244552243859649,-0.06875999915625962,-0.012838724183737011,-1.2198608684958072,1015.2085694736841,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-91.0,-76.0,-100.0,-100.0,-56.0,-100.0,-72.0,-66.0,-55.0,-72.0,-49.0,-100.0,-100.0,-100.0,-100.0,-100.0,-65.0,-100.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-47.0,-71.0,-100.0,-100.0,-67.0,-70.0,-100.0,-100.0,-77.0,-100.0,-100.0,-66.0,-77.0,-39.0,-51.0,-100.0,-46.0,-72.0,-100.0,-100.0,-59.0,-70.0,-100.0,-100.0,-76.0,-100.0,-100.0,-66.0,-77.0,-39.0,-51.0,-100.0,-68.0,-57.0,-100.0,-69.0,-57.0,-100.0,-69.0,-100.0,-100.0,-74.0,-100.0,-100.0,-100.0,-56.0,-100.0,-100.0,-100.0,-100.0,-100.0,-54.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-56.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-76.0,-100.0,-100.0,-100.0,-78.0,-82.0,-82.0,-100.0,-88.0,-85.0,-87.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.13 185009,45.0,23.0,13.468420736842106,-26.640526017543856,-29.79526280701754,0.21523270389473684,0.571181565263158,9.677616789473685,-0.001542306072982456,-0.0023923304337719296,0.008726531544035087,-0.05893503738926688,-0.022238338531583118,-2.625087493344357,1015.2080550877193,-100.0,-83.0,-88.0,-55.0,-100.0,-100.0,-91.0,-100.0,-67.0,-56.0,-36.0,-53.0,-66.0,-60.0,-54.0,-67.0,-56.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.0,-82.0,-100.0,-100.0,-62.0,-75.0,-76.0,-92.0,-71.0,-100.0,-100.0,-67.0,-74.0,-58.0,-100.0,-100.0,-66.0,-82.0,-100.0,-100.0,-100.0,-75.0,-77.0,-94.0,-71.0,-100.0,-100.0,-66.0,-74.0,-52.0,-100.0,-100.0,-100.0,-100.0,-52.0,-52.0,-75.0,-54.0,-52.0,-100.0,-100.0,-70.0,-100.0,-100.0,-100.0,-36.0,-100.0,-100.0,-100.0,-100.0,-72.0,-100.0,-100.0,-52.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-48.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-56.0,-89.0,-63.0,-89.0,-100.0,-64.0,-75.0,-83.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.13 185020,45.0,22.0,12.424615119658123,-27.083589487179484,-31.645127760683756,0.20603041569743588,0.680894917863248,9.690673807692308,-0.0013572328706837609,-0.004923725309829059,0.0057550556068376064,-0.07012301778946164,-0.02127591901832916,-2.6564333133208446,1015.2132865811965,-100.0,-100.0,-89.0,-57.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-48.0,-43.0,-62.0,-100.0,-44.0,-62.0,-52.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-76.0,-76.0,-100.0,-78.0,-100.0,-100.0,-100.0,-85.0,-100.0,-63.0,-100.0,-100.0,-84.0,-100.0,-100.0,-63.0,-77.0,-77.0,-100.0,-78.0,-100.0,-100.0,-100.0,-85.0,-100.0,-63.0,-100.0,-100.0,-100.0,-55.0,-61.0,-100.0,-56.0,-61.0,-100.0,-100.0,-74.0,-100.0,-100.0,-100.0,-47.0,-100.0,-100.0,-100.0,-100.0,-74.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-83.0,-100.0,-100.0,-69.0,-83.0,-84.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.13 185032,45.0,21.0,14.55292010176991,-27.66477838938053,-36.01592881415929,0.23758409916814163,0.6913733338053099,9.666916362831858,0.001718439716814159,-0.0011690825499999999,0.0035353149405309738,-0.07138951426058741,-0.02459821653185589,-2.589669390062315,1015.2164013274336,-100.0,-100.0,-89.0,-57.0,-100.0,-100.0,-88.0,-100.0,-100.0,-60.0,-47.0,-55.0,-66.0,-60.0,-56.0,-66.0,-59.0,-100.0,-100.0,-100.0,-100.0,-90.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-68.0,-84.0,-100.0,-100.0,-85.0,-100.0,-100.0,-75.0,-84.0,-68.0,-75.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-85.0,-100.0,-100.0,-71.0,-85.0,-67.0,-76.0,-100.0,-100.0,-100.0,-100.0,-60.0,-100.0,-100.0,-61.0,-100.0,-100.0,-69.0,-100.0,-100.0,-100.0,-46.0,-100.0,-100.0,-100.0,-80.0,-71.0,-100.0,-100.0,-62.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-100.0,-58.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-61.0,-72.0,-81.0,-81.0,-70.0,-83.0,-88.0,-89.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.13 185208,47.0,19.0,-5.803539724778761,19.394867017699113,-35.55876066371681,0.20965795733982304,0.6284653501769911,9.680794668141594,-0.00101153326300885,-0.004623444392920353,0.0021514079486725656,-0.0647549408455008,-0.021691072867684586,0.22798579021365242,1015.2362218584071,-100.0,-100.0,-100.0,-56.0,-100.0,-100.0,-100.0,-63.0,-100.0,-68.0,-48.0,-59.0,-77.0,-68.0,-56.0,-77.0,-46.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-92.0,-100.0,-100.0,-79.0,-91.0,-70.0,-79.0,-100.0,-70.0,-100.0,-100.0,-100.0,-72.0,-84.0,-100.0,-100.0,-91.0,-100.0,-100.0,-79.0,-91.0,-70.0,-80.0,-100.0,-100.0,-100.0,-100.0,-66.0,-100.0,-100.0,-66.0,-100.0,-100.0,-70.0,-100.0,-100.0,-100.0,-48.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-57.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-63.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-90.0,-100.0,-77.0,-87.0,-87.0,-100.0,-72.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.13 185219,47.0,20.0,-4.618407030973451,17.181238707964603,-28.7076102920354,0.23514744852212388,0.5213374495575221,9.67117518141593,-0.002217046181061947,-0.001698859384955752,0.0037677680667256627,-0.053838783811301215,-0.02428208604306637,0.20642639446047556,1015.2351068141593,-100.0,-100.0,-100.0,-60.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-48.0,-60.0,-73.0,-100.0,-59.0,-73.0,-45.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-60.0,-100.0,-100.0,-100.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-69.0,-82.0,-100.0,-72.0,-100.0,-100.0,-100.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0,-69.0,-82.0,-100.0,-100.0,-75.0,-76.0,-57.0,-75.0,-77.0,-57.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-48.0,-100.0,-100.0,-100.0,-100.0,-73.0,-75.0,-100.0,-56.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-59.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-54.0,-100.0,-71.0,-100.0,-100.0,-71.0,-100.0,-85.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
