Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ia:ct:de:06,00:1a:ia:ct:de:09,00:1a:ia:ct:de:10,00:1a:ia:ct:de:16,00:1a:ia:ct:de:17,00:1a:ia:ct:de:23,00:1a:ia:ct:de:24,00:1a:ia:ct:de:29,00:1a:ia:ct:de:30,00:1a:ia:ct:de:35,00:1a:ia:ct:de:36,00:1a:ia:ct:de:47,00:1a:ia:ct:de:62,00:1a:ia:ct:de:64,00:1a:ia:ct:de:65,00:1a:ia:ct:de:66,00:1a:ia:ct:de:67,00:1a:ia:ct:de:68,00:1a:ia:ct:de:69,00:1a:ia:ct:de:70,00:1a:ia:ct:de:71,00:1a:ia:ct:de:72,00:1a:ia:ct:de:74,00:1a:ia:ct:de:75,00:1a:ia:ct:de:76,00:1a:ia:ct:de:77,00:1a:ia:ct:de:79,00:1a:ia:ct:de:80,00:1a:ia:ct:de:81,00:1a:ia:ct:de:82,00:1a:ia:ct:de:83,00:1a:ia:ct:de:84,00:1a:ia:ct:de:85,00:1a:ia:ct:de:86,00:1a:ia:ct:de:87,00:1a:ia:ct:de:89,00:1a:ia:ct:de:90,00:1a:ia:ct:de:91,00:1a:ia:ct:de:92,00:1a:ia:ct:de:93,00:1a:ia:ct:de:94,00:1a:ia:ct:de:95,00:1a:ia:ct:de:96,00:1a:ia:ct:de:97,00:1a:ia:ct:de:98,00:1a:ia:ct:de:99,00:1a:ia:ct:df:01,00:1a:ia:ct:df:02,00:1a:ia:ct:df:03,00:1a:ia:ct:df:04,00:1a:ia:ct:df:05,00:1a:ia:ct:df:06,00:1a:ia:ct:df:07,00:1a:ia:ct:df:08,00:1a:ia:ct:df:09,00:1a:ia:ct:df:10,00:1a:ia:ct:df:11,00:1a:ia:ct:df:12,00:1a:ia:ct:df:13,00:1a:ia:ct:df:14,00:23:eb:22:cc:77,00:1a:ia:ct:de:07,00:1a:ia:ct:de:18,00:1a:ia:ct:de:19,00:1a:ia:ct:de:31,00:1a:ia:ct:de:32,00:1a:ia:ct:de:39,00:1a:ia:ct:de:40,00:1a:ia:ct:de:46,00:1a:ia:ct:de:63,00:1a:ia:ct:de:78,00:1a:ia:ct:df:15,00:1a:ia:ct:de:04,94:f6:65:00:06:7c,94:f6:65:40:06:7c,00:1a:ia:ct:de:57,00:1a:ia:ct:de:88,00:1a:ia:ct:de:50,00:1a:ia:ct:de:73,88:3c:1c:7c:d0:74,00:25:a6:ba:e3:64,50:64:2b:74:9e:a9,00:1a:ia:ct:de:53,00:1a:ia:ct:de:01,00:1a:ia:ct:de:08,00:1a:ia:ct:de:11,00:1a:ia:ct:de:13,00:1a:ia:ct:de:20,00:1a:ia:ct:de:21,00:1a:ia:ct:de:22,00:1a:ia:ct:de:25,00:1a:ia:ct:de:27,00:1a:ia:ct:de:33,00:1a:ia:ct:de:34,00:1a:ia:ct:de:51,00:1a:ia:ct:de:52,00:1a:ia:ct:de:12,00:1a:ia:ct:de:14,00:1a:ia:ct:de:38
2021.02.12 115823,16.0,18.0,33.02300700000001,3.9933833984962406,-29.333232631578948,-0.21585618556390976,0.5790367828571429,9.681989631578947,0.003651412592105263,-0.002048465367293233,-0.0033482764383458642,-0.05966500627030998,0.022274677025913948,-1.3938259200045937,1018.7384403007518,-85.0,-63.0,-82.0,-100.0,-81.0,-63.0,-82.0,-100.0,-81.0,-77.0,-85.0,-100.0,-74.0,-87.0,-56.0,-78.0,-100.0,-60.0,-70.0,-51.0,-61.0,-77.0,-61.0,-70.0,-51.0,-62.0,-86.0,-56.0,-78.0,-100.0,-61.0,-70.0,-51.0,-61.0,-79.0,-60.0,-70.0,-52.0,-62.0,-43.0,-54.0,-57.0,-68.0,-53.0,-68.0,-58.0,-75.0,-55.0,-67.0,-44.0,-54.0,-58.0,-69.0,-54.0,-68.0,-59.0,-75.0,-54.0,-67.0,-86.0,-100.0,-83.0,-100.0,-82.0,-100.0,-82.0,-89.0,-100.0,-90.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 115951,22.0,16.0,0.9041738891304348,-27.33913,-25.35599964347826,-0.10732269340434784,0.5821241204347825,9.698557130434782,0.0029587124160869575,-0.00446728410826087,-0.0021672437456521734,-0.05995908136601029,0.011091156872546104,-2.4073204268579897,1018.6878495652174,-77.0,-57.0,-100.0,-63.0,-100.0,-57.0,-100.0,-63.0,-100.0,-79.0,-85.0,-74.0,-100.0,-82.0,-62.0,-75.0,-100.0,-60.0,-73.0,-50.0,-52.0,-75.0,-66.0,-75.0,-48.0,-58.0,-80.0,-63.0,-74.0,-79.0,-60.0,-71.0,-50.0,-53.0,-74.0,-66.0,-75.0,-48.0,-59.0,-41.0,-48.0,-60.0,-67.0,-60.0,-66.0,-60.0,-71.0,-55.0,-72.0,-41.0,-48.0,-60.0,-68.0,-60.0,-67.0,-61.0,-72.0,-54.0,-72.0,-86.0,-100.0,-100.0,-66.0,-79.0,-66.0,-79.0,-100.0,-100.0,-100.0,-71.0,-71.0,-64.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 120011,22.0,14.0,1.2023255554263563,-23.305581054263566,-25.647906713178298,-0.1764470971271318,0.6098532877519379,9.699560627906976,0.0020788357833333325,-0.0046312110155038765,-0.002505021142635659,-0.06279085094268004,0.018229505491655914,-2.5723941307659297,1018.6781598449612,-76.0,-58.0,-100.0,-54.0,-71.0,-57.0,-100.0,-54.0,-74.0,-78.0,-75.0,-65.0,-69.0,-82.0,-55.0,-72.0,-76.0,-54.0,-70.0,-48.0,-54.0,-100.0,-61.0,-71.0,-42.0,-53.0,-83.0,-54.0,-74.0,-76.0,-54.0,-69.0,-48.0,-54.0,-100.0,-62.0,-69.0,-42.0,-53.0,-49.0,-56.0,-51.0,-65.0,-50.0,-56.0,-52.0,-66.0,-51.0,-75.0,-49.0,-56.0,-51.0,-63.0,-48.0,-56.0,-52.0,-68.0,-51.0,-75.0,-84.0,-100.0,-100.0,-66.0,-79.0,-64.0,-79.0,-100.0,-100.0,-90.0,-79.0,-63.0,-63.0,-100.0,-100.0,-100.0,-89.0,-86.0,-90.0,-87.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 120021,22.0,13.0,2.3471794512820514,-22.05025617948717,-28.799486803418805,-0.26958301871025636,0.6112990374358973,9.674396094017093,0.0005377701773504267,-0.007471352011538462,-0.011068669699572648,-0.06309209862708023,0.027699102734914004,-3.0116824594318357,1018.6696695726492,-68.0,-66.0,-100.0,-57.0,-70.0,-63.0,-80.0,-55.0,-68.0,-78.0,-76.0,-100.0,-73.0,-82.0,-63.0,-75.0,-74.0,-54.0,-64.0,-50.0,-51.0,-70.0,-57.0,-74.0,-45.0,-52.0,-83.0,-63.0,-74.0,-74.0,-54.0,-62.0,-49.0,-51.0,-70.0,-57.0,-76.0,-45.0,-50.0,-46.0,-56.0,-49.0,-60.0,-48.0,-55.0,-56.0,-67.0,-57.0,-73.0,-46.0,-55.0,-51.0,-61.0,-48.0,-55.0,-57.0,-66.0,-56.0,-70.0,-82.0,-100.0,-100.0,-62.0,-79.0,-61.0,-100.0,-88.0,-72.0,-90.0,-66.0,-66.0,-100.0,-100.0,-87.0,-88.0,-100.0,-86.0,-100.0,-87.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 120031,22.0,12.0,2.993076870769231,-23.387999715384613,-32.36030712307693,-0.15339466132307691,0.5832275383846155,9.674453323076921,0.0034537383099999997,-0.001691626725769231,-0.001940671809615384,-0.06017831940777022,0.015746171833821897,-3.026554905451261,1018.6713359999999,-78.0,-66.0,-74.0,-57.0,-68.0,-66.0,-75.0,-57.0,-66.0,-82.0,-77.0,-69.0,-72.0,-84.0,-64.0,-73.0,-79.0,-57.0,-64.0,-48.0,-52.0,-70.0,-57.0,-70.0,-46.0,-47.0,-80.0,-63.0,-75.0,-80.0,-57.0,-64.0,-49.0,-52.0,-71.0,-57.0,-73.0,-46.0,-46.0,-50.0,-59.0,-52.0,-57.0,-47.0,-58.0,-59.0,-63.0,-54.0,-71.0,-48.0,-59.0,-51.0,-56.0,-46.0,-57.0,-59.0,-63.0,-55.0,-77.0,-85.0,-100.0,-81.0,-61.0,-78.0,-61.0,-78.0,-80.0,-100.0,-79.0,-67.0,-68.0,-100.0,-100.0,-85.0,-85.0,-100.0,-100.0,-100.0,-100.0,-90.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 120158,27.0,9.0,17.23285694444445,-4.38476183095238,-32.20523773015873,-0.24650776757936504,0.7155242795238096,9.742082682539683,0.0031803776507936506,-0.0008290314297619047,0.0018277475650793648,-0.073307985085107,0.025281317736251266,-1.690817359894041,1018.6348636507936,-75.0,-67.0,-100.0,-51.0,-69.0,-67.0,-100.0,-51.0,-68.0,-81.0,-78.0,-73.0,-68.0,-80.0,-66.0,-77.0,-78.0,-56.0,-70.0,-50.0,-55.0,-73.0,-57.0,-67.0,-35.0,-50.0,-80.0,-64.0,-75.0,-79.0,-56.0,-72.0,-44.0,-54.0,-74.0,-57.0,-68.0,-37.0,-51.0,-45.0,-52.0,-47.0,-61.0,-54.0,-50.0,-56.0,-66.0,-59.0,-68.0,-45.0,-52.0,-46.0,-60.0,-54.0,-50.0,-56.0,-66.0,-59.0,-70.0,-81.0,-100.0,-100.0,-66.0,-76.0,-65.0,-76.0,-88.0,-100.0,-88.0,-69.0,-70.0,-64.0,-100.0,-87.0,-87.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 120220,29.0,9.0,16.842096467741936,0.3672580518548387,-31.233870669354832,-0.21596085569032258,0.6299067475,9.688774366935485,0.007231856218951612,-0.008345207492741934,-0.008345207468548386,-0.06492416652279992,0.02232568858057545,-1.421770320784661,1018.6370274193546,-82.0,-69.0,-100.0,-43.0,-50.0,-68.0,-100.0,-43.0,-53.0,-82.0,-83.0,-75.0,-100.0,-85.0,-74.0,-86.0,-85.0,-71.0,-88.0,-60.0,-67.0,-57.0,-67.0,-80.0,-45.0,-63.0,-86.0,-74.0,-88.0,-85.0,-70.0,-87.0,-60.0,-67.0,-57.0,-67.0,-80.0,-45.0,-63.0,-61.0,-66.0,-61.0,-73.0,-60.0,-67.0,-63.0,-79.0,-60.0,-77.0,-61.0,-67.0,-61.0,-75.0,-59.0,-68.0,-64.0,-79.0,-60.0,-77.0,-100.0,-100.0,-100.0,-72.0,-81.0,-73.0,-84.0,-100.0,-100.0,-100.0,-69.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 120231,30.0,9.0,19.087499775000005,1.6704999761666666,-29.100999466666668,-0.3046222633333333,0.6035982044166666,9.7090864375,0.00460185153125,-0.006943501606250001,-0.0037008254375,-0.06206903286899125,0.03132030661217865,-1.3797917266686757,1018.6251783333333,-90.0,-72.0,-100.0,-46.0,-57.0,-71.0,-100.0,-46.0,-56.0,-100.0,-100.0,-80.0,-100.0,-83.0,-80.0,-88.0,-100.0,-69.0,-87.0,-100.0,-71.0,-59.0,-70.0,-87.0,-54.0,-76.0,-84.0,-81.0,-88.0,-100.0,-70.0,-88.0,-100.0,-72.0,-59.0,-69.0,-86.0,-54.0,-76.0,-55.0,-75.0,-69.0,-83.0,-67.0,-73.0,-71.0,-80.0,-65.0,-86.0,-54.0,-79.0,-69.0,-81.0,-66.0,-75.0,-72.0,-86.0,-67.0,-84.0,-100.0,-100.0,-100.0,-72.0,-100.0,-72.0,-100.0,-100.0,-100.0,-100.0,-73.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 120241,31.0,9.0,22.649747630252104,-0.134117643697479,-27.619159260504205,-0.29818876849579834,0.5623557295798318,9.704826117647059,-0.000544132234453782,-0.007196916701680672,-0.002479394109243697,-0.05777391072894842,0.030626551250089704,-1.5011438081244461,1018.6238301680676,-100.0,-78.0,-100.0,-51.0,-58.0,-79.0,-100.0,-51.0,-56.0,-100.0,-100.0,-84.0,-100.0,-82.0,-81.0,-100.0,-86.0,-72.0,-100.0,-64.0,-80.0,-65.0,-78.0,-100.0,-56.0,-65.0,-84.0,-83.0,-100.0,-88.0,-72.0,-100.0,-64.0,-82.0,-66.0,-77.0,-100.0,-57.0,-65.0,-65.0,-79.0,-66.0,-82.0,-64.0,-74.0,-79.0,-81.0,-66.0,-84.0,-65.0,-78.0,-66.0,-84.0,-64.0,-75.0,-80.0,-82.0,-66.0,-83.0,-100.0,-100.0,-100.0,-76.0,-100.0,-76.0,-100.0,-100.0,-100.0,-100.0,-63.0,-63.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-84.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 120409,36.0,12.0,-4.091162732558139,19.617674209302322,-36.84976701550388,-0.133202989875969,0.828950576124031,9.704181984496124,0.0056303782046511625,-0.007311441328294574,-0.0022587808058139535,-0.08522849524205967,0.013695922040366062,0.1996400913064794,1018.6090224806202,-90.0,-80.0,-87.0,-50.0,-58.0,-81.0,-87.0,-50.0,-58.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-80.0,-66.0,-100.0,-100.0,-57.0,-71.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-80.0,-66.0,-100.0,-100.0,-58.0,-72.0,-65.0,-77.0,-72.0,-82.0,-71.0,-77.0,-75.0,-88.0,-72.0,-87.0,-66.0,-77.0,-72.0,-82.0,-71.0,-77.0,-76.0,-90.0,-70.0,-87.0,-100.0,-100.0,-100.0,-82.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-67.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 120430,36.0,14.0,-1.6333333054761903,19.515237857142857,-42.77761864285715,-0.1272157158960317,0.8853795851587303,9.676926234126984,0.005657775828174606,-0.00240467576547619,0.005439609880952381,-0.09116300142237116,0.013065942436934121,0.09308664384713793,1018.6151724603177,-100.0,-69.0,-75.0,-63.0,-79.0,-69.0,-75.0,-62.0,-80.0,-100.0,-100.0,-80.0,-100.0,-100.0,-86.0,-100.0,-81.0,-81.0,-100.0,-100.0,-100.0,-60.0,-100.0,-100.0,-70.0,-100.0,-100.0,-100.0,-100.0,-84.0,-81.0,-100.0,-78.0,-100.0,-60.0,-100.0,-100.0,-70.0,-100.0,-67.0,-78.0,-72.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.0,-77.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-86.0,-87.0,-87.0,-81.0,-75.0,-81.0,-86.0,-90.0,-81.0,-75.0,-80.0,-82.0,-89.0,-100.0,-100.0,-100.0
2021.02.12 120441,36.0,15.0,-1.8382257900806453,21.32951586290323,-44.36322520967742,-0.18410252531209678,0.5574049112096774,9.68933420564516,0.0019656066528225802,-0.0008128449213709679,-0.0009803403334677418,-0.057441472105922195,0.018999112460850478,0.11154727987858705,1018.6120243548388,-100.0,-65.0,-100.0,-72.0,-100.0,-65.0,-100.0,-72.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-66.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.0,-85.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-88.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-79.0,-78.0,-100.0,-100.0,-72.0,-78.0,-78.0,-83.0,-100.0,-81.0,-84.0,-84.0
