Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ab:a0:de:a8,00:1a:ab:a0:de:a9,00:1a:ac:a0:de:c1,00:1a:ac:a0:de:c2,00:1a:ac:a0:de:f9,00:1a:ac:a0:de:g5,00:1a:ac:a0:de:j1,00:1a:ac:a0:de:j5,00:1a:ac:a0:de:j7,00:1a:ac:a0:de:k3,00:1a:ac:a0:de:k4,00:1a:ac:a0:de:n6,00:1a:ac:a0:de:n7,00:1a:ac:a0:de:s6,00:1a:ac:a0:de:s7,00:1a:ac:a0:de:t3,00:1a:ac:a0:de:t4,00:1a:ac:a0:de:x3,00:1a:ac:a0:de:x4,00:1a:ab:a0:de:a1,00:1a:ab:a0:de:a7,00:1a:ac:a0:de:b3,00:1a:ac:a0:de:b4,00:1a:ac:a0:de:g1,00:1a:ac:a0:de:g8,00:1a:ac:a0:de:h2,00:1a:ac:a0:de:h3,00:1a:ac:a0:de:i6,00:1a:ac:a0:de:j8,00:1a:ac:a0:de:l7,00:1a:ac:a0:de:l8,00:1a:ac:a0:de:l9,00:1a:ac:a0:de:m6,00:1a:ac:a0:de:p1,00:1a:ac:a0:de:p3,00:1a:ac:a0:de:p5,00:1a:ac:a0:de:p6,00:1a:ac:a0:de:p7,00:1a:ac:a0:de:r1,00:1a:ac:a0:de:r2,00:1a:ac:a0:de:r3,00:1a:ac:a0:de:r4,00:1a:ac:a0:de:r5,00:1a:ac:a0:de:r7,00:1a:ac:a0:de:r9,00:1a:ac:a0:de:s1,00:1a:ac:a0:de:s2,00:1a:ac:a0:de:s3,00:1a:ac:a0:de:s4,00:1a:ac:a0:de:s5,00:1a:ac:a0:de:t7,00:1a:ac:a0:de:u2,00:1a:ac:a0:de:u3,00:1a:ac:a0:de:u4,00:1a:ac:a0:de:v7,00:1a:ac:a0:de:v8,00:1a:ac:a0:de:v9,00:1a:ac:a0:de:w1,00:1a:ac:a0:de:w4,00:1a:ac:a0:de:w6,00:1a:ac:a0:de:w7,00:1a:ac:a0:de:w8,00:1a:ac:a0:de:w9,00:1a:ac:a0:de:x1,00:1a:ac:a0:de:x2,00:1a:ac:a0:de:d7,00:1a:ac:a0:de:h5,00:1a:ac:a0:de:k2,00:1a:ac:a0:de:n4,00:1a:ac:a0:de:q2,00:1a:ac:a0:de:t1,00:1a:ac:a0:de:u8,00:1a:ac:a0:de:b7,00:1a:ac:a0:de:p8,00:1a:ac:a0:de:u5,00:1a:ac:a0:de:w2,00:1a:ac:a0:de:v1,90:9f:33:fe:d8:48,00:1a:ac:a0:de:e1,00:1a:ac:a0:de:e4,00:1a:ac:a0:de:i7,00:1a:ac:a0:de:j2,00:1a:ac:a0:de:u6,88:36:6c:ef:d6:d4,00:1a:ac:a0:de:g7,00:1a:ac:a0:de:k1,00:1a:cs:a0:de:10,00:1a:ac:a0:de:f3,00:1a:ac:a0:de:g2,00:1a:ac:a0:de:p9,00:1a:ac:a0:de:m4,00:1a:ac:a0:de:p2,00:1a:ac:a0:de:t8,00:1a:ac:a0:de:b1,00:1a:ac:a0:de:b2,00:1a:ac:a0:de:l1,00:1a:ac:a0:de:r6,00:1a:ac:a0:de:w3,00:1a:ac:a0:de:f2,00:1a:ac:a0:de:k9,00:1a:ac:a0:de:t5,00:1a:ac:a0:de:n8,00:1a:ac:a0:de:s8,00:1a:ac:a0:de:x5,00:1a:ac:a0:de:j4,90:9f:33:17:06:00,00:1a:ac:a0:de:m8,00:1a:ac:a0:de:q4,00:1a:ac:a0:de:n5,00:1a:ac:a0:de:r8,00:1a:ac:a0:de:t2,00:1a:ac:a0:de:w5
2021.02.11 123128,48.0,19.0,8.66322188367347,-21.520661040816325,-12.108978887755105,0.09936770601020407,0.5529655514285714,9.74960181122449,0.0010643907022448978,-0.00412863748377551,-0.0010086198036428566,-0.056678258794911014,-0.010196732873885785,-2.7419699722406814,1017.5517481632653,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-100.0,-67.0,-100.0,-82.0,-74.0,-80.0,-81.0,-100.0,-74.0,-80.0,-80.0,-100.0,-81.0,-83.0,-100.0,-72.0,-100.0,-72.0,-62.0,-100.0,-56.0,-78.0,-100.0,-89.0,-87.0,-92.0,-73.0,-100.0,-91.0,-100.0,-84.0,-100.0,-100.0,-54.0,-59.0,-100.0,-80.0,-62.0,-76.0,-100.0,-100.0,-83.0,-100.0,-73.0,-90.0,-100.0,-83.0,-100.0,-100.0,-55.0,-59.0,-81.0,-62.0,-76.0,-100.0,-100.0,-85.0,-100.0,-100.0,-82.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-79.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-88.0,-71.0,-72.0,-80.0,-79.0,-89.0,-90.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 123139,48.0,18.0,4.115664862626262,-20.996635777777776,-13.858828333333333,0.11466545731313134,0.5585044190909091,9.748399949494951,0.0019902535497979797,-0.005032427321010101,-0.003175737350707071,-0.05725687873935453,-0.011754034114695782,-2.9324214699292424,1017.5749539393938,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-100.0,-66.0,-100.0,-100.0,-80.0,-84.0,-83.0,-100.0,-80.0,-84.0,-81.0,-100.0,-73.0,-87.0,-100.0,-74.0,-100.0,-67.0,-59.0,-100.0,-57.0,-83.0,-66.0,-86.0,-84.0,-100.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-62.0,-70.0,-100.0,-81.0,-69.0,-78.0,-100.0,-100.0,-82.0,-100.0,-71.0,-100.0,-100.0,-79.0,-100.0,-100.0,-62.0,-71.0,-79.0,-69.0,-78.0,-100.0,-100.0,-81.0,-100.0,-100.0,-80.0,-67.0,-75.0,-100.0,-77.0,-100.0,-100.0,-85.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-69.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-70.0,-70.0,-72.0,-71.0,-82.0,-87.0,-88.0,-87.0,-91.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 123150,48.0,17.0,1.7571386190384617,-23.71795764423077,-14.461406331730768,0.06235726328586539,0.3715146328846154,9.762920701923075,-0.0007109214821153848,-0.005402261262884616,-0.002786676505576923,-0.03804362538413929,-0.006371616793750499,-3.0015426713686724,1017.6202473076924,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-100.0,-64.0,-100.0,-100.0,-73.0,-100.0,-81.0,-100.0,-72.0,-100.0,-82.0,-100.0,-63.0,-100.0,-100.0,-69.0,-100.0,-77.0,-52.0,-100.0,-58.0,-100.0,-61.0,-86.0,-100.0,-100.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-52.0,-78.0,-100.0,-100.0,-68.0,-88.0,-100.0,-100.0,-100.0,-100.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-53.0,-78.0,-100.0,-70.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-100.0,-77.0,-100.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-84.0,-80.0,-100.0,-100.0,-100.0,-77.0,-84.0,-100.0,-82.0,-100.0,-75.0,-100.0,-91.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-82.0,-83.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 123201,48.0,16.0,-0.012350733038144313,-27.351179443298975,-17.610865948453608,0.07410739472164948,0.2709566011340206,9.76258931443299,0.001373736599123712,-0.003039981096134021,-0.0029122360461855666,-0.02776360137330497,-0.007589509113140842,-0.545945698452979,1017.6792038144328,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-100.0,-72.0,-100.0,-78.0,-80.0,-85.0,-100.0,-100.0,-80.0,-85.0,-83.0,-100.0,-77.0,-85.0,-100.0,-74.0,-100.0,-78.0,-56.0,-91.0,-61.0,-81.0,-68.0,-86.0,-100.0,-100.0,-74.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-61.0,-69.0,-100.0,-82.0,-73.0,-80.0,-100.0,-100.0,-100.0,-100.0,-74.0,-100.0,-100.0,-90.0,-100.0,-100.0,-61.0,-69.0,-82.0,-72.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.0,-62.0,-81.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-72.0,-100.0,-88.0,-100.0,-81.0,-76.0,-100.0,-100.0,-90.0,-90.0,-100.0,-83.0,-84.0,-87.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-86.0,-90.0,-100.0,-88.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 123223,48.0,14.0,4.77436808019802,-30.684527188118814,-16.846609326732672,0.02628707504930693,0.20988483252475246,9.766941267326732,0.0008295914463366337,-0.0023762861755445546,0.0036714598328118817,-0.021489729422448835,-0.0027046176740459214,-2.983905593947609,1017.7638511881188,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-70.0,-100.0,-83.0,-80.0,-100.0,-87.0,-100.0,-80.0,-100.0,-80.0,-100.0,-74.0,-88.0,-100.0,-64.0,-100.0,-75.0,-70.0,-100.0,-62.0,-100.0,-75.0,-81.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-64.0,-77.0,-100.0,-78.0,-100.0,-88.0,-100.0,-100.0,-88.0,-100.0,-82.0,-100.0,-100.0,-88.0,-100.0,-100.0,-65.0,-77.0,-79.0,-100.0,-88.0,-100.0,-100.0,-87.0,-100.0,-100.0,-81.0,-61.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-89.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0,-100.0,-90.0,-100.0,-100.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-90.0,-100.0,-100.0,-90.0,-100.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 123234,48.0,13.0,7.605047654,-29.203844700000005,-18.11800086,0.079029401437,0.3994627530000001,9.751519245000003,0.002501965028,-0.0036074381276,0.0029476271511530007,-0.04103130172938104,-0.00812804621862594,-2.875513458251953,1017.8140244000001,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-69.0,-100.0,-100.0,-87.0,-100.0,-85.0,-100.0,-87.0,-100.0,-85.0,-100.0,-81.0,-87.0,-100.0,-69.0,-100.0,-81.0,-69.0,-100.0,-66.0,-100.0,-100.0,-89.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-62.0,-73.0,-100.0,-100.0,-68.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-62.0,-73.0,-100.0,-71.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-89.0,-79.0,-85.0,-91.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 123245,49.0,13.0,24.214133660377357,1.810828128207547,-15.986913537735846,0.012087568844528301,0.42323358698113206,9.751781533018868,0.008481625043396227,-0.0062078635210849045,0.0016474742200943398,-0.04343101097587141,-0.001277048196723904,-1.4680227603552476,1017.8225603773584,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,-72.0,-100.0,-100.0,-84.0,-100.0,-87.0,-100.0,-83.0,-100.0,-82.0,-100.0,-79.0,-91.0,-100.0,-70.0,-100.0,-84.0,-65.0,-100.0,-61.0,-100.0,-71.0,-90.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-69.0,-100.0,-80.0,-72.0,-89.0,-100.0,-100.0,-89.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-64.0,-69.0,-80.0,-72.0,-90.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-68.0,-85.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-90.0,-91.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 123308,50.0,14.0,0.4293107704174758,18.314002708737863,-11.050960820388353,0.008932164581650486,0.576406153592233,9.73561714563107,-0.005942541870097088,-0.0017980283963398062,0.001892794556213593,-0.0592267853976453,-0.0009222079145826519,-0.023361869995568156,1017.8666917475728,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-100.0,-84.0,-100.0,-82.0,-78.0,-100.0,-87.0,-100.0,-68.0,-100.0,-87.0,-100.0,-76.0,-100.0,-100.0,-78.0,-100.0,-84.0,-65.0,-100.0,-64.0,-100.0,-72.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.0,-77.0,-100.0,-73.0,-76.0,-91.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.0,-77.0,-74.0,-75.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.0,-79.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-89.0,-88.0,-91.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 123329,50.0,16.0,2.120557597843137,19.81467743137255,-20.651636794117643,0.2911174403725491,0.5513645934313726,9.748857838235294,0.004746548406666669,-0.001554851323529411,-0.0016036399009803932,-0.05647314155437779,-0.02981513151762016,-0.12980823032557962,1017.955793627451,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-100.0,-77.0,-100.0,-90.0,-82.0,-100.0,-86.0,-100.0,-83.0,-100.0,-84.0,-100.0,-80.0,-100.0,-100.0,-80.0,-100.0,-100.0,-70.0,-100.0,-69.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-65.0,-74.0,-100.0,-69.0,-73.0,-89.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-65.0,-75.0,-66.0,-73.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.0,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0,-91.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-82.0,-85.0,-82.0,-84.0
2021.02.11 123340,50.0,17.0,-1.3944020869,18.22284993,-22.380468789999995,0.16379166233,0.5106399598500001,9.756711475000001,0.0044711699265000005,-0.0012170959183660005,0.004005952860599999,-0.05231629101093854,-0.016787895550951316,0.05246684395940971,1018.0011942,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-88.0,-86.0,-100.0,-91.0,-100.0,-85.0,-100.0,-90.0,-100.0,-76.0,-91.0,-100.0,-81.0,-100.0,-100.0,-71.0,-100.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.0,-82.0,-100.0,-71.0,-72.0,-92.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-83.0,-71.0,-73.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-65.0,-71.0,-88.0,-71.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-86.0,-89.0,-100.0,-100.0,-100.0,-100.0,-76.0,-85.0,-77.0,-85.0
2021.02.11 123351,50.0,18.0,-1.0132171948080808,22.630933030303026,-18.74103777777778,0.15809146546464645,0.44531097063636366,9.757154893939394,0.0051974983995656575,-0.0023229631022626267,0.0018312533526262625,-0.045586162418446874,-0.016232861833578652,0.02994531526046831,1018.0425557575758,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-100.0,-79.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-67.0,-100.0,-100.0,-74.0,-100.0,-100.0,-100.0,-100.0,-62.0,-100.0,-74.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-85.0,-100.0,-60.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-64.0,-87.0,-60.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-62.0,-100.0,-62.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-85.0,-100.0,-100.0,-100.0,-100.0,-82.0,-80.0,-83.0,-81.0
