Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:be:a0:de:39,00:1a:be:a0:de:52,00:1a:be:a0:de:64,00:1a:be:a0:de:72,00:1a:be:a0:de:73,00:1a:be:a0:de:89,00:1a:be:a0:de:90,00:1a:be:a0:de:91,00:1a:be:a0:de:92,00:1a:be:a0:de:93,00:1a:be:a0:de:94,00:1a:be:a0:de:95,00:1a:be:a0:de:96,00:1a:be:a0:df:01,00:1a:be:a0:df:02,00:1a:be:a0:df:03,00:1a:be:a0:df:08,00:1a:be:a0:df:11,00:1a:be:a0:df:20,00:1a:be:a0:df:22,00:1a:be:a0:df:28,00:1a:be:a0:df:29,00:1a:be:a0:df:36,00:1a:be:a0:df:45,00:1a:be:a0:df:46,00:1a:be:a0:df:47,00:1a:be:a0:df:48,00:1a:be:a0:df:49,00:1a:be:a0:df:50,00:1a:be:a0:df:51,00:1a:be:a0:df:52,00:1a:be:a0:df:56,00:1a:be:a0:df:57,00:1a:be:a0:df:58,00:1a:be:a0:df:64,00:1a:be:a0:df:67,00:1a:be:a0:df:73,00:1a:be:a0:df:75,00:1a:be:a0:de:40,00:1a:be:a0:de:43,00:1a:be:a0:de:53,00:1a:be:a0:de:66,00:1a:be:a0:df:12,00:1a:be:a0:df:68,00:1a:be:a0:df:74,00:1a:be:a0:de:80,00:1a:be:a0:de:37,00:1a:be:a0:de:48,00:1a:be:a0:df:13,00:1a:be:a0:df:69,00:1a:be:a0:de:56,00:1a:be:a0:de:59,00:1a:be:a0:de:84,00:1a:be:a0:df:34,00:1a:be:a0:df:40,00:1a:be:a0:de:78,00:1a:be:a0:de:65,00:1a:be:a0:df:21,00:1a:be:a0:de:82,00:1a:be:a0:df:38,00:1a:be:a0:de:81,00:1a:be:a0:df:14,00:1a:be:a0:df:37,00:1a:be:a0:df:70,00:1a:be:a0:de:44,00:1a:be:a0:de:57,00:1a:be:a0:de:67,00:1a:be:a0:df:23,00:1a:be:a0:df:06,00:1a:be:a0:de:79,00:1a:be:a0:df:35,00:1a:be:a0:de:83,00:1a:be:a0:df:15,00:1a:be:a0:df:39,00:1a:be:a0:df:71,00:1a:be:a0:de:38,00:1a:be:a0:de:51,00:1a:be:a0:de:68,00:1a:be:a0:df:24,00:1a:be:a0:de:60,00:1a:be:a0:de:05,00:1a:be:a0:df:09,00:1a:be:a0:df:65,00:1a:be:a0:de:33,00:1a:be:a0:de:32,00:1a:be:a0:de:97,00:1a:be:a0:df:53,00:1a:be:a0:de:86,00:1a:be:a0:df:44,00:1a:be:a0:df:62,00:1a:be:a0:de:55,00:1a:be:a0:de:88,00:1a:be:a0:de:41,00:1a:be:a0:de:49,00:1a:be:a0:de:54,00:1a:be:a0:df:10,00:1a:be:a0:df:66,00:1a:be:a0:df:42,00:1a:be:a0:de:70,00:1a:be:a0:de:08,00:1a:be:a0:de:12,00:1a:be:a0:de:69,00:1a:be:a0:df:25,00:1a:be:a0:de:74,00:1a:be:a0:df:26,00:1a:be:a0:de:85,00:1a:be:a0:de:62,00:1a:be:a0:df:30,00:1a:be:a0:df:41,00:1a:be:a0:df:18,00:1a:be:a0:de:76,00:1a:be:a0:df:32,00:1a:be:a0:de:98,00:1a:be:a0:de:87,00:1a:be:a0:df:43,00:1a:be:a0:df:54,00:1a:be:a0:de:71,00:1a:be:a0:de:75,00:1a:be:a0:df:27,00:1a:be:a0:df:31,00:1a:be:a0:de:17,00:1a:be:a0:df:04,00:1a:be:a0:df:59,00:1a:be:a0:de:15,00:1a:be:a0:df:05,00:1a:be:a0:df:60,00:1a:be:a0:de:63,00:1a:be:a0:df:19,00:1a:be:a0:de:02,00:1a:be:a0:de:99,00:1a:be:a0:df:55,00:1a:be:a0:de:16,00:1a:be:a0:de:77,00:1a:be:a0:de:27,00:1a:be:a0:de:30,00:1a:be:a0:df:33,00:1a:be:a0:de:26,00:1a:be:a0:de:61,00:1a:be:a0:df:61,00:1a:be:a0:de:01,00:1a:be:a0:de:03,00:1a:be:a0:de:04,00:1a:be:a0:de:24
2021.05.19 171731,114.0,57.0,32.953333,-14.543110792592595,-34.27644396296296,-0.5401129255185185,0.7138131318518518,9.935442355555555,0.0058051655918518515,0.004095806294296297,0.003210594864829629,-0.07163948208369586,0.05433523122359201,-1.9374961844197025,1003.1388451851852,-100.0,-81.0,-87.0,-69.0,-70.0,-58.0,-64.0,-71.0,-76.0,-72.0,-82.0,-81.0,-86.0,-69.0,-81.0,-93.0,-100.0,-66.0,-87.0,-85.0,-69.0,-70.0,-78.0,-57.0,-64.0,-70.0,-76.0,-72.0,-82.0,-81.0,-86.0,-68.0,-81.0,-90.0,-100.0,-65.0,-89.0,-87.0,-100.0,-85.0,-100.0,-86.0,-88.0,-87.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-88.0,-100.0,-94.0,-89.0,-94.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 171743,113.0,58.0,32.7078255,-14.477391010869566,-35.34130379710145,-0.3528432375652174,0.669008961231884,9.951369471014493,0.007439648045289854,0.0037364681260144937,6.48845495797106e-05,-0.06714348971465786,0.035499098909802795,-1.9353855105413906,1003.1420536231882,-80.0,-82.0,-73.0,-70.0,-74.0,-60.0,-67.0,-62.0,-76.0,-74.0,-86.0,-84.0,-84.0,-64.0,-77.0,-100.0,-100.0,-76.0,-86.0,-81.0,-70.0,-74.0,-77.0,-60.0,-67.0,-62.0,-75.0,-74.0,-87.0,-83.0,-83.0,-64.0,-77.0,-100.0,-100.0,-76.0,-100.0,-92.0,-100.0,-82.0,-100.0,-82.0,-100.0,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,-91.0,-82.0,-91.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 171757,112.0,59.0,33.136888496296294,-14.043110766666667,-34.780443955555555,-0.3223580662814815,0.7955199734814815,9.924003044444444,0.0071626437785185185,0.002987199009111112,-0.00010165250377777775,-0.07998750402971547,0.032502026176425,-1.9057978550593058,1003.1379829629628,-80.0,-81.0,-85.0,-76.0,-73.0,-63.0,-68.0,-70.0,-83.0,-74.0,-83.0,-82.0,-89.0,-59.0,-80.0,-85.0,-88.0,-79.0,-86.0,-85.0,-76.0,-73.0,-100.0,-63.0,-68.0,-70.0,-83.0,-74.0,-84.0,-82.0,-87.0,-59.0,-79.0,-86.0,-100.0,-79.0,-90.0,-90.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0,-100.0,-89.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 171809,111.0,60.0,33.76183049295775,-14.767182785211267,-32.781548697183105,-0.6139460176056339,0.7829953091549295,9.947587982394367,0.0015588074989436624,-0.0006925233595070435,-0.001764531512647887,-0.07839952283342115,0.0616987325434743,-1.9326854129912148,1003.1448861971833,-80.0,-81.0,-84.0,-74.0,-73.0,-59.0,-66.0,-68.0,-83.0,-76.0,-84.0,-80.0,-100.0,-58.0,-74.0,-100.0,-100.0,-82.0,-83.0,-80.0,-74.0,-73.0,-73.0,-59.0,-66.0,-66.0,-83.0,-76.0,-84.0,-100.0,-100.0,-59.0,-74.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 171821,110.0,61.0,33.27416008029198,-16.78773700729927,-29.94437916058394,-0.7084082456934306,0.8540046172262774,9.919410598540145,-0.0009953715686131382,0.0008834047989781027,-0.0034573322935328474,-0.08566714235900957,0.07122047374663992,-1.9934014255983117,1003.1759748175183,-82.0,-83.0,-81.0,-75.0,-76.0,-62.0,-73.0,-75.0,-84.0,-75.0,-82.0,-100.0,-100.0,-62.0,-70.0,-90.0,-100.0,-86.0,-100.0,-100.0,-74.0,-77.0,-100.0,-62.0,-73.0,-75.0,-84.0,-75.0,-81.0,-83.0,-100.0,-62.0,-70.0,-100.0,-100.0,-87.0,-91.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.0,-87.0,-85.0,-100.0,-100.0,-85.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 171835,109.0,62.0,32.191555118518515,-16.71866642962963,-28.627555059259254,-0.44604453074074085,0.8725269498518518,9.935140829629631,0.003406953584074074,0.0012134273500000001,-0.0018075501364592595,-0.08753967696317916,0.04488862103058228,-1.9975075553964685,1003.2169931851853,-81.0,-80.0,-83.0,-75.0,-75.0,-61.0,-72.0,-80.0,-85.0,-72.0,-86.0,-86.0,-100.0,-50.0,-70.0,-100.0,-89.0,-87.0,-84.0,-81.0,-75.0,-75.0,-81.0,-61.0,-71.0,-79.0,-86.0,-72.0,-86.0,-85.0,-100.0,-50.0,-70.0,-100.0,-89.0,-87.0,-93.0,-100.0,-100.0,-85.0,-100.0,-80.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-85.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 171848,108.0,63.0,33.24771375714286,-14.990571125000002,-28.925571014285712,-0.5223452545214287,1.0146765610000001,9.884182077142857,0.003959803035714286,0.0019419404792857143,-0.000249843828457143,-0.10232214842523842,0.05270339596151769,-1.927047269684928,1003.2654967142857,-100.0,-100.0,-73.0,-73.0,-67.0,-65.0,-72.0,-77.0,-90.0,-72.0,-82.0,-86.0,-100.0,-60.0,-69.0,-88.0,-86.0,-80.0,-84.0,-84.0,-73.0,-67.0,-100.0,-65.0,-72.0,-77.0,-88.0,-72.0,-82.0,-87.0,-100.0,-60.0,-69.0,-100.0,-86.0,-81.0,-100.0,-100.0,-100.0,-80.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-84.0,-100.0,-85.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 171900,107.0,64.0,33.8896870390625,-14.2514059140625,-30.8910934140625,-0.523242572578125,0.96910143421875,9.893723386718749,0.0089840332203125,4.921295726562471e-05,-0.0011155544629062489,-0.09765453913132657,0.05268064617121122,-1.9003126062452793,1003.26588625,-86.0,-87.0,-100.0,-68.0,-72.0,-62.0,-70.0,-77.0,-89.0,-77.0,-81.0,-80.0,-100.0,-56.0,-67.0,-100.0,-89.0,-86.0,-100.0,-79.0,-67.0,-71.0,-79.0,-62.0,-70.0,-76.0,-100.0,-77.0,-82.0,-80.0,-100.0,-56.0,-67.0,-100.0,-88.0,-87.0,-100.0,-100.0,-100.0,-75.0,-100.0,-79.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-88.0,-79.0,-77.0,-100.0,-100.0,-87.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 171911,106.0,65.0,33.78405965413534,-14.150526018796993,-31.227067233082707,-0.6817202486466165,1.025595720300752,9.889489139097742,0.007496161596616542,2.850860917293242e-05,-0.0030843962703909775,-0.10315535041062453,0.06882966417623189,-1.8954587457771588,1003.2640803759398,-87.0,-86.0,-86.0,-72.0,-70.0,-63.0,-75.0,-79.0,-88.0,-70.0,-84.0,-79.0,-100.0,-56.0,-66.0,-91.0,-88.0,-100.0,-84.0,-81.0,-72.0,-70.0,-79.0,-63.0,-75.0,-79.0,-100.0,-70.0,-85.0,-80.0,-100.0,-56.0,-66.0,-92.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-81.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-88.0,-100.0,-86.0,-89.0,-90.0,-92.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 171923,105.0,66.0,31.17393048965517,-14.975172134482756,-29.498896213793103,-0.53550846,0.9181300862758621,9.897998131034484,0.0023554541727586202,-0.0023299032048275867,0.0016427852100689658,-0.09244495008526173,0.05390433038360081,-1.9579924238139186,1003.2671886206898,-89.0,-90.0,-84.0,-69.0,-61.0,-68.0,-73.0,-100.0,-100.0,-77.0,-83.0,-100.0,-100.0,-61.0,-75.0,-100.0,-87.0,-87.0,-83.0,-73.0,-69.0,-61.0,-78.0,-68.0,-73.0,-100.0,-100.0,-77.0,-83.0,-100.0,-100.0,-61.0,-75.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,-73.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,-85.0,-100.0,-85.0,-100.0,-100.0,-91.0,-100.0,-88.0,-89.0,-89.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 171935,104.0,67.0,28.70159973333333,-13.848799713333332,-27.791599726666664,-0.5454636888000001,0.8435030143333332,9.936799076666667,0.003725056156666667,-0.0021019872811333332,-0.00307407750568,-0.08456276752054687,0.05484703694780663,-1.9656885290145873,1003.2593571333333,-90.0,-88.0,-100.0,-70.0,-67.0,-70.0,-75.0,-83.0,-100.0,-76.0,-82.0,-100.0,-100.0,-61.0,-75.0,-100.0,-85.0,-88.0,-100.0,-70.0,-70.0,-67.0,-80.0,-70.0,-75.0,-83.0,-100.0,-75.0,-83.0,-100.0,-100.0,-61.0,-75.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-72.0,-100.0,-70.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-81.0,-100.0,-100.0,-82.0,-100.0,-82.0,-100.0,-100.0,-88.0,-89.0,-100.0,-100.0,-100.0,-89.0,-88.0,-88.0,-87.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 171948,103.0,68.0,27.8948433984375,-10.942968515625,-30.484218249999994,-0.43843287017187504,0.789044488125,9.933434679687501,0.004359592360937501,-0.0011534279886718751,-0.0013732629727343753,-0.07923752756323663,0.0441468381650338,-1.877095370553434,1003.259856484375,-100.0,-100.0,-82.0,-69.0,-67.0,-68.0,-76.0,-78.0,-100.0,-77.0,-86.0,-100.0,-100.0,-66.0,-78.0,-100.0,-100.0,-88.0,-82.0,-77.0,-69.0,-67.0,-75.0,-68.0,-76.0,-78.0,-100.0,-77.0,-86.0,-100.0,-100.0,-65.0,-78.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-68.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-86.0,-68.0,-100.0,-100.0,-75.0,-100.0,-77.0,-100.0,-100.0,-100.0,-88.0,-89.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 172000,102.0,69.0,28.913332928571425,-12.252380706349207,-32.446666166666674,-0.48269340575396824,0.726719413968254,9.944791424603174,0.005816154446031745,0.0010295212510317458,-0.003790438200555555,-0.07289909652715161,0.048526092308632515,-1.913970294452849,1003.2582646825398,-100.0,-100.0,-80.0,-70.0,-65.0,-72.0,-79.0,-100.0,-100.0,-73.0,-85.0,-100.0,-100.0,-67.0,-79.0,-100.0,-87.0,-100.0,-80.0,-80.0,-70.0,-65.0,-78.0,-72.0,-80.0,-84.0,-100.0,-76.0,-85.0,-100.0,-100.0,-66.0,-79.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-61.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-82.0,-62.0,-100.0,-100.0,-83.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,-88.0,-100.0,-83.0,-83.0,-87.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
