Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ee:a0:de:01,00:1a:ee:a0:de:02,00:1a:ee:a0:de:03,00:1a:ee:a0:de:04,00:1a:ee:a0:de:05,00:1a:ee:a0:de:07,00:1a:ee:a0:de:09,00:1a:ee:a0:de:10,00:1a:ee:a0:de:11,00:1a:ee:a0:de:12,00:1a:ee:a0:de:13,00:1a:ee:a0:de:17,00:1a:ee:a0:de:18,00:1a:ee:a0:de:19,00:1a:ee:a0:de:20,00:1a:ee:a0:de:22,00:1a:ee:a0:de:23,00:1a:ee:a0:de:36,00:1a:ee:a0:de:37,00:1a:ee:a0:de:43,00:1a:ee:a0:de:44,00:1a:ee:a0:de:49,00:1a:ee:a0:de:50,00:1a:ee:a0:de:52,00:1a:ee:a0:de:63,00:1a:ee:a0:de:64,00:1a:ee:a0:de:65,00:1a:ee:a0:de:68,00:1a:ee:a0:de:70,00:1a:ee:a0:de:72,00:1a:ee:a0:de:78,00:1a:ee:a0:de:79,00:1a:ee:a0:de:80,00:1a:ee:a0:de:81,00:1a:ee:a0:de:82,00:1a:ee:a0:de:84,00:1a:ee:a0:de:86,00:1a:ee:a0:de:89,00:1a:ee:a0:de:90,00:1a:ee:a0:de:91,00:1a:ee:a0:de:94,00:1a:ee:a0:de:95,00:1a:ee:a0:de:97,00:1a:ee:a0:de:98,00:1a:ee:a0:df:01,00:1a:ee:a0:df:03,00:1a:ee:a0:df:04,00:1a:ee:a0:df:05,00:1a:ee:a0:df:06,00:1a:ee:a0:df:08,00:1a:ee:a0:df:09,00:1a:ee:a0:df:14,00:1a:ee:a0:df:16,00:1a:ee:a0:df:19,00:1a:ee:a0:df:28,00:1a:ee:a0:df:40,00:08:9f:7c:21:44,00:1a:ee:a0:de:06,00:1a:ee:a0:de:15,00:1a:ee:a0:de:16,00:1a:ee:a0:de:77,00:1a:ee:a0:de:99,00:1a:ee:a0:df:02,00:1a:ee:a0:df:18,00:1a:ee:a0:df:30,00:1a:ee:a0:df:43,00:1a:ee:a0:de:61,00:1a:ee:a0:df:44,00:1a:ee:a0:de:53,00:1a:ee:a0:de:71,00:1a:ee:a0:df:31,00:1a:ee:a0:de:25,00:1a:ee:a0:de:26,00:1a:ee:a0:de:27,00:1a:ee:a0:de:62,00:1a:ee:a0:df:07,00:1a:ee:a0:df:10,00:1a:ee:a0:df:20,00:1a:ee:a0:df:23,00:1a:ee:a0:df:35,00:1a:ee:a0:de:08,00:1a:ee:a0:de:74,00:1a:ee:a0:de:93,00:1a:ee:a0:df:17,00:1a:ee:a0:df:27,00:1a:ee:a0:df:39,00:1a:ee:a0:de:29,00:1a:ee:a0:de:30,00:1a:ee:a0:de:33,00:1a:ee:a0:de:51,00:1a:ee:a0:df:15,00:1a:ee:a0:de:55,00:1a:ee:a0:de:54,00:1a:ee:a0:de:56,00:1a:ee:a0:df:36,00:1a:ee:a0:de:32,00:1a:ee:a0:de:69,00:1a:ee:a0:de:40,00:1a:ee:a0:de:47,00:1a:ee:a0:df:11,00:1a:ee:a0:de:21,00:1a:ee:a0:de:39,00:1a:ee:a0:de:46,00:1a:ee:a0:de:67,00:1a:ee:a0:df:24,00:1a:ee:a0:de:34,00:1a:ee:a0:de:41,00:1a:ee:a0:df:12,00:1a:ee:a0:df:29,00:1a:ee:a0:df:41,00:1a:ee:a0:df:26,00:1a:ee:a0:df:37,00:1a:ee:a0:df:38
2021.02.11 162454,32.758389261744966,25.0,-23.490447536912747,-12.841171738255033,-23.59988223489933,-0.1342234051136913,0.6987143660134227,9.72489574832215,0.00491570754053691,-0.0007517641660805364,0.001096877493758389,-0.07168497787726003,0.013527196462050469,2.0088585487148105,1015.0144645637585,-71.0,-60.0,-100.0,-100.0,-100.0,-78.0,-100.0,-76.0,-100.0,-73.0,-100.0,-72.0,-59.0,-73.0,-100.0,-61.0,-72.0,-100.0,-93.0,-100.0,-93.0,-100.0,-100.0,-72.0,-100.0,-100.0,-61.0,-100.0,-72.0,-100.0,-82.0,-100.0,-100.0,-70.0,-81.0,-58.0,-100.0,-100.0,-52.0,-87.0,-90.0,-100.0,-100.0,-100.0,-68.0,-80.0,-88.0,-84.0,-67.0,-81.0,-69.0,-100.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 162604,28.0,25.0,-26.263918564814816,-10.45926714814815,-22.1884225,0.09558718143981482,0.5638270515740741,9.751487643518518,0.005142863765,-0.0024627230548148146,-0.002830707414444444,-0.057797776793854054,-0.009766231263643834,1.9084056814511616,1015.055293333333,-70.0,-61.0,-100.0,-100.0,-100.0,-80.0,-100.0,-77.0,-100.0,-71.0,-100.0,-100.0,-61.0,-83.0,-100.0,-64.0,-61.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,-100.0,-100.0,-69.0,-100.0,-89.0,-84.0,-100.0,-80.0,-84.0,-64.0,-78.0,-100.0,-52.0,-90.0,-86.0,-100.0,-100.0,-100.0,-65.0,-100.0,-92.0,-79.0,-65.0,-100.0,-69.0,-100.0,-81.0,-100.0,-100.0,-100.0,-70.0,-100.0,-100.0,-59.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-80.0,-81.0,-83.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 162638,25.0,25.0,-26.151767049019604,-8.433429579411765,-23.574478529411763,-0.1179216138235294,0.5904726213725491,9.73631669607843,-0.0016739279650196085,-0.004884026120294117,0.0019330852251960777,-0.060550695887821526,0.012012331288846573,1.8302037961342756,1015.0659358823531,-71.0,-63.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-59.0,-63.0,-71.0,-100.0,-72.0,-59.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-100.0,-100.0,-100.0,-100.0,-72.0,-100.0,-90.0,-100.0,-100.0,-77.0,-100.0,-62.0,-100.0,-100.0,-53.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-77.0,-74.0,-79.0,-78.0,-100.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-81.0,-80.0,-100.0,-100.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 162703,23.0,25.0,-24.320457315315313,-8.926324611711712,-24.796512108108107,-0.22750435245945946,0.4817223945045045,9.750637873873874,0.004826826448792792,-0.0065782162044144155,0.0008784363645045045,-0.049371476511697474,0.023343025296108398,1.8715744759585407,1015.0721293693693,-100.0,-61.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.0,-66.0,-100.0,-100.0,-58.0,-61.0,-70.0,-83.0,-76.0,-58.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-100.0,-72.0,-59.0,-100.0,-71.0,-100.0,-100.0,-77.0,-100.0,-72.0,-71.0,-65.0,-100.0,-100.0,-49.0,-82.0,-88.0,-100.0,-100.0,-100.0,-72.0,-100.0,-69.0,-100.0,-66.0,-100.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-100.0,-100.0,-100.0,-80.0,-79.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-83.0,-92.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 162726,21.0,25.0,-23.6669482991453,-8.208201397435896,-25.296874196581193,-0.04828643978059829,0.40358581923076925,9.757334705128203,0.0022264368633333337,-0.0014487417333931627,-0.000853821783470086,-0.041349678252560924,0.004940444042878276,1.8630989433353782,1015.0774841025641,-100.0,-67.0,-100.0,-100.0,-100.0,-100.0,-82.0,-69.0,-74.0,-100.0,-81.0,-67.0,-66.0,-75.0,-100.0,-72.0,-56.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-89.0,-100.0,-100.0,-100.0,-73.0,-100.0,-88.0,-76.0,-82.0,-77.0,-76.0,-61.0,-100.0,-100.0,-52.0,-80.0,-85.0,-100.0,-100.0,-100.0,-70.0,-75.0,-68.0,-100.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-71.0,-100.0,-100.0,-100.0,-90.0,-90.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 162814,17.0,25.0,-22.698945757009348,-11.973164289719628,-25.94392696261682,-0.09624407205700936,0.4747415707476635,9.750992429906542,0.003193163397102804,-0.0043048793883177575,-0.0008186616061214958,-0.04868011970386323,0.00986237730014909,2.0072715237875967,1015.0829716822433,-74.0,-78.0,-77.0,-100.0,-90.0,-100.0,-92.0,-71.0,-72.0,-100.0,-78.0,-57.0,-79.0,-100.0,-100.0,-79.0,-56.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-66.0,-71.0,-100.0,-80.0,-100.0,-87.0,-100.0,-100.0,-74.0,-77.0,-75.0,-100.0,-100.0,-51.0,-64.0,-79.0,-100.0,-100.0,-100.0,-100.0,-87.0,-75.0,-86.0,-72.0,-100.0,-100.0,-91.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-80.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-77.0,-77.0,-100.0,-100.0,-100.0,-71.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0,-85.0,-84.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 162848,14.0,25.0,-24.282452451923078,-14.405343144230768,-24.656793759615383,-0.09469145144711538,0.5416187135576922,9.749695283653846,0.0017487998804807693,-0.005035202696634615,-0.003642824889519231,-0.05545882331744692,0.00957271029899575,2.0593284024642062,1015.0898683653845,-100.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.0,-65.0,-82.0,-76.0,-48.0,-100.0,-86.0,-100.0,-100.0,-55.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-85.0,-57.0,-55.0,-100.0,-69.0,-100.0,-100.0,-76.0,-100.0,-58.0,-76.0,-66.0,-100.0,-100.0,-42.0,-81.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-64.0,-100.0,-71.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-73.0,-100.0,-100.0,-100.0,-100.0,-76.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 162919,12.0,25.0,-23.367986910891084,-15.343504381188119,-23.40881011881189,-0.10275054438118812,0.602358755049505,9.763033737623761,0.0024425259280198017,-0.0045331007821287125,-0.0005621929040346531,-0.0616523603180257,0.010587765095743319,2.1023202815858446,1015.095406039604,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-62.0,-61.0,-100.0,-74.0,-52.0,-100.0,-89.0,-100.0,-100.0,-50.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-77.0,-100.0,-100.0,-100.0,-76.0,-100.0,-100.0,-81.0,-100.0,-62.0,-75.0,-60.0,-100.0,-100.0,-46.0,-73.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-100.0,-78.0,-100.0,-92.0,-88.0,-100.0,-100.0,-77.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 162931,11.0,25.0,-22.613907116071427,-14.489698053571429,-23.6213796875,-0.07179454451160715,0.5574953053571429,9.742017053571427,0.003176896204285714,-0.006006100857767857,0.002309378604053571,-0.05719829132846951,0.007341231188027944,2.0933916845491956,1015.095045982143,-76.0,-100.0,-89.0,-100.0,-100.0,-100.0,-84.0,-62.0,-63.0,-83.0,-100.0,-59.0,-100.0,-91.0,-85.0,-78.0,-52.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-73.0,-49.0,-66.0,-100.0,-100.0,-100.0,-100.0,-67.0,-100.0,-64.0,-74.0,-69.0,-100.0,-100.0,-38.0,-63.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-68.0,-100.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.0,-100.0,-80.0,-79.0,-73.0,-72.0,-100.0,-100.0,-100.0,-74.0,-75.0,-100.0,-100.0,-100.0,-100.0,-90.0,-89.0,-100.0,-100.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 163043,10.0,22.0,11.325889694444445,-28.390187453703703,-17.112309032407406,-0.08325456166018518,0.7687362954629627,9.73246712962963,0.0025229340708333332,-0.0032268721675,0.0027913622023611113,-0.07883202077613934,0.008537906773940234,-2.748339533805847,1015.1137700000002,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-60.0,-67.0,-82.0,-70.0,-58.0,-100.0,-89.0,-100.0,-100.0,-59.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-83.0,-62.0,-100.0,-100.0,-77.0,-100.0,-100.0,-76.0,-100.0,-100.0,-77.0,-65.0,-100.0,-100.0,-37.0,-63.0,-100.0,-100.0,-100.0,-100.0,-77.0,-82.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-86.0,-86.0,-100.0,-100.0,-71.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 163055,10.0,21.0,8.610020224761904,-23.979902066666668,-17.194414985714285,-0.1889543705904762,0.4778758863809524,9.759971376190476,0.004538977737380952,-0.003236430128066667,-0.003943984088666666,-0.048904895693773265,0.019382640957233587,-2.797624295098441,1015.1162292380951,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-46.0,-53.0,-100.0,-77.0,-67.0,-100.0,-92.0,-100.0,-100.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-64.0,-70.0,-100.0,-100.0,-100.0,-31.0,-59.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-74.0,-100.0,-82.0,-100.0,-100.0,-100.0,-67.0,-100.0,-100.0,-72.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-81.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 163120,10.0,19.0,1.7629064909708736,-32.16440117475729,-16.296668708737865,-0.2572037277864077,0.619431183592233,9.741202320388348,0.004063046169708737,-0.003981870924300971,-0.0029350614209320393,-0.06349361420256416,0.0264082083351982,-2.9158244040405865,1015.1195620388352,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-47.0,-38.0,-100.0,-78.0,-68.0,-100.0,-92.0,-100.0,-74.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-90.0,-58.0,-100.0,-100.0,-84.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-30.0,-46.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-70.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 163133,10.0,18.0,9.747574605940596,-34.92543584158416,-15.267714663366338,-0.25055442812554457,0.5572839828712871,9.733290128712872,0.006925519013069306,-0.0012265669663069309,-0.008443508953524753,-0.05715734175968875,0.02571377734111048,-2.8728125756329828,1015.1239188118814,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-41.0,-41.0,-100.0,-78.0,-66.0,-100.0,-85.0,-100.0,-100.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-69.0,-79.0,-76.0,-100.0,-100.0,-33.0,-38.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-65.0,-100.0,-77.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 163247,9.0,13.0,-21.73124124,-7.5337668289999975,-17.55829687,-0.22305804856999997,0.5777217632,9.745512905,0.00400978064267,-0.0031045881437,-0.005598840139200001,-0.05921364485286173,0.022841623381245846,1.8567168533802032,1015.1383539000001,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-31.0,-31.0,-100.0,-80.0,-81.0,-100.0,-100.0,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-92.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-89.0,-80.0,-100.0,-100.0,-32.0,-48.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 163258,8.0,13.0,-21.91530658095238,-6.396483455238095,-18.03209158095238,-0.12245448883333333,0.7075013282857144,9.746914933333333,0.003110305822790476,-0.0032636753374000005,-0.00013207672114285755,-0.07246479562350677,0.012563473228198828,1.7971086604254587,1015.136463142857,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-38.0,-43.0,-100.0,-87.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-79.0,-100.0,-100.0,-100.0,-40.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-82.0,-83.0,-84.0,-82.0,-100.0,-100.0,-100.0
2021.02.11 163320,6.0,13.0,-25.340827637254897,-6.082738585294116,-18.701324519607844,-0.13145226343137253,0.5386760893137255,9.751912558823529,0.00286720492137255,-0.0022807418444117647,-0.0008459108999019607,-0.05519029832280729,0.013498273645025437,1.7659831128868402,1015.1344318627449,-100.0,-77.0,-100.0,-100.0,-91.0,-89.0,-100.0,-35.0,-35.0,-100.0,-100.0,-100.0,-77.0,-93.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-45.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-79.0,-100.0,-100.0,-90.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-80.0,-82.0,-100.0,-100.0,-100.0,-84.0,-83.0,-85.0
2021.02.11 163342,4.0,13.0,-25.72411698058252,-10.863154087378641,-19.36998414563107,-0.027390574950776708,0.4973310132038834,9.746809500000001,0.001957462923009709,-0.0022372987745631068,-0.0033955876363106793,-0.05101580111291798,0.002790219272461834,1.9362910036901826,1015.1287378640782,-100.0,-78.0,-100.0,-100.0,-89.0,-100.0,-100.0,-62.0,-44.0,-100.0,-100.0,-82.0,-100.0,-90.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.0,-80.0,-86.0,-100.0,-100.0,-46.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-100.0,-82.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-82.0,-100.0,-100.0,-72.0,-73.0,-100.0,-100.0,-82.0,-81.0,-100.0,-80.0,-81.0,-83.0,-83.0,-84.0
