Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ab:a0:de:a4,00:1a:ac:a0:de:b5,00:1a:ac:a0:de:b7,00:1a:ac:a0:de:b8,00:1a:ac:a0:de:d3,00:1a:ac:a0:de:e8,00:1a:ac:a0:de:e9,00:1a:ac:a0:de:f5,00:1a:ac:a0:de:f6,00:1a:ac:a0:de:g9,00:1a:ac:a0:de:h4,00:1a:ac:a0:de:k7,00:1a:ac:a0:de:k8,00:1a:ac:a0:de:m2,00:1a:ac:a0:de:m3,00:1a:ac:a0:de:n6,00:1a:ac:a0:de:n8,00:1a:ac:a0:de:p1,00:1a:ac:a0:de:p2,00:1a:ac:a0:de:p3,00:1a:ac:a0:de:p4,00:1a:ac:a0:de:p5,00:1a:ac:a0:de:p6,00:1a:ac:a0:de:p7,00:1a:ac:a0:de:p8,00:1a:ac:a0:de:r2,00:1a:ac:a0:de:r5,00:1a:ac:a0:de:r6,00:1a:ac:a0:de:r9,00:1a:ac:a0:de:s1,00:1a:ac:a0:de:s2,00:1a:ac:a0:de:s3,00:1a:ac:a0:de:s4,00:1a:ac:a0:de:s5,00:1a:ac:a0:de:s6,00:1a:ac:a0:de:s7,00:1a:ac:a0:de:t3,00:1a:ac:a0:de:t5,00:1a:ac:a0:de:t7,00:1a:ac:a0:de:t8,00:1a:ac:a0:de:u1,00:1a:ac:a0:de:u2,00:1a:ac:a0:de:u3,00:1a:ac:a0:de:u4,00:1a:ac:a0:de:u5,00:1a:ac:a0:de:v8,00:1a:ac:a0:de:w2,00:1a:ac:a0:de:w3,00:1a:ac:a0:de:w6,00:1a:ac:a0:de:w7,00:1a:ac:a0:de:w8,00:1a:ac:a0:de:w9,00:1a:ac:a0:de:x1,00:1a:ac:a0:de:x2,00:1a:ac:a0:de:x3,00:1a:ac:a0:de:x4,00:1a:ac:a0:de:x7,32:24:a9:c6:2d:75,70:5d:cc:e8:73:1c,70:5d:cc:e8:73:1e,86:25:19:b5:ef:50,88:36:6c:4b:14:1c,ea:d8:d1:b4:cf:21,00:1a:ac:a0:de:r1,00:1a:ac:a0:de:t9,00:1a:ac:a0:de:h3,00:1a:ac:a0:de:b6,00:1a:ac:a0:de:v7,00:1a:ac:a0:de:k9,88:36:6c:51:f3:22,00:1a:ac:a0:de:f8,00:1a:ac:a0:de:l8,00:1a:ac:a0:de:n9,00:1a:ac:a0:de:t6,70:5d:cc:b6:d1:c8,00:1a:ac:a0:de:n4,00:1a:ac:a0:de:h6,00:1a:ac:a0:de:j9,00:1a:ac:a0:de:l1,72:5d:cc:c6:d1:c8,00:1a:ac:a0:de:f3,00:1a:ac:a0:de:r7,00:1a:ac:a0:de:w4,00:1a:ac:a0:de:b3,00:1a:ac:a0:de:m9,00:1a:ac:a0:de:f2,70:5d:cc:05:03:10,00:1a:ac:a0:de:f7,00:1a:ac:a0:de:l7,00:1a:ab:a0:de:a7,00:1a:ac:a0:de:g2,00:1a:ac:a0:de:i8,00:1a:ac:a0:de:l2,00:1a:ac:a0:de:d4,00:1a:ac:a0:de:t1,00:1a:ac:a0:de:h9,00:1a:ac:a0:de:q4,00:1a:ac:a0:de:v1,00:1a:ac:a0:de:g7,00:1a:ac:a0:de:n7,00:1a:ac:a0:de:t4,00:1a:ac:a0:de:n5,70:5d:cc:b1:75:50,90:9f:33:a4:06:5c,00:1a:ac:a0:de:t2,00:1a:ac:a0:de:j6,00:1a:ac:a0:de:l9,00:1a:ac:a0:de:j7,00:1a:ac:a0:de:k4,00:1a:ac:a0:de:b1,70:5d:cc:ea:72:5c,00:1a:ac:a0:de:k2,72:5d:cc:4b:31:60,00:1a:ac:a0:de:k1,00:1a:ac:a0:de:r3,00:1a:ac:a0:de:v9,00:1a:ac:a0:de:f9,00:1a:ac:a0:de:i6,00:1a:ac:a0:de:m4,00:1a:ac:a0:de:g1,00:1a:ac:a0:de:j1,00:1a:ac:a0:de:r4,00:1a:ac:a0:de:w1,00:1a:ac:a0:de:b4,00:1a:ac:a0:de:b2,00:1a:ac:a0:de:j5,00:1a:ac:a0:de:k3,00:1b:ad:a1:df:a8,28:b3:71:0f:d8:ec,28:b3:71:0f:d8:ed,28:b3:71:4f:d8:ec,28:b3:71:8f:d8:ec,28:b3:71:cf:d8:ec,00:1a:ac:a0:de:h5,28:b3:71:0f:d8:e9,28:b3:71:4f:d8:e8,28:b3:71:8f:d8:e8,28:b3:71:cf:d8:e8,00:1a:ac:a0:de:j8,28:b3:71:0f:d8:e8,00:1a:ac:a0:de:j2,00:1a:ac:a0:de:i7,00:1a:ac:a0:de:r8,00:1a:ac:a0:de:w5,70:5d:cc:ea:72:5e,70:5d:cc:1b:31:60,00:1a:ac:a0:de:c2,00:1a:ac:a0:de:q2,00:1a:ac:a0:de:u8,00:1a:ac:a0:de:c1,00:1a:ac:a0:de:q5,00:1a:ac:a0:de:q6,00:1a:ac:a0:de:v2,00:1a:ac:a0:de:e1,00:1a:ac:a0:de:e4,00:1a:ac:a0:de:m5,00:1a:ac:a0:de:s8,00:1a:ac:a0:de:v3,00:1a:ac:a0:de:p9,00:1a:ac:a0:de:u6,00:1a:ac:a0:de:q3,00:1a:ac:a0:de:u9,00:1a:ac:a0:de:x5,00:1a:ac:a0:de:v5,00:1a:ac:a0:de:q8,00:1a:ac:a0:de:j3
2021.05.22 152038,8.0,24.0,28.579999674796746,-0.09902438804878047,-32.91756046341464,-0.31627786175609757,0.5060484738617886,9.962635792682926,0.0024796312219024378,-0.0031786100009756103,0.0015632785093495935,-0.050734615195693965,0.03172982050999389,-1.5115476207035343,1000.6447730894309,-100.0,-55.0,-62.0,-75.0,-66.0,-59.0,-84.0,-100.0,-65.0,-83.0,-72.0,-60.0,-76.0,-68.0,-81.0,-100.0,-100.0,-73.0,-89.0,-68.0,-80.0,-49.0,-58.0,-60.0,-80.0,-79.0,-54.0,-67.0,-100.0,-85.0,-39.0,-43.0,-66.0,-62.0,-64.0,-73.0,-100.0,-100.0,-73.0,-89.0,-81.0,-48.0,-58.0,-60.0,-81.0,-79.0,-53.0,-67.0,-100.0,-86.0,-39.0,-43.0,-62.0,-62.0,-64.0,-73.0,-100.0,-100.0,-82.0,-100.0,-68.0,-100.0,-100.0,-67.0,-67.0,-100.0,-100.0,-65.0,-100.0,-100.0,-89.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 152049,9.0,24.0,27.55053399236641,2.647328201526717,-34.84305294656489,-0.3542247317557251,0.4208623361450382,9.968791583969466,-0.00031405461987022934,-0.002174983288931298,0.00040887863893129817,-0.04216415728691192,0.03555680692679323,-1.4130301703023547,1000.6477277862597,-100.0,-65.0,-59.0,-71.0,-78.0,-61.0,-83.0,-100.0,-76.0,-80.0,-70.0,-62.0,-73.0,-68.0,-82.0,-80.0,-73.0,-81.0,-85.0,-63.0,-86.0,-53.0,-59.0,-60.0,-74.0,-79.0,-56.0,-71.0,-100.0,-86.0,-45.0,-51.0,-64.0,-63.0,-68.0,-76.0,-100.0,-74.0,-83.0,-85.0,-85.0,-54.0,-59.0,-60.0,-75.0,-79.0,-55.0,-70.0,-100.0,-86.0,-45.0,-51.0,-65.0,-63.0,-67.0,-76.0,-100.0,-100.0,-78.0,-100.0,-74.0,-100.0,-100.0,-100.0,-62.0,-100.0,-74.0,-100.0,-100.0,-100.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 152100,10.0,24.0,26.77441820155039,3.663720886046512,-36.576743829457364,-0.4060059040387597,0.3834551735581395,9.975718069767442,0.0020447838317364337,-0.007970015396899227,0.0030067638817829457,-0.038431478815438375,0.04060616692196024,-1.370705251545869,1000.6309729457364,-84.0,-69.0,-55.0,-71.0,-100.0,-67.0,-86.0,-100.0,-68.0,-80.0,-62.0,-63.0,-79.0,-100.0,-82.0,-100.0,-100.0,-100.0,-87.0,-69.0,-83.0,-57.0,-59.0,-63.0,-74.0,-79.0,-62.0,-73.0,-100.0,-100.0,-48.0,-53.0,-61.0,-63.0,-64.0,-77.0,-100.0,-79.0,-100.0,-88.0,-84.0,-56.0,-59.0,-63.0,-73.0,-79.0,-63.0,-72.0,-100.0,-100.0,-47.0,-53.0,-62.0,-63.0,-63.0,-77.0,-100.0,-100.0,-78.0,-75.0,-74.0,-77.0,-100.0,-100.0,-70.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 152111,11.0,24.0,26.39904728571428,4.028571373809524,-38.02809478571428,-0.31123672182539697,0.5016195758492064,9.960449253968255,0.0015467787908492062,-0.004630213237301586,0.0048571737051587285,-0.05030738063422693,0.03133070147374551,-1.3369294736120436,1000.6224430952379,-100.0,-63.0,-58.0,-68.0,-100.0,-100.0,-89.0,-100.0,-64.0,-80.0,-66.0,-64.0,-77.0,-67.0,-80.0,-100.0,-67.0,-71.0,-83.0,-100.0,-86.0,-100.0,-62.0,-59.0,-77.0,-78.0,-60.0,-75.0,-85.0,-85.0,-47.0,-52.0,-65.0,-68.0,-61.0,-73.0,-100.0,-70.0,-71.0,-83.0,-85.0,-54.0,-62.0,-59.0,-77.0,-79.0,-60.0,-75.0,-85.0,-84.0,-47.0,-52.0,-64.0,-68.0,-61.0,-73.0,-74.0,-100.0,-75.0,-71.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-87.0,-88.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 152122,12.0,24.0,27.32883675968992,3.0432557720930236,-38.866976170542635,-0.3954636695348837,0.3208513841550388,9.978205170542635,0.0034938130398992247,-0.0037791960003100773,0.004020137318217054,-0.032137697966929404,0.03959836747295169,-1.4036722137022388,1000.6309119379845,-100.0,-73.0,-59.0,-67.0,-74.0,-100.0,-89.0,-100.0,-60.0,-100.0,-62.0,-66.0,-78.0,-62.0,-74.0,-100.0,-76.0,-76.0,-90.0,-72.0,-88.0,-48.0,-59.0,-58.0,-76.0,-77.0,-62.0,-76.0,-100.0,-87.0,-48.0,-59.0,-61.0,-61.0,-63.0,-71.0,-100.0,-75.0,-74.0,-88.0,-89.0,-49.0,-59.0,-58.0,-76.0,-77.0,-62.0,-76.0,-100.0,-87.0,-49.0,-59.0,-60.0,-61.0,-63.0,-71.0,-100.0,-100.0,-77.0,-71.0,-69.0,-66.0,-100.0,-100.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 152133,13.0,24.0,27.457443248120303,2.891729284962406,-38.77714238345864,-0.31743043432330825,0.4228685353609023,9.963549578947369,0.0016970709867067666,-0.0024332416255639098,0.003676269824812031,-0.042397136080491886,0.03186696698482991,-1.3973282889315957,1000.6194766917293,-100.0,-74.0,-61.0,-68.0,-100.0,-100.0,-91.0,-72.0,-60.0,-80.0,-60.0,-67.0,-82.0,-59.0,-73.0,-84.0,-65.0,-74.0,-85.0,-73.0,-90.0,-46.0,-54.0,-58.0,-71.0,-77.0,-64.0,-79.0,-100.0,-79.0,-51.0,-60.0,-56.0,-54.0,-56.0,-73.0,-100.0,-65.0,-74.0,-85.0,-89.0,-45.0,-54.0,-59.0,-72.0,-76.0,-65.0,-79.0,-100.0,-79.0,-51.0,-60.0,-56.0,-54.0,-57.0,-73.0,-100.0,-69.0,-77.0,-100.0,-70.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-91.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 152145,14.0,24.0,28.745196385826773,3.388818846456692,-36.498424834645675,-0.3704150504330709,0.455100741023622,9.95876929527559,0.0009185441255196849,-0.002923134433385825,0.004743719771259842,-0.045650245717132616,0.037216713718013925,-1.3859901118466234,1000.611975984252,-74.0,-73.0,-60.0,-66.0,-78.0,-100.0,-100.0,-64.0,-61.0,-83.0,-63.0,-70.0,-87.0,-58.0,-74.0,-100.0,-71.0,-66.0,-81.0,-100.0,-87.0,-49.0,-50.0,-56.0,-65.0,-77.0,-68.0,-81.0,-100.0,-80.0,-57.0,-67.0,-58.0,-59.0,-57.0,-75.0,-100.0,-71.0,-66.0,-81.0,-86.0,-49.0,-50.0,-57.0,-68.0,-77.0,-57.0,-81.0,-100.0,-79.0,-57.0,-67.0,-56.0,-59.0,-57.0,-75.0,-100.0,-100.0,-74.0,-69.0,-80.0,-65.0,-100.0,-100.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-87.0,-84.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 152156,15.0,24.0,28.307585698275865,5.035861979310344,-34.034482318965516,-0.3345173437758621,0.42320871413793104,9.967943978448279,0.0005046800913275866,-0.006299811091637932,0.003260882959051724,-0.04243137200908924,0.03354411754066699,-1.3340200391309014,1000.6161901724138,-71.0,-75.0,-59.0,-68.0,-76.0,-100.0,-100.0,-71.0,-56.0,-82.0,-63.0,-100.0,-87.0,-54.0,-69.0,-100.0,-56.0,-68.0,-86.0,-100.0,-100.0,-44.0,-50.0,-58.0,-71.0,-77.0,-67.0,-80.0,-100.0,-83.0,-60.0,-61.0,-57.0,-60.0,-60.0,-75.0,-100.0,-66.0,-73.0,-85.0,-100.0,-46.0,-50.0,-56.0,-71.0,-77.0,-67.0,-79.0,-81.0,-84.0,-60.0,-60.0,-57.0,-60.0,-59.0,-76.0,-100.0,-100.0,-73.0,-69.0,-77.0,-100.0,-100.0,-72.0,-100.0,-100.0,-100.0,-65.0,-80.0,-100.0,-87.0,-90.0,-85.0,-86.0,-100.0,-85.0,-100.0,-100.0,-100.0,-69.0,-91.0,-88.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 152207,16.0,24.0,26.496093445312496,4.07718742734375,-31.717968390624996,-0.2795877015234375,0.552404091640625,9.96744085546875,-0.0010838656133749995,-0.004444999170859375,0.002002454534375,-0.05535764311207454,0.028011962494929273,-1.3444962222129107,1000.613036484375,-70.0,-77.0,-62.0,-68.0,-100.0,-66.0,-100.0,-56.0,-53.0,-73.0,-100.0,-75.0,-91.0,-73.0,-80.0,-100.0,-64.0,-68.0,-84.0,-73.0,-100.0,-48.0,-45.0,-49.0,-67.0,-79.0,-69.0,-79.0,-100.0,-83.0,-63.0,-62.0,-55.0,-58.0,-61.0,-68.0,-100.0,-65.0,-100.0,-85.0,-100.0,-49.0,-45.0,-51.0,-64.0,-80.0,-100.0,-79.0,-100.0,-83.0,-61.0,-62.0,-55.0,-59.0,-60.0,-68.0,-100.0,-66.0,-64.0,-100.0,-79.0,-71.0,-100.0,-100.0,-73.0,-65.0,-100.0,-100.0,-87.0,-100.0,-81.0,-89.0,-89.0,-87.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 152218,17.0,24.0,26.461342940298504,6.0519402052238815,-32.72462626119403,-0.29279836634328354,0.4797483485820895,9.977890156716418,0.0014743459548283587,-0.006753480158208954,0.005118394248134328,-0.04802694316230599,0.029319034187373336,-1.2783626220119533,1000.6019606716421,-100.0,-79.0,-68.0,-74.0,-88.0,-100.0,-100.0,-63.0,-54.0,-72.0,-75.0,-75.0,-100.0,-100.0,-87.0,-100.0,-63.0,-66.0,-81.0,-74.0,-100.0,-41.0,-45.0,-48.0,-61.0,-79.0,-100.0,-78.0,-100.0,-86.0,-64.0,-68.0,-57.0,-55.0,-61.0,-66.0,-100.0,-65.0,-65.0,-81.0,-100.0,-41.0,-45.0,-48.0,-61.0,-80.0,-75.0,-79.0,-100.0,-86.0,-61.0,-68.0,-56.0,-55.0,-61.0,-66.0,-100.0,-64.0,-67.0,-61.0,-83.0,-100.0,-73.0,-70.0,-73.0,-65.0,-100.0,-72.0,-77.0,-100.0,-85.0,-100.0,-85.0,-85.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-83.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 152229,18.0,24.0,27.400908742424242,7.251818063636365,-33.17227231060607,-0.31727768784242427,0.4493799905681818,9.966114477272725,-0.0004462463348712119,-0.00435056347219697,0.011486339768181818,-0.04506165059424481,0.03177944028919388,-1.2484684189160664,1000.5962134090911,-100.0,-79.0,-62.0,-78.0,-100.0,-100.0,-100.0,-72.0,-59.0,-73.0,-100.0,-82.0,-100.0,-65.0,-88.0,-100.0,-65.0,-68.0,-83.0,-75.0,-100.0,-42.0,-44.0,-45.0,-60.0,-75.0,-67.0,-83.0,-100.0,-82.0,-62.0,-72.0,-58.0,-57.0,-60.0,-76.0,-100.0,-64.0,-67.0,-83.0,-100.0,-42.0,-44.0,-47.0,-60.0,-75.0,-71.0,-83.0,-100.0,-82.0,-63.0,-72.0,-57.0,-57.0,-60.0,-76.0,-100.0,-64.0,-67.0,-57.0,-85.0,-100.0,-71.0,-67.0,-75.0,-61.0,-100.0,-100.0,-77.0,-100.0,-86.0,-100.0,-82.0,-83.0,-100.0,-81.0,-83.0,-78.0,-100.0,-100.0,-89.0,-100.0,-100.0,-81.0,-100.0,-100.0,-88.0,-79.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
