Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ia:ct:de:06,00:1a:ia:ct:de:07,00:1a:ia:ct:de:09,00:1a:ia:ct:de:10,00:1a:ia:ct:de:16,00:1a:ia:ct:de:18,00:1a:ia:ct:de:19,00:1a:ia:ct:de:23,00:1a:ia:ct:de:24,00:1a:ia:ct:de:29,00:1a:ia:ct:de:30,00:1a:ia:ct:de:31,00:1a:ia:ct:de:32,00:1a:ia:ct:de:40,00:1a:ia:ct:de:47,00:1a:ia:ct:de:62,00:1a:ia:ct:de:63,00:1a:ia:ct:de:65,00:1a:ia:ct:de:68,00:1a:ia:ct:de:69,00:1a:ia:ct:de:70,00:1a:ia:ct:de:71,00:1a:ia:ct:de:72,00:1a:ia:ct:de:74,00:1a:ia:ct:de:75,00:1a:ia:ct:de:76,00:1a:ia:ct:de:77,00:1a:ia:ct:de:78,00:1a:ia:ct:de:80,00:1a:ia:ct:de:82,00:1a:ia:ct:de:83,00:1a:ia:ct:de:84,00:1a:ia:ct:de:85,00:1a:ia:ct:de:86,00:1a:ia:ct:de:87,00:1a:ia:ct:de:89,00:1a:ia:ct:de:90,00:1a:ia:ct:de:91,00:1a:ia:ct:de:92,00:1a:ia:ct:de:93,00:1a:ia:ct:de:94,00:1a:ia:ct:de:95,00:1a:ia:ct:de:96,00:1a:ia:ct:de:97,00:1a:ia:ct:de:98,00:1a:ia:ct:df:01,00:1a:ia:ct:df:02,00:1a:ia:ct:df:03,00:1a:ia:ct:df:04,00:1a:ia:ct:df:05,00:1a:ia:ct:df:06,00:1a:ia:ct:df:07,00:1a:ia:ct:df:08,00:1a:ia:ct:df:09,00:1a:ia:ct:df:11,00:1a:ia:ct:df:12,00:1a:ia:ct:df:13,00:1a:ia:ct:de:36,00:1a:ia:ct:de:39,00:1a:ia:ct:de:46,00:1a:ia:ct:de:64,00:1a:ia:ct:de:66,00:1a:ia:ct:de:67,00:1a:ia:ct:de:79,00:1a:ia:ct:de:81,00:1a:ia:ct:de:99,00:1a:ia:ct:df:10,00:1a:ia:ct:df:15,94:f6:65:00:06:7c,00:1a:ia:ct:de:44,00:1a:ia:ct:de:17,00:1a:ia:ct:de:58,00:1a:ia:ct:de:59,00:1a:ia:ct:de:35,00:1a:ia:ct:de:57,00:1a:ia:ct:df:14,50:64:2b:74:9e:a9,00:23:eb:22:cc:77,88:3c:1c:7c:d0:74,00:1a:ia:ct:de:73,00:1a:ia:ct:de:88,00:25:a6:ba:e3:64,00:1a:ia:ct:de:51,00:1a:ia:ct:de:05,00:1a:ia:ct:de:12,00:1a:ia:ct:de:26,00:1a:ia:ct:de:33,00:1a:ia:ct:de:41,00:1a:ia:ct:de:49,00:1a:ia:ct:de:53,00:1a:ia:ct:de:54,00:1a:ia:ct:de:13,00:1a:ia:ct:de:21,00:1a:ia:ct:de:27,00:1a:ia:ct:de:34,00:1a:ia:ct:de:50,00:1a:ia:ct:de:22,00:1a:ia:ct:de:38,00:1a:ia:ct:de:08,00:1a:ia:ct:de:15,00:1a:ia:ct:de:55,00:1a:ia:ct:df:17,00:1a:ia:ct:de:14,00:1a:ia:ct:de:20,00:1a:ia:ct:de:28,00:1a:ia:ct:de:45,00:1a:ia:ct:de:56,00:1a:ia:ct:de:42,00:1a:ia:ct:de:61,00:1a:ia:ct:de:48,00:1a:ia:ct:de:60
2021.02.12 113249,12.0,10.0,29.342416852173915,-5.452121515652175,-36.68264507826086,-0.3116957586086957,0.4439922475652174,9.747677647826087,0.0075519070047826075,-0.000913863278869565,-0.0020961663806434772,-0.045483937843338255,0.03197161567437903,-1.7026797398276952,1016.7143046956523,-78.0,-86.0,-86.0,-100.0,-66.0,-66.0,-69.0,-86.0,-100.0,-66.0,-76.0,-66.0,-69.0,-100.0,-100.0,-74.0,-78.0,-68.0,-62.0,-75.0,-56.0,-62.0,-79.0,-66.0,-67.0,-51.0,-63.0,-79.0,-68.0,-85.0,-62.0,-75.0,-56.0,-62.0,-81.0,-66.0,-68.0,-52.0,-63.0,-51.0,-55.0,-59.0,-68.0,-56.0,-63.0,-69.0,-51.0,-64.0,-50.0,-56.0,-59.0,-69.0,-56.0,-63.0,-69.0,-51.0,-64.0,-90.0,-100.0,-100.0,-100.0,-80.0,-86.0,-100.0,-81.0,-62.0,-62.0,-78.0,-100.0,-100.0,-76.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113302,13.0,10.0,27.721669765765768,-6.647940018018019,-29.412498063063065,-0.24428916582612611,0.6347447022522523,9.745956355855858,0.007215413825585586,-0.0020404654086846846,0.0015365573534594594,-0.06505644338222233,0.025080644021645518,-1.7423666951892611,1016.71750954955,-82.0,-72.0,-84.0,-86.0,-69.0,-59.0,-70.0,-82.0,-86.0,-69.0,-78.0,-58.0,-70.0,-100.0,-74.0,-70.0,-79.0,-60.0,-69.0,-69.0,-55.0,-62.0,-81.0,-68.0,-73.0,-49.0,-50.0,-79.0,-61.0,-87.0,-70.0,-70.0,-56.0,-62.0,-81.0,-66.0,-73.0,-48.0,-50.0,-45.0,-54.0,-61.0,-66.0,-60.0,-62.0,-66.0,-54.0,-63.0,-44.0,-54.0,-61.0,-66.0,-60.0,-62.0,-67.0,-54.0,-64.0,-87.0,-100.0,-100.0,-88.0,-81.0,-100.0,-88.0,-81.0,-65.0,-65.0,-73.0,-100.0,-100.0,-77.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113319,13.0,11.0,7.860195352631579,13.078745013157896,-34.63553413157895,-0.3859330721052631,0.6018657564912282,9.741244315789475,0.003781064388333333,0.000579950498157895,-0.005946078724035087,-0.06168244213780808,0.039611585078793615,-0.4030938694874446,1016.7052013157895,-85.0,-79.0,-81.0,-86.0,-66.0,-66.0,-65.0,-77.0,-88.0,-100.0,-76.0,-63.0,-66.0,-84.0,-100.0,-70.0,-75.0,-67.0,-63.0,-72.0,-50.0,-58.0,-82.0,-67.0,-67.0,-42.0,-49.0,-76.0,-67.0,-88.0,-63.0,-72.0,-50.0,-58.0,-81.0,-67.0,-67.0,-42.0,-49.0,-44.0,-52.0,-57.0,-66.0,-61.0,-54.0,-70.0,-59.0,-63.0,-44.0,-53.0,-57.0,-65.0,-61.0,-54.0,-70.0,-59.0,-63.0,-84.0,-100.0,-100.0,-88.0,-77.0,-85.0,-89.0,-77.0,-66.0,-66.0,-100.0,-100.0,-100.0,-76.0,-100.0,-80.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113331,13.0,12.0,-0.117482695005,17.666181266666666,-34.732757875,-0.3713802806666667,0.6922263021666667,9.738266004166666,0.00456611216125,6.3179677500000555e-06,-0.004297366876083333,-0.07092645447701211,0.03813030068607375,0.07194935282944542,1016.7055593333333,-88.0,-100.0,-83.0,-100.0,-100.0,-62.0,-67.0,-83.0,-100.0,-81.0,-79.0,-64.0,-67.0,-100.0,-77.0,-72.0,-100.0,-60.0,-64.0,-74.0,-54.0,-58.0,-83.0,-58.0,-70.0,-44.0,-53.0,-82.0,-60.0,-100.0,-65.0,-74.0,-53.0,-58.0,-84.0,-58.0,-70.0,-44.0,-53.0,-46.0,-59.0,-60.0,-74.0,-54.0,-58.0,-69.0,-58.0,-62.0,-45.0,-58.0,-59.0,-74.0,-53.0,-58.0,-69.0,-59.0,-62.0,-84.0,-84.0,-84.0,-100.0,-76.0,-100.0,-100.0,-76.0,-69.0,-68.0,-78.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113343,13.0,13.0,-0.9678570161160714,15.441531808035714,-33.68945623214286,-0.2499108240714286,0.4829794539285714,9.754911964285714,0.002671258661357143,-0.000932376874205357,-0.003559402072767857,-0.049475802341476034,0.025598426673760857,0.10671093467057546,1016.7091420535713,-84.0,-85.0,-84.0,-100.0,-71.0,-100.0,-79.0,-83.0,-100.0,-70.0,-84.0,-65.0,-79.0,-78.0,-100.0,-78.0,-83.0,-62.0,-68.0,-72.0,-52.0,-58.0,-87.0,-68.0,-75.0,-43.0,-49.0,-83.0,-62.0,-90.0,-68.0,-72.0,-52.0,-58.0,-90.0,-68.0,-75.0,-45.0,-49.0,-46.0,-60.0,-63.0,-70.0,-53.0,-56.0,-73.0,-59.0,-63.0,-45.0,-60.0,-63.0,-70.0,-53.0,-56.0,-73.0,-59.0,-63.0,-88.0,-100.0,-100.0,-91.0,-78.0,-90.0,-91.0,-78.0,-68.0,-68.0,-75.0,-100.0,-100.0,-83.0,-100.0,-100.0,-80.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113354,13.0,14.0,-1.8457007620353982,15.219637615044247,-36.91922829203539,-0.3160820135752212,0.4433242730973451,9.75031027876106,-0.0025932137845132743,-0.004294555138548672,-0.006628797241858408,-0.04541477107698406,0.03238883788287388,0.17815174721181393,1016.704664336283,-89.0,-89.0,-85.0,-100.0,-78.0,-63.0,-75.0,-85.0,-100.0,-78.0,-79.0,-63.0,-75.0,-89.0,-80.0,-79.0,-83.0,-66.0,-68.0,-67.0,-53.0,-59.0,-82.0,-66.0,-70.0,-51.0,-60.0,-83.0,-66.0,-90.0,-68.0,-67.0,-53.0,-59.0,-83.0,-67.0,-70.0,-51.0,-60.0,-40.0,-58.0,-63.0,-67.0,-55.0,-56.0,-71.0,-50.0,-66.0,-40.0,-58.0,-62.0,-67.0,-55.0,-56.0,-71.0,-50.0,-66.0,-88.0,-100.0,-100.0,-100.0,-79.0,-91.0,-100.0,-79.0,-69.0,-69.0,-100.0,-100.0,-100.0,-79.0,-100.0,-88.0,-85.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113408,13.0,15.0,-2.074213491724138,16.93354332758621,-37.607078077586195,-0.12726410155775864,0.3275995714655172,9.762604306034483,-0.0018941147572413798,-0.0018593834008620695,0.0018767161155172417,-0.03354086553485224,0.013038014291067051,0.1401222512318656,1016.7084893965516,-88.0,-85.0,-83.0,-87.0,-100.0,-69.0,-76.0,-82.0,-86.0,-77.0,-76.0,-70.0,-76.0,-81.0,-81.0,-78.0,-83.0,-63.0,-67.0,-70.0,-60.0,-60.0,-100.0,-63.0,-70.0,-43.0,-54.0,-83.0,-61.0,-87.0,-67.0,-70.0,-61.0,-60.0,-100.0,-63.0,-70.0,-42.0,-54.0,-49.0,-48.0,-63.0,-60.0,-52.0,-62.0,-69.0,-61.0,-67.0,-49.0,-48.0,-63.0,-60.0,-52.0,-62.0,-69.0,-61.0,-67.0,-86.0,-100.0,-100.0,-100.0,-78.0,-87.0,-100.0,-79.0,-71.0,-70.0,-76.0,-100.0,-100.0,-76.0,-100.0,-87.0,-83.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113420,13.0,16.0,-0.2134305657457627,15.7131364279661,-37.004349677966104,-0.13754800411406778,0.41903654245762706,9.759730923728814,-0.004562386982542372,-0.002437816262457627,-0.00428772724957627,-0.04289054572266538,0.014063361550250739,0.042434876357250566,1016.7061973728812,-78.0,-84.0,-82.0,-87.0,-100.0,-67.0,-76.0,-82.0,-86.0,-100.0,-79.0,-67.0,-76.0,-82.0,-75.0,-100.0,-100.0,-67.0,-67.0,-66.0,-51.0,-61.0,-81.0,-67.0,-69.0,-46.0,-57.0,-84.0,-67.0,-84.0,-62.0,-66.0,-52.0,-61.0,-85.0,-66.0,-69.0,-45.0,-57.0,-37.0,-43.0,0.0,-63.0,-58.0,-57.0,-71.0,-54.0,-63.0,-37.0,-43.0,0.0,-63.0,-58.0,-57.0,-72.0,-54.0,-63.0,-86.0,-85.0,-85.0,-91.0,-80.0,-83.0,-90.0,-81.0,-65.0,-66.0,-100.0,-100.0,-100.0,-78.0,-100.0,-87.0,-81.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113433,13.0,17.0,-0.2965158420420168,14.868238613445376,-36.89421340336133,-0.18127839421008404,0.5034203256302521,9.753599151260504,-0.0004976825135294123,-0.002031654433092437,-0.0007078497177983185,-0.05159324687756907,0.01862714940999012,0.05871597352533543,1016.7050738655461,-84.0,-100.0,-74.0,-89.0,-74.0,-60.0,-78.0,-75.0,-88.0,-72.0,-100.0,-60.0,-79.0,-77.0,-100.0,-70.0,-72.0,-62.0,-53.0,-70.0,-49.0,-65.0,-100.0,-57.0,-74.0,-50.0,-66.0,-73.0,-63.0,-80.0,-54.0,-70.0,-49.0,-64.0,-100.0,-57.0,-75.0,-48.0,-67.0,-33.0,-44.0,-64.0,-73.0,-46.0,-67.0,-73.0,-48.0,-68.0,-32.0,-44.0,-63.0,-74.0,-46.0,-67.0,-74.0,-47.0,-67.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-84.0,-67.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113447,13.0,18.0,-0.40580272611833335,13.498634895833334,-39.066143775,-0.3516294885083333,0.6644185146666666,9.733915345833335,-0.0031223386398499995,-0.003009727632333333,-0.005148784921583333,-0.06814416203026966,0.036161832991153116,0.11183656590549917,1016.7033139999999,-86.0,-100.0,-74.0,-87.0,-73.0,-62.0,-81.0,-74.0,-87.0,-72.0,-100.0,-62.0,-81.0,-100.0,-78.0,-69.0,-75.0,-61.0,-57.0,-68.0,-51.0,-66.0,-100.0,-60.0,-76.0,-48.0,-67.0,-74.0,-60.0,-100.0,-58.0,-69.0,-51.0,-65.0,-100.0,-60.0,-76.0,-48.0,-67.0,-26.0,-45.0,-61.0,-71.0,-56.0,-70.0,-75.0,-48.0,-66.0,-26.0,-44.0,-60.0,-72.0,-57.0,-72.0,-74.0,-49.0,-66.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-83.0,-62.0,-60.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-87.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113503,14.0,18.0,36.33332527027027,-2.57198121981982,-38.64024822522522,-0.24184321704504505,0.6666201239639639,9.738930576576575,-0.0016005322675675686,-0.001266089510693694,-0.0015226182556756758,-0.06837527977453693,0.02485224538952577,-1.5668039182284932,1016.7036545945947,-86.0,-100.0,-100.0,-85.0,-77.0,-80.0,-80.0,-100.0,-86.0,-75.0,-83.0,-79.0,-79.0,-100.0,-82.0,-80.0,-80.0,-66.0,-63.0,-69.0,-58.0,-65.0,-85.0,-73.0,-75.0,-59.0,-62.0,-80.0,-68.0,-84.0,-63.0,-69.0,-59.0,-65.0,-87.0,-73.0,-75.0,-58.0,-62.0,-45.0,-40.0,-71.0,-76.0,-64.0,-65.0,-74.0,-55.0,-60.0,-46.0,-40.0,-71.0,-76.0,-63.0,-65.0,-74.0,-54.0,-60.0,-100.0,-100.0,-100.0,-86.0,-83.0,-85.0,-87.0,-83.0,-78.0,-78.0,-100.0,-100.0,-100.0,-81.0,-100.0,-100.0,-82.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113515,15.0,18.0,42.73128404065041,-4.911025031707317,-34.76049585365854,-0.12092202010569107,0.667189817317073,9.746459861788615,-0.0001645826836422766,-0.0012739630303780485,-0.004290399295479675,-0.06837206736691596,0.012417664632155724,-1.6296133568616418,1016.7071097560976,-87.0,-91.0,-68.0,-80.0,-100.0,-71.0,-77.0,-70.0,-81.0,-75.0,-82.0,-70.0,-79.0,-89.0,-100.0,-81.0,-79.0,-63.0,-56.0,-72.0,-55.0,-57.0,-86.0,-69.0,-75.0,-58.0,-66.0,-100.0,-62.0,-86.0,-56.0,-72.0,-54.0,-58.0,-88.0,-68.0,-75.0,-57.0,-66.0,-46.0,-50.0,-67.0,-69.0,-60.0,-68.0,-73.0,-58.0,-64.0,-46.0,-50.0,-67.0,-69.0,-61.0,-68.0,-74.0,-59.0,-64.0,-84.0,-100.0,-100.0,-87.0,-70.0,-86.0,-86.0,-71.0,-69.0,-72.0,-73.0,-100.0,-100.0,-82.0,-100.0,-100.0,-72.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113527,16.0,18.0,41.85378378632478,-3.605801844444445,-34.331190538461534,-0.15080237539059832,0.7037476747008546,9.746186585470085,0.0006319455062846145,-0.000763153637982906,-0.0019639668376068378,-0.07209279254460943,0.015490427192185591,-1.5968226897410858,1016.7033943589743,-86.0,-83.0,-74.0,-79.0,-72.0,-70.0,-79.0,-75.0,-80.0,-72.0,-79.0,-71.0,-79.0,-86.0,-74.0,-79.0,-78.0,-61.0,-65.0,-70.0,-58.0,-57.0,-81.0,-67.0,-71.0,-52.0,-66.0,-78.0,-60.0,-88.0,-65.0,-70.0,-58.0,-57.0,-81.0,-67.0,-72.0,-51.0,-66.0,-44.0,-51.0,-63.0,-67.0,-61.0,-64.0,-70.0,-63.0,-69.0,-44.0,-51.0,-63.0,-67.0,-61.0,-65.0,-70.0,-63.0,-69.0,-83.0,-100.0,-100.0,-82.0,-76.0,-100.0,-83.0,-76.0,-68.0,-68.0,-71.0,-100.0,-100.0,-78.0,-100.0,-100.0,-74.0,-90.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113539,17.0,18.0,40.07631646846847,0.5699785205135135,-35.13151954054053,-0.3104633183783784,0.7135446594594597,9.732956869369367,0.001743466460180179,-0.0017150042151351354,-0.003654929587927928,-0.0731733161284848,0.031894125044345814,-1.487960494316376,1016.7026317117117,-87.0,-84.0,-69.0,-78.0,-72.0,-75.0,-79.0,-70.0,-75.0,-72.0,-78.0,-75.0,-79.0,-88.0,-74.0,-80.0,-100.0,-63.0,-62.0,-71.0,-55.0,-61.0,-85.0,-66.0,-75.0,-51.0,-62.0,-100.0,-63.0,-100.0,-62.0,-71.0,-55.0,-62.0,-84.0,-66.0,-75.0,-51.0,-62.0,-47.0,-57.0,-64.0,-68.0,-64.0,-64.0,-74.0,-57.0,-69.0,-47.0,-57.0,-64.0,-68.0,-65.0,-64.0,-74.0,-55.0,-69.0,-83.0,-100.0,-100.0,-83.0,-72.0,-87.0,-84.0,-72.0,-71.0,-70.0,-100.0,-100.0,-100.0,-78.0,-100.0,-84.0,-77.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113610,19.0,18.0,40.133924823008854,-1.0434253867876107,-37.18473045132743,-0.37477872300884957,0.5348412930973451,9.745302119469027,0.0007422090460265486,-0.0025994135521238936,-0.005470751309504424,-0.054818299063275296,0.038432922420314417,-1.5426653022259738,1016.7036945132743,-87.0,-100.0,-64.0,-77.0,-71.0,-75.0,-80.0,-65.0,-76.0,-72.0,-67.0,-74.0,-79.0,-83.0,-77.0,-100.0,-77.0,-69.0,-67.0,-70.0,-55.0,-63.0,-82.0,-73.0,-77.0,-55.0,-65.0,-75.0,-68.0,-82.0,-67.0,-70.0,-55.0,-63.0,-81.0,-73.0,-78.0,-55.0,-65.0,-51.0,-58.0,-64.0,-68.0,-60.0,-65.0,-76.0,-59.0,-75.0,-52.0,-58.0,-64.0,-69.0,-60.0,-65.0,-76.0,-60.0,-75.0,-81.0,-85.0,-84.0,-82.0,-72.0,-81.0,-82.0,-72.0,-69.0,-68.0,-100.0,-100.0,-100.0,-67.0,-100.0,-100.0,-67.0,-100.0,-80.0,-100.0,-92.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113624,20.0,18.0,36.4051248125,-5.157547128571429,-38.76141125892857,-0.1728375586651786,0.7058938069642856,9.743040968749998,0.0023819432863749997,-0.005628724151696429,0.0047968085446428565,-0.07233907119370993,0.017754144625801625,-1.6350183774318015,1016.7031816071428,-89.0,-87.0,-66.0,-73.0,-74.0,-100.0,-83.0,-67.0,-73.0,-74.0,-67.0,-72.0,-82.0,-87.0,-76.0,-81.0,-75.0,-65.0,-58.0,-69.0,-55.0,-64.0,-78.0,-71.0,-73.0,-56.0,-68.0,-75.0,-66.0,-87.0,-58.0,-70.0,-55.0,-64.0,-80.0,-71.0,-73.0,-57.0,-68.0,-51.0,-56.0,-64.0,-69.0,-62.0,-67.0,-76.0,-60.0,-65.0,-50.0,-56.0,-50.0,-69.0,-61.0,-67.0,-75.0,-61.0,-65.0,-83.0,-100.0,-100.0,-83.0,-75.0,-87.0,-82.0,-75.0,-70.0,-70.0,-100.0,-100.0,-100.0,-67.0,-100.0,-100.0,-76.0,-100.0,-78.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113638,21.0,18.0,36.55037841666666,-8.859801074074072,-36.40303985185185,-0.3467872433796297,0.7893549643518517,9.727664486111111,-0.0007694177112129629,-0.009801496340833334,-0.0005068154880555558,-0.08093637096937052,0.03563548019155855,-1.7333937883377075,1016.7016717592592,-91.0,-88.0,-65.0,-71.0,-100.0,-78.0,-80.0,-64.0,-70.0,-65.0,-70.0,-76.0,-79.0,-89.0,-78.0,-81.0,-100.0,-70.0,-67.0,-71.0,-44.0,-67.0,-85.0,-73.0,-74.0,-61.0,-69.0,-100.0,-71.0,-85.0,-67.0,-71.0,-58.0,-67.0,-86.0,-73.0,-74.0,-62.0,-69.0,-47.0,-57.0,-65.0,-71.0,-66.0,-67.0,-72.0,-61.0,-70.0,-47.0,-58.0,-65.0,-71.0,-66.0,-67.0,-72.0,-61.0,-70.0,-80.0,-100.0,-100.0,-81.0,-79.0,-86.0,-81.0,-79.0,-70.0,-69.0,-69.0,-100.0,-100.0,-69.0,-100.0,-100.0,-71.0,-100.0,-79.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
