Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ab:a0:de:a2,00:1a:ab:a0:de:a4,00:1a:ac:a0:de:b7,00:1a:ac:a0:de:b8,00:1a:ac:a0:de:d3,00:1a:ac:a0:de:f6,00:1a:ac:a0:de:h4,00:1a:ac:a0:de:h7,00:1a:ac:a0:de:i2,00:1a:ac:a0:de:i8,00:1a:ac:a0:de:k7,00:1a:ac:a0:de:k8,00:1a:ac:a0:de:n8,00:1a:ac:a0:de:p3,00:1a:ac:a0:de:p5,00:1a:ac:a0:de:p6,00:1a:ac:a0:de:p7,00:1a:ac:a0:de:p8,00:1a:ac:a0:de:r1,00:1a:ac:a0:de:r2,00:1a:ac:a0:de:r5,00:1a:ac:a0:de:r6,00:1a:ac:a0:de:s2,00:1a:ac:a0:de:s3,00:1a:ac:a0:de:s4,00:1a:ac:a0:de:s5,00:1a:ac:a0:de:s6,00:1a:ac:a0:de:t7,00:1a:ac:a0:de:t9,00:1a:ac:a0:de:u2,00:1a:ac:a0:de:u3,00:1a:ac:a0:de:u4,00:1a:ac:a0:de:u5,00:1a:ac:a0:de:v7,00:1a:ac:a0:de:v8,00:1a:ac:a0:de:w2,00:1a:ac:a0:de:w3,00:1a:ac:a0:de:w8,00:1a:ac:a0:de:w9,00:1a:ac:a0:de:x1,f0:b0:52:6a:1f:cc,f0:b0:52:6a:20:c8,f0:b0:52:6a:20:cc,f4:28:53:71:29:24,fa:d0:27:36:de:a9,00:1a:ac:a0:de:f5,00:1a:ac:a0:de:m2,00:1a:ac:a0:de:n2,00:1a:ac:a0:de:r9,00:1a:ac:a0:de:s7,00:1a:ac:a0:de:t3,00:1a:ac:a0:de:t5,00:1a:ac:a0:de:b6,00:1a:ac:a0:de:g9,00:1a:ac:a0:de:i1,00:1a:ac:a0:de:m1,00:1a:ac:a0:de:p1,00:1a:ac:a0:de:p4,00:1a:ac:a0:de:s1,00:1a:ac:a0:de:u1,00:1a:ac:a0:de:w6,00:1a:ac:a0:de:w7,88:36:6c:95:5e:2e,00:1a:ac:a0:de:b3,00:1a:ac:a0:de:f7,00:1a:ac:a0:de:h6,00:1a:ac:a0:de:k2,00:1a:ac:a0:de:k9,00:1a:ac:a0:de:l9,00:1a:ac:a0:de:n6,00:1a:ab:a0:de:a1,00:1a:ac:a0:de:j7,00:1a:ac:a0:de:m3,00:1a:ac:a0:de:n4,00:1a:ac:a0:de:p2,00:1a:ac:a0:de:t1,00:1a:ac:a0:de:t8,86:25:19:04:e1:e0,00:1a:ac:a0:de:i3,00:1a:ac:a0:de:e8,00:1a:ac:a0:de:h3,00:1a:ac:a0:de:k4,00:1a:ac:a0:de:l5,00:1a:ac:a0:de:r3,00:1a:ab:a0:de:a7,00:1a:ac:a0:de:l1,00:1a:ac:a0:de:w4,00:1a:ac:a0:de:f3,00:1a:ac:a0:de:g8,00:1a:ac:a0:de:h9,00:1a:ac:a0:de:b2,00:1a:ac:a0:de:g2,00:1a:ac:a0:de:j9,00:1a:ac:a0:de:q4,00:1a:ac:a0:de:r7,00:1a:ac:a0:de:u8,00:1a:ac:a0:de:e9,00:1a:ac:a0:de:f8,00:1a:ac:a0:de:j8,00:1a:ac:a0:de:v9,00:1a:ab:a0:de:a9,00:1a:ac:a0:de:f2,00:1a:ac:a0:de:g5,00:1a:ac:a0:de:k6,00:1a:ac:a0:de:l2,00:1a:ac:a0:de:n9,00:1a:ac:a0:de:t6,00:1a:ac:a0:de:h2,00:1a:ac:a0:de:i9,00:1a:ac:a0:de:m4,00:1a:ac:a0:de:v1,00:1a:ac:a0:de:q2,00:1a:ac:a0:de:g1,00:1a:ac:a0:de:l7,00:1a:ac:a0:de:l8,00:1a:ac:a0:de:g7,00:1a:ac:a0:de:j6,90:9f:33:a4:06:5c,00:1a:ac:a0:de:n5,00:1a:ac:a0:de:b1,00:1a:ac:a0:de:k1,00:1a:ac:a0:de:t2,00:1a:ac:a0:de:f9,00:1a:ac:a0:de:n7,00:1a:ac:a0:de:t4,00:1a:ac:a0:de:b4,00:1a:ac:a0:de:j1,00:1a:ac:a0:de:i6,00:1a:ac:a0:de:r4,00:1a:ac:a0:de:w1,00:1a:ab:a0:de:a3,00:1a:ac:a0:de:h5,00:1a:ac:a0:de:q6,00:1a:ac:a0:de:v3,00:1a:ac:a0:de:i7,00:1a:ac:a0:de:j5,00:1a:ac:a0:de:k3,00:1a:ac:a0:de:l4,00:1a:ac:a0:de:r8,00:1a:ac:a0:de:w5,00:1a:ac:a0:de:f1,00:1a:ac:a0:de:j2,00:1a:ac:a0:de:c2,00:1a:ab:a0:de:a8,00:1a:ac:a0:de:m7,00:1a:ac:a0:de:q5,00:1a:ac:a0:de:v2,00:1a:ac:a0:de:s8,00:1a:ac:a0:de:m6,00:1a:ac:a0:de:m5,00:1a:ac:a0:de:p9,00:1a:ac:a0:de:u6,00:1a:ac:a0:de:b9,00:1a:ac:a0:de:q8,00:1a:ac:a0:de:v5,f0:b0:52:6a:26:78,00:1a:ac:a0:de:q3,00:1a:ac:a0:de:u9
2021.01.16 154533,15.0,24.0,24.32891529518072,-0.28951806746987946,-34.18662611445783,-0.10368624062891567,0.7991729874096386,9.66115188253012,0.0011370925918674703,-0.00246554045,-0.0012438100237951812,-0.08257710695805316,0.010754833534364518,-1.4641848228063927,1015.8393759036143,-100.0,-58.0,-46.0,-73.0,-72.0,-60.0,-60.0,-100.0,-51.0,-100.0,-68.0,-100.0,-60.0,-64.0,-30.0,-47.0,-48.0,-57.0,-58.0,-68.0,-58.0,-78.0,-49.0,-55.0,-50.0,-54.0,-53.0,-61.0,-62.0,-30.0,-48.0,-49.0,-58.0,-59.0,-68.0,-60.0,-77.0,-49.0,-56.0,-50.0,-55.0,-53.0,-71.0,-100.0,-100.0,-63.0,-60.0,-66.0,-71.0,-72.0,-100.0,-59.0,-71.0,-79.0,-78.0,-100.0,-61.0,-100.0,-80.0,-100.0,-69.0,-82.0,-100.0,-100.0,-100.0,-72.0,-100.0,-77.0,-100.0,-69.0,-79.0,-100.0,-64.0,-81.0,-73.0,-80.0,-75.0,-100.0,-100.0,-100.0,-63.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-79.0,-87.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.16 154604,17.0,24.0,23.30777112,-0.3037714191428571,-32.80388530285715,-0.25943569593142857,0.9374736183428571,9.638987557142856,0.0017976891085714289,-0.0017732545240000004,-0.0018675023280000005,-0.09693162202835079,0.026923922329608833,-1.440526760646275,1015.8107843428575,-100.0,-55.0,-44.0,-79.0,-100.0,-62.0,-70.0,-100.0,-49.0,-100.0,-71.0,-100.0,-58.0,-65.0,-34.0,-49.0,-38.0,-57.0,-55.0,-72.0,-56.0,-79.0,-54.0,-66.0,-42.0,-55.0,-50.0,-59.0,-63.0,-33.0,-49.0,-39.0,-57.0,-56.0,-73.0,-61.0,-80.0,-54.0,-66.0,-43.0,-57.0,-50.0,-73.0,-74.0,-100.0,-62.0,-69.0,-71.0,-71.0,-74.0,-63.0,-62.0,-74.0,-91.0,-85.0,-62.0,-60.0,-100.0,-86.0,-100.0,-74.0,-87.0,-100.0,-100.0,-100.0,-82.0,-100.0,-74.0,-100.0,-63.0,-100.0,-100.0,-100.0,-100.0,-88.0,-82.0,-87.0,-100.0,-100.0,-100.0,-65.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-78.0,-100.0,-100.0,-71.0,-100.0,-84.0,-100.0,-100.0,-83.0,-100.0,-100.0,-81.0,-80.0,-76.0,-81.0,-60.0,-91.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.16 154704,21.0,24.0,31.591647994505497,-0.4130769117032968,-36.51626323626373,-0.23352675012252747,1.0835078354945056,9.620165491758243,0.0034033921076923076,-0.0012250869060439562,-0.0021480975527472523,-0.11213723369515856,0.024276409500309185,-1.4488001197249025,1015.7443758241758,-81.0,-57.0,-57.0,-89.0,-79.0,-60.0,-100.0,-100.0,-47.0,-79.0,-75.0,-100.0,-59.0,-69.0,-27.0,-43.0,-36.0,-50.0,-55.0,-69.0,-71.0,-83.0,-56.0,-70.0,-39.0,-59.0,-48.0,-57.0,-69.0,-27.0,-45.0,-36.0,-50.0,-54.0,-69.0,-69.0,-82.0,-56.0,-70.0,-38.0,-59.0,-47.0,-73.0,-79.0,-100.0,-69.0,-66.0,-100.0,-63.0,-74.0,-60.0,-56.0,-86.0,-92.0,-73.0,-63.0,-56.0,-100.0,-87.0,-100.0,-62.0,-87.0,-100.0,-73.0,-100.0,-71.0,-100.0,-66.0,-100.0,-63.0,-83.0,-80.0,-100.0,-73.0,-88.0,-75.0,-86.0,-100.0,-100.0,-69.0,-63.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-76.0,-100.0,-100.0,-72.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-100.0,-84.0,-84.0,-80.0,-83.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.16 154720,22.0,24.0,33.06877149122807,0.6175438458479532,-38.839648555555556,-0.2833138676023392,1.0969504280701754,9.623738722222223,0.0031472063345029245,-0.0006251545453216374,0.0003250803441520471,-0.11346417722123404,0.02943594760822444,-1.4115331012603136,1015.7310483040935,-100.0,-58.0,-53.0,-100.0,-100.0,-69.0,-100.0,-100.0,-43.0,-100.0,-73.0,-100.0,-60.0,-75.0,-39.0,-45.0,-52.0,-65.0,-52.0,-73.0,-69.0,-88.0,-58.0,-73.0,-38.0,-61.0,-48.0,-57.0,-73.0,-39.0,-46.0,-52.0,-63.0,-52.0,-72.0,-70.0,-88.0,-59.0,-73.0,-40.0,-62.0,-48.0,-71.0,-100.0,-100.0,-65.0,-100.0,-63.0,-72.0,-71.0,-72.0,-61.0,-100.0,-87.0,-70.0,-68.0,-56.0,-100.0,-84.0,-100.0,-72.0,-83.0,-100.0,-67.0,-100.0,-74.0,-76.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-85.0,-69.0,-87.0,-100.0,-100.0,-76.0,-55.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-72.0,-100.0,-100.0,-81.0,-83.0,-100.0,-100.0,-89.0,-78.0,-100.0,-100.0,-100.0,-80.0,-79.0,-80.0,-57.0,-82.0,-81.0,-80.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.16 154735,23.0,24.0,33.27635241764706,-2.1532940795294118,-40.70647008235294,-0.35414468342941174,1.0605468634705881,9.621930467647058,0.0032124325667647062,-0.001681676022647059,-0.001958362041764706,-0.10974747288753,0.03682684075457095,-1.4935869041611167,1015.7201734117647,-100.0,-100.0,-71.0,-100.0,-100.0,-100.0,-77.0,-100.0,-39.0,-100.0,-100.0,-100.0,-55.0,-79.0,-29.0,-41.0,-56.0,-77.0,-100.0,-71.0,-100.0,-87.0,-61.0,-73.0,-36.0,-59.0,-46.0,-48.0,-79.0,-28.0,-48.0,-56.0,-77.0,-100.0,-71.0,-100.0,-87.0,-61.0,-72.0,-37.0,-59.0,-47.0,-76.0,-81.0,-100.0,-65.0,-68.0,-72.0,-69.0,-75.0,-68.0,-55.0,-100.0,-100.0,-74.0,-65.0,-48.0,-100.0,-81.0,-100.0,-70.0,-82.0,-100.0,-66.0,-100.0,-68.0,-100.0,-67.0,-100.0,-65.0,-73.0,-100.0,-100.0,-74.0,-83.0,-74.0,-82.0,-100.0,-100.0,-57.0,-57.0,-100.0,-78.0,-82.0,-100.0,-100.0,-100.0,-77.0,-100.0,-77.0,-100.0,-73.0,-100.0,-100.0,-100.0,-81.0,-83.0,-75.0,-100.0,-100.0,-81.0,-80.0,-100.0,-100.0,-51.0,-83.0,-82.0,-79.0,-76.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.16 154813,25.0,24.0,32.30440626553672,-1.3596609894915255,-40.05457570621469,-0.22780085296271185,0.9446275446892656,9.642735220338983,0.0010215599587570618,0.0012389864802259884,0.0003382192016949154,-0.09762404025611227,0.02362668923185187,-1.487170695585046,1015.7002755932202,-100.0,-58.0,-70.0,-100.0,-100.0,-73.0,-100.0,-100.0,-48.0,-100.0,-76.0,-100.0,-55.0,-74.0,-36.0,-43.0,-59.0,-78.0,-57.0,-67.0,-74.0,-84.0,-61.0,-66.0,-39.0,-60.0,-48.0,-63.0,-74.0,-36.0,-43.0,-58.0,-79.0,-56.0,-67.0,-73.0,-83.0,-60.0,-67.0,-39.0,-59.0,-48.0,-67.0,-100.0,-100.0,-100.0,-100.0,-69.0,-63.0,-66.0,-69.0,-54.0,-88.0,-67.0,-68.0,-100.0,-65.0,-100.0,-78.0,-100.0,-63.0,-77.0,-100.0,-68.0,-61.0,-100.0,-100.0,-61.0,-100.0,-70.0,-100.0,-100.0,-100.0,-77.0,-67.0,-76.0,-67.0,-100.0,-100.0,-57.0,-51.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-90.0,-66.0,-100.0,-100.0,-72.0,-100.0,-100.0,-100.0,-76.0,-69.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-52.0,-77.0,-78.0,-71.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.16 154906,27.0,24.0,29.967765494680847,0.6772340269148935,-34.07297831914894,-0.39360421354468084,1.417902280851064,9.594877936170212,0.0039023892603723396,-0.0011567448723404255,-0.0011177534409574472,-0.1465946045565478,0.040944132948463906,-1.3694272865640356,1015.645932606383,-100.0,-68.0,-68.0,-100.0,-100.0,-66.0,-76.0,-100.0,-50.0,-100.0,-79.0,-100.0,-66.0,-73.0,-43.0,-58.0,-61.0,-82.0,-59.0,-72.0,-67.0,-87.0,-59.0,-73.0,-35.0,-51.0,-55.0,-59.0,-75.0,-43.0,-59.0,-60.0,-82.0,-59.0,-72.0,-67.0,-88.0,-59.0,-73.0,-34.0,-50.0,-54.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-64.0,-67.0,-64.0,-66.0,-100.0,-75.0,-81.0,-100.0,-58.0,-100.0,-80.0,-100.0,-68.0,-80.0,-100.0,-71.0,-100.0,-65.0,-100.0,-63.0,-100.0,-66.0,-74.0,-71.0,-100.0,-69.0,-75.0,-70.0,-76.0,-100.0,-100.0,-58.0,-49.0,-100.0,-81.0,-100.0,-80.0,-100.0,-81.0,-71.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-80.0,-100.0,-79.0,-67.0,-100.0,-100.0,-80.0,-70.0,-77.0,-100.0,-58.0,-86.0,-86.0,-74.0,-80.0,-100.0,-100.0,-100.0,-82.0,-73.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.16 154921,28.0,24.0,28.320336707865167,2.927190967977528,-31.467640129213486,-0.31416499415730337,1.0193784539887643,9.635168758426966,0.0045471711328651685,-0.001537458696910112,-0.002645938801123596,-0.10534015272775389,0.032655154260691585,-1.3430422678422391,1015.6426906741574,-100.0,-72.0,-76.0,-100.0,-100.0,-82.0,-100.0,-100.0,-55.0,-100.0,-100.0,-100.0,-59.0,-100.0,-44.0,-59.0,-63.0,-86.0,-58.0,-79.0,-75.0,-89.0,-65.0,-74.0,-31.0,-46.0,-43.0,-52.0,-100.0,-44.0,-59.0,-61.0,-84.0,-59.0,-80.0,-73.0,-88.0,-65.0,-75.0,-31.0,-45.0,-43.0,-63.0,-100.0,-100.0,-76.0,-100.0,-79.0,-64.0,-64.0,-100.0,-60.0,-100.0,-72.0,-88.0,-100.0,-53.0,-100.0,-78.0,-100.0,-65.0,-78.0,-100.0,-48.0,-100.0,-62.0,-69.0,-100.0,-100.0,-100.0,-64.0,-100.0,-100.0,-100.0,-69.0,-100.0,-70.0,-100.0,-100.0,-47.0,-50.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-55.0,-100.0,-75.0,-83.0,-83.0,-81.0,-100.0,-100.0,-100.0,-71.0,-87.0,-100.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.16 154937,29.0,24.0,28.614269370786516,2.37168535505618,-29.789662533707865,-0.23231826758426966,0.9406926103370786,9.648969061797754,-0.0016438452264044942,-0.0019664368887640452,-0.002168914800280899,-0.09722310513927691,0.02413418555888605,-1.38222492209981,1015.6290026966292,-100.0,-100.0,-77.0,-100.0,-100.0,-79.0,-100.0,-100.0,-56.0,-100.0,-100.0,-100.0,-63.0,-100.0,-52.0,-65.0,-62.0,-82.0,-52.0,-72.0,-68.0,-100.0,-55.0,-71.0,-34.0,-44.0,-45.0,-50.0,-100.0,-52.0,-64.0,-64.0,-83.0,-51.0,-74.0,-67.0,-89.0,-54.0,-72.0,-35.0,-44.0,-44.0,-68.0,-100.0,-100.0,-100.0,-100.0,-71.0,-59.0,-67.0,-63.0,-62.0,-100.0,-65.0,-87.0,-100.0,-52.0,-100.0,-81.0,-100.0,-59.0,-83.0,-100.0,-60.0,-100.0,-59.0,-72.0,-72.0,-100.0,-64.0,-70.0,-100.0,-100.0,-100.0,-70.0,-100.0,-68.0,-100.0,-100.0,-60.0,-53.0,-77.0,-100.0,-100.0,-78.0,-58.0,-77.0,-63.0,-100.0,-76.0,-76.0,-100.0,-100.0,-100.0,-78.0,-81.0,-73.0,-91.0,-90.0,-100.0,-100.0,-77.0,-79.0,-69.0,-66.0,-87.0,-86.0,-100.0,-100.0,-100.0,-82.0,-82.0,-100.0,-100.0,-100.0,-75.0,-71.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.16 155024,32.0,24.0,34.21085668095238,-0.2094285648095238,-33.468571009523814,-0.16003528211571424,0.7513004899523811,9.675288195238096,0.002626720609285714,-0.0016784250166666668,-0.0036244671119047616,-0.07751697669071807,0.01656422935983361,-1.4987298437527248,1015.6347251428571,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,-83.0,-100.0,-60.0,-100.0,-100.0,-100.0,-100.0,-79.0,-51.0,-65.0,-66.0,-100.0,-50.0,-72.0,-100.0,-92.0,-57.0,-76.0,-28.0,-45.0,-45.0,-50.0,-80.0,-51.0,-67.0,-65.0,-100.0,-50.0,-72.0,-100.0,-100.0,-56.0,-75.0,-28.0,-46.0,-44.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-61.0,-73.0,-100.0,-100.0,-100.0,-72.0,-89.0,-100.0,-52.0,-100.0,-79.0,-100.0,-57.0,-79.0,-100.0,-59.0,-100.0,-68.0,-63.0,-76.0,-100.0,-100.0,-64.0,-100.0,-100.0,-66.0,-64.0,-100.0,-64.0,-100.0,-100.0,-55.0,-52.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-75.0,-100.0,-75.0,-75.0,-100.0,-100.0,-82.0,-76.0,-100.0,-100.0,-100.0,-90.0,-100.0,-82.0,-100.0,-75.0,-100.0,-62.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-92.0,-100.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.16 155110,35.0,24.0,33.53215878409091,-10.600567946022727,-33.29897689772727,-0.0873475516659091,0.7584041966477273,9.658903417613637,0.0019158956267045458,-0.00020477861619318146,-0.003241750863352273,-0.07836164817722002,0.009051037913608987,-1.8052651062607765,1015.6446488636363,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.0,-59.0,-66.0,-100.0,-88.0,-51.0,-72.0,-100.0,-100.0,-65.0,-77.0,-24.0,-41.0,-100.0,-38.0,-75.0,-59.0,-67.0,-100.0,-90.0,-50.0,-72.0,-100.0,-100.0,-64.0,-77.0,-24.0,-41.0,-100.0,-62.0,-100.0,-100.0,-100.0,-85.0,-82.0,-100.0,-62.0,-67.0,-100.0,-100.0,-61.0,-91.0,-82.0,-38.0,-100.0,-73.0,-100.0,-100.0,-74.0,-100.0,-58.0,-100.0,-100.0,-62.0,-100.0,-68.0,-64.0,-100.0,-100.0,-100.0,-100.0,-60.0,-100.0,-59.0,-100.0,-100.0,-100.0,-41.0,-77.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-92.0,-100.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-81.0,-51.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.16 155142,36.0,24.0,29.273447942528726,-10.24862049137931,-30.928964994252865,-0.07300939233160919,0.8150192774712643,9.669809080459771,0.0011971555198275862,-0.0010321516956896552,1.5229884881964383e-11,-0.08408086224534042,0.0075656180267905625,-1.8266393199734303,1015.6010475287355,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-100.0,-100.0,-100.0,-100.0,-80.0,-52.0,-64.0,-100.0,-87.0,-46.0,-76.0,-66.0,-89.0,-100.0,-74.0,-39.0,-54.0,-100.0,-38.0,-80.0,-51.0,-64.0,-100.0,-86.0,-46.0,-77.0,-68.0,-88.0,-100.0,-75.0,-39.0,-56.0,-100.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-53.0,-67.0,-66.0,-100.0,-100.0,-70.0,-100.0,-100.0,-39.0,-100.0,-69.0,-100.0,-52.0,-70.0,-100.0,-59.0,-100.0,-66.0,-61.0,-100.0,-70.0,-66.0,-54.0,-100.0,-100.0,-62.0,-63.0,-60.0,-63.0,-100.0,-100.0,-100.0,-48.0,-100.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-72.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-86.0,-87.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
