Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ab:a0:de:a1,00:1a:ab:a0:de:a4,00:1a:ac:a0:de:b1,00:1a:ac:a0:de:b3,00:1a:ac:a0:de:b4,00:1a:ac:a0:de:b5,00:1a:ac:a0:de:g2,00:1a:ac:a0:de:g8,00:1a:ac:a0:de:g9,00:1a:ac:a0:de:h3,00:1a:ac:a0:de:h6,00:1a:ac:a0:de:h9,00:1a:ac:a0:de:i2,00:1a:ac:a0:de:j8,00:1a:ac:a0:de:k1,00:1a:ac:a0:de:k2,00:1a:ac:a0:de:k4,00:1a:ac:a0:de:l2,00:1a:ac:a0:de:l8,00:1a:ac:a0:de:n4,00:1a:ac:a0:de:n5,00:1a:ac:a0:de:n6,00:1a:ac:a0:de:n7,00:1a:ac:a0:de:n8,00:1a:ac:a0:de:p1,00:1a:ac:a0:de:p2,00:1a:ac:a0:de:p3,00:1a:ac:a0:de:p5,00:1a:ac:a0:de:p6,00:1a:ac:a0:de:p7,00:1a:ac:a0:de:p8,00:1a:ac:a0:de:r1,00:1a:ac:a0:de:r2,00:1a:ac:a0:de:r3,00:1a:ac:a0:de:r5,00:1a:ac:a0:de:r9,00:1a:ac:a0:de:s1,00:1a:ac:a0:de:s2,00:1a:ac:a0:de:s3,00:1a:ac:a0:de:s4,00:1a:ac:a0:de:s5,00:1a:ac:a0:de:s6,00:1a:ac:a0:de:s7,00:1a:ac:a0:de:t1,00:1a:ac:a0:de:t2,00:1a:ac:a0:de:t3,00:1a:ac:a0:de:t4,00:1a:ac:a0:de:t5,00:1a:ac:a0:de:t7,00:1a:ac:a0:de:t8,00:1a:ac:a0:de:t9,00:1a:ac:a0:de:u2,00:1a:ac:a0:de:u3,00:1a:ac:a0:de:u4,00:1a:ac:a0:de:u5,00:1a:ac:a0:de:v7,00:1a:ac:a0:de:v8,00:1a:ac:a0:de:w2,00:1a:ac:a0:de:w6,00:1a:ac:a0:de:w7,00:1a:ac:a0:de:w8,00:1a:ac:a0:de:w9,00:1a:ac:a0:de:x1,00:1a:ac:a0:de:x2,00:1a:ac:a0:de:x3,00:1a:ac:a0:de:x4,00:1a:ac:a0:de:b7,00:1a:ac:a0:de:b8,00:1a:ac:a0:de:d3,00:1a:ac:a0:de:h4,00:1a:ac:a0:de:i8,00:1a:ac:a0:de:k7,00:1a:ac:a0:de:k8,00:1a:ac:a0:de:k9,00:1a:ac:a0:de:m2,00:1a:ac:a0:de:p4,00:1a:ac:a0:de:r6,00:1a:ac:a0:de:u1,00:1a:ac:a0:de:w3,00:1a:ac:a0:de:f5,00:1a:ac:a0:de:f6,00:1a:ac:a0:de:b6,00:1a:ac:a0:de:h7,00:1a:ac:a0:de:j7,00:1a:ac:a0:de:m1,00:1a:ac:a0:de:m9,00:1a:ac:a0:de:n3,00:1a:ac:a0:de:x7,00:1a:ac:a0:de:x8,44:1e:98:43:72:98,00:1a:ac:a0:de:f2,00:1a:ac:a0:de:j9,00:1a:ac:a0:de:q2,00:1a:ac:a0:de:i1,00:1a:ac:a0:de:n1,00:1a:ac:a0:de:n9,00:1a:ac:a0:de:q4,00:1a:ac:a0:de:v1,00:1a:ac:a0:de:t6,00:1a:ac:a0:de:w4,00:1a:ac:a0:de:e8,00:1a:ac:a0:de:f3,00:1a:ac:a0:de:f8,00:1a:ac:a0:de:h8,00:1a:ac:a0:de:l7,00:1a:ac:a0:de:e9,00:1a:ac:a0:de:g7,00:1a:ac:a0:de:j6,00:1a:ac:a0:de:l1,00:1a:ac:a0:de:r7,00:1a:ac:a0:de:d4,00:1a:ac:a0:de:f7,00:1a:ac:a0:de:i9,90:9f:33:a4:06:5c,00:1a:ab:a0:de:a7,00:1a:ab:a0:de:a9,00:1a:ac:a0:de:f9,00:1a:ac:a0:de:h2,00:1a:ac:a0:de:j1,00:1a:ac:a0:de:l9,00:1a:ac:a0:de:m4,00:1a:ac:a0:de:m6,00:1a:ac:a0:de:r4,00:1a:ac:a0:de:w1,00:1a:ac:a0:de:g1,00:1a:ac:a0:de:u8,00:1a:ac:a0:de:b2,00:1a:ac:a0:de:v9,00:1a:ac:a0:de:c9,00:1a:ac:a0:de:d1,00:1a:ac:a0:de:d9,00:1a:ac:a0:de:e5,00:1a:ac:a0:de:h5,00:1a:ac:a0:de:i6,00:1a:ac:a0:de:d7,00:1a:ac:a0:de:i7,00:1a:ac:a0:de:k3,00:1a:ac:a0:de:g5,00:1a:ac:a0:de:j2,00:1a:ac:a0:de:q6,00:1a:ac:a0:de:r8,00:1a:ac:a0:de:v3,00:1a:ac:a0:de:w5,00:1a:ab:a0:de:a8,00:1a:ac:a0:de:c1,00:1a:ac:a0:de:c2,00:1a:ac:a0:de:e1,00:1a:ac:a0:de:e4,00:1a:ac:a0:de:j5,00:1a:ac:a0:de:m5,00:1a:ac:a0:de:q5,00:1a:ac:a0:de:q8,00:1a:ac:a0:de:s8,00:1a:ac:a0:de:v2,00:1a:ac:a0:de:v5,00:1a:ac:a0:de:x5,00:1a:ac:a0:de:p9,00:1a:ac:a0:de:q3,00:1a:ac:a0:de:q7,00:1a:ac:a0:de:u6,00:1a:ac:a0:de:u9,00:1a:ac:a0:de:v4,00:1a:ab:a0:de:a6,00:1a:ac:a0:de:d8,00:1a:ac:a0:de:s9,00:1a:ac:a0:de:x6,00:1a:ac:a0:de:q1,00:1a:ac:a0:de:q9,00:1a:ac:a0:de:u7,00:1a:ac:a0:de:v6,00:1a:ac:a0:de:i5
2021.02.09 082219,28.0,24.0,28.597851953020132,3.238791901342282,-37.87369075838926,-0.10887993685637584,0.6288876975838926,9.702365761744968,-0.0040751680966442955,-0.0006313640714765095,0.0007461575093959731,-0.06475701378095867,0.01132929577911315,-1.3708729159912008,1023.3044340939596,-100.0,-69.0,-100.0,-55.0,-89.0,-100.0,-85.0,-100.0,-68.0,-61.0,-63.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-60.0,-100.0,-67.0,-90.0,-69.0,-90.0,-100.0,-42.0,-76.0,-74.0,-47.0,-57.0,-61.0,-77.0,-59.0,-73.0,-100.0,-100.0,-75.0,-77.0,-57.0,-71.0,-30.0,-43.0,-54.0,-67.0,-100.0,-100.0,-100.0,-90.0,-100.0,-42.0,-72.0,-76.0,-45.0,-55.0,-60.0,-78.0,-60.0,-73.0,-100.0,-71.0,-76.0,-57.0,-70.0,-30.0,-42.0,-54.0,-67.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-73.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-100.0,-85.0,-86.0,-86.0,-85.0,-80.0,-48.0,-64.0,-78.0,-100.0,-100.0,-69.0,-100.0,-71.0,-57.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.09 082228,29.0,24.0,28.750318146496816,3.636687842038217,-36.3886618343949,0.0026686963764331224,0.3876014301273885,9.69375663057325,-0.00543942431178344,0.0003813045006369419,0.001929867257006369,-0.04002270766883894,-0.00022804508046914113,-1.3954481266106769,1023.3061835668791,-75.0,-68.0,-100.0,-70.0,-100.0,-100.0,-100.0,-100.0,-67.0,-53.0,-64.0,-73.0,-100.0,-88.0,-100.0,-71.0,-100.0,-100.0,-88.0,-70.0,-86.0,-65.0,-100.0,-64.0,-44.0,-63.0,-100.0,-54.0,-58.0,-58.0,-73.0,-58.0,-71.0,-100.0,-74.0,-58.0,-72.0,-53.0,-65.0,-32.0,-42.0,-53.0,-73.0,-73.0,-86.0,-65.0,-100.0,-64.0,-43.0,-63.0,-100.0,-54.0,-58.0,-58.0,-73.0,-57.0,-72.0,-75.0,-61.0,-73.0,-53.0,-65.0,-34.0,-42.0,-52.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-75.0,-100.0,-100.0,-100.0,-76.0,-100.0,-89.0,-84.0,-100.0,-82.0,-100.0,-100.0,-82.0,-100.0,-55.0,-78.0,-80.0,-100.0,-100.0,-66.0,-100.0,-100.0,-59.0,-100.0,-71.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.09 082407,39.0,24.0,15.539607614379088,-8.543921407189542,-31.696862366013068,-0.07719344437254902,0.5809616488562092,9.748860705882354,0.002375586963071896,0.0013135600705882354,-0.0041882199464052285,-0.059560279751476465,0.007927445347220414,-1.980230994473875,1023.3134512418301,-64.0,-64.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-65.0,-43.0,-61.0,-73.0,-100.0,-83.0,-100.0,-68.0,-100.0,-61.0,-87.0,-100.0,-100.0,-63.0,-90.0,-63.0,-45.0,-58.0,-100.0,-48.0,-64.0,-64.0,-78.0,-52.0,-69.0,-100.0,-71.0,-100.0,-76.0,-56.0,-70.0,-33.0,-35.0,-55.0,-70.0,-100.0,-100.0,-62.0,-87.0,-64.0,-45.0,-59.0,-100.0,-48.0,-62.0,-63.0,-77.0,-51.0,-69.0,-100.0,-100.0,-75.0,-54.0,-69.0,-32.0,-35.0,-55.0,-70.0,-73.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-60.0,-69.0,-85.0,-100.0,-100.0,-76.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-88.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.09 082419,40.0,24.0,14.361710233552632,-1.5477631225000001,-34.26907842105263,-0.16019099465789471,0.4620179224342105,9.684467128289475,0.003886228296710527,-0.0018285769447368427,-0.001603521300657895,-0.047724779278628095,0.016505615109436808,-1.5630802598438764,1023.315925263158,-57.0,-100.0,-66.0,-61.0,-85.0,-100.0,-100.0,-80.0,-73.0,-62.0,-71.0,-100.0,-100.0,-78.0,-82.0,-62.0,-100.0,-100.0,-81.0,-69.0,-82.0,-64.0,-85.0,-100.0,-53.0,-69.0,-100.0,-59.0,-69.0,-69.0,-100.0,-56.0,-71.0,-100.0,-100.0,-52.0,-62.0,-68.0,-73.0,-45.0,-54.0,-56.0,-59.0,-70.0,-82.0,-66.0,-85.0,-100.0,-53.0,-69.0,-100.0,-60.0,-68.0,-69.0,-100.0,-56.0,-71.0,-100.0,-51.0,-62.0,-68.0,-74.0,-46.0,-54.0,-57.0,-60.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-65.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-86.0,-100.0,-78.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-75.0,-83.0,-82.0,-69.0,-83.0,-70.0,-83.0,-88.0,-90.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.09 082429,41.0,24.0,16.187272454545454,3.8999999533333334,-36.7243630969697,-0.1750088889739394,0.28013610918181825,9.694122648484848,-0.002961770887272728,-0.0010551308306060605,-0.004053923843636365,-0.02895097109686691,0.017957020773213653,-1.2607193925163962,1023.3075263030302,-56.0,-84.0,-82.0,-60.0,-100.0,-100.0,-100.0,-82.0,-79.0,-73.0,-100.0,-89.0,-100.0,-77.0,-100.0,-60.0,-100.0,-100.0,-82.0,-100.0,-85.0,-61.0,-82.0,-100.0,-55.0,-70.0,-100.0,-57.0,-76.0,-74.0,-85.0,-51.0,-69.0,-100.0,-100.0,-51.0,-63.0,-67.0,-74.0,-52.0,-58.0,-45.0,-68.0,-100.0,-86.0,-62.0,-80.0,-100.0,-58.0,-71.0,-100.0,-57.0,-73.0,-72.0,-84.0,-51.0,-70.0,-100.0,-52.0,-63.0,-66.0,-73.0,-52.0,-57.0,-45.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-60.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-90.0,-100.0,-100.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-69.0,-100.0,-86.0,-60.0,-100.0,-100.0,-89.0,-88.0,-84.0,-84.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.09 082439,42.0,24.0,20.500118112426037,2.642485174556213,-37.612544011834316,-0.11496418236686391,0.7316907036094674,9.750535162721892,0.0007048444754437872,5.783330029585843e-05,-9.036459023668619e-05,-0.07499132241458578,0.011783110974260047,-1.304311596430265,1023.3005849112424,-56.0,-100.0,-81.0,-57.0,-82.0,-100.0,-100.0,-74.0,-100.0,-63.0,-76.0,-100.0,-100.0,-78.0,-82.0,-69.0,-100.0,-100.0,-100.0,-66.0,-85.0,-58.0,-86.0,-100.0,-54.0,-75.0,-100.0,-60.0,-78.0,-75.0,-100.0,-53.0,-67.0,-100.0,-79.0,-44.0,-59.0,-64.0,-72.0,-59.0,-57.0,-45.0,-61.0,-66.0,-86.0,-56.0,-86.0,-100.0,-55.0,-75.0,-100.0,-100.0,-75.0,-79.0,-100.0,-54.0,-66.0,-78.0,-44.0,-60.0,-65.0,-72.0,-58.0,-58.0,-45.0,-61.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-62.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-100.0,-100.0,-100.0,-100.0,-62.0,-100.0,-100.0,-100.0,-100.0,-73.0,-100.0,-100.0,-100.0,-100.0,-61.0,-100.0,-87.0,-100.0,-77.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.09 082449,43.0,24.0,23.18374967361111,2.1270832972222222,-37.79333284027778,-0.14717689869236109,0.6372400661111111,9.672175777777777,-0.0032155266482638886,0.0011665828312500005,-0.0027107144857638887,-0.06586079371886117,0.015187079791657046,-1.3685287071598902,1023.3002533333334,-51.0,-100.0,-66.0,-100.0,-100.0,-100.0,-100.0,-72.0,-100.0,-72.0,-74.0,-100.0,-100.0,-74.0,-88.0,-63.0,-100.0,-100.0,-71.0,-66.0,-86.0,-57.0,-85.0,-100.0,-53.0,-70.0,-100.0,-100.0,-75.0,-100.0,-100.0,-51.0,-73.0,-70.0,-80.0,-42.0,-60.0,-66.0,-72.0,-65.0,-55.0,-40.0,-61.0,-66.0,-84.0,-58.0,-86.0,-100.0,-53.0,-68.0,-100.0,-100.0,-77.0,-73.0,-100.0,-51.0,-74.0,-100.0,-57.0,-60.0,-66.0,-73.0,-65.0,-56.0,-41.0,-60.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-61.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-56.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-56.0,-100.0,-82.0,-66.0,-77.0,-64.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-67.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.09 082612,45.0,18.0,6.207664608383234,-26.203472676646708,-40.08574791017964,0.025131949405389216,0.6234673298802397,9.677463577844312,-0.003251851510778441,0.0013168352631736527,-0.0018472272568862277,-0.06439457795844816,-0.0026055759114901873,-2.8799819760693763,1023.3147076646704,-51.0,-100.0,-66.0,-100.0,-100.0,-100.0,-100.0,-72.0,-100.0,-72.0,-74.0,-100.0,-100.0,-74.0,-88.0,-63.0,-100.0,-100.0,-71.0,-66.0,-86.0,-73.0,-85.0,-100.0,-53.0,-70.0,-100.0,-100.0,-75.0,-100.0,-100.0,-51.0,-73.0,-70.0,-80.0,-50.0,-60.0,-66.0,-72.0,-65.0,-55.0,-40.0,-61.0,-66.0,-84.0,-58.0,-86.0,-100.0,-53.0,-68.0,-100.0,-100.0,-77.0,-73.0,-100.0,-51.0,-74.0,-100.0,-57.0,-60.0,-66.0,-73.0,-65.0,-56.0,-41.0,-60.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-61.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-56.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-56.0,-100.0,-82.0,-66.0,-77.0,-64.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-67.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.09 082622,45.0,17.0,5.119199923333334,-25.86199964666667,-38.68399954,-0.111027112684,0.43678219726666667,9.704944453333335,-0.0010303260976666678,-0.0042149701236666665,0.00017104222633333333,-0.045009669301410475,0.011487315834138654,-2.950116868019104,1023.3080456666668,-56.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,-66.0,-100.0,-100.0,-100.0,-75.0,-100.0,-57.0,-69.0,-100.0,-78.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.0,-90.0,-100.0,-100.0,-86.0,-100.0,-66.0,-100.0,-51.0,-55.0,-85.0,-100.0,-67.0,-80.0,-66.0,-79.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-50.0,-55.0,-86.0,-100.0,-67.0,-80.0,-67.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-58.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-48.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-55.0,-100.0,-100.0,-46.0,-81.0,-100.0,-100.0,-100.0,-75.0,-75.0,-83.0,-100.0,-100.0,-66.0,-85.0,-85.0,-80.0,-90.0,-84.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.09 082633,46.0,17.0,20.67479976666667,-1.6043999794666666,-42.26719946666667,-0.04207410525266667,0.6286216013333334,9.69487285,-0.0032090787589999998,-0.0021868975210000002,-0.004027638177666667,-0.0647652310878038,0.004286072896691934,-1.5150269118944804,1023.3016898000002,-38.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.0,-100.0,-78.0,-100.0,-100.0,-100.0,-77.0,-84.0,-60.0,-73.0,-100.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-66.0,-100.0,-45.0,-53.0,-100.0,-100.0,-73.0,-87.0,-71.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-46.0,-53.0,-100.0,-100.0,-74.0,-86.0,-71.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-61.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-51.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-53.0,-100.0,-100.0,-54.0,-75.0,-69.0,-100.0,-100.0,-85.0,-86.0,-100.0,-100.0,-100.0,-66.0,-100.0,-100.0,-74.0,-100.0,-100.0,-67.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.09 082644,47.0,17.0,-6.387547066037737,16.72150925157233,-46.95094274842767,-0.23317115217610065,0.551148245408805,9.693701025157234,-0.0011564178867924523,-0.0008567481110062889,-0.007368802251572328,-0.056795151154481346,0.02411020122199028,0.37008666373648735,1023.2935508805028,-54.0,-100.0,-100.0,-100.0,-72.0,-100.0,-100.0,-67.0,-100.0,-81.0,-85.0,-100.0,-100.0,-77.0,-90.0,-67.0,-66.0,-100.0,-74.0,-75.0,-100.0,-100.0,-100.0,-100.0,-74.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-49.0,-60.0,-85.0,-100.0,-68.0,-77.0,-64.0,-78.0,-72.0,-100.0,-100.0,-100.0,-100.0,-73.0,-100.0,-100.0,-81.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-48.0,-60.0,-85.0,-100.0,-68.0,-78.0,-64.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-56.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-45.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-53.0,-100.0,-100.0,-49.0,-82.0,-70.0,-100.0,-100.0,-82.0,-83.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
