Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ab:a0:de:a4,00:1a:ac:a0:de:b5,00:1a:ac:a0:de:b6,00:1a:ac:a0:de:b7,00:1a:ac:a0:de:b8,00:1a:ac:a0:de:d3,00:1a:ac:a0:de:f6,00:1a:ac:a0:de:g9,00:1a:ac:a0:de:h2,00:1a:ac:a0:de:h3,00:1a:ac:a0:de:h4,00:1a:ac:a0:de:h7,00:1a:ac:a0:de:i2,00:1a:ac:a0:de:i8,00:1a:ac:a0:de:k4,00:1a:ac:a0:de:k7,00:1a:ac:a0:de:k8,00:1a:ac:a0:de:n6,00:1a:ac:a0:de:n8,00:1a:ac:a0:de:p1,00:1a:ac:a0:de:p3,00:1a:ac:a0:de:p4,00:1a:ac:a0:de:p5,00:1a:ac:a0:de:p6,00:1a:ac:a0:de:p7,00:1a:ac:a0:de:p8,00:1a:ac:a0:de:r1,00:1a:ac:a0:de:r2,00:1a:ac:a0:de:r5,00:1a:ac:a0:de:r6,00:1a:ac:a0:de:r9,00:1a:ac:a0:de:s1,00:1a:ac:a0:de:s2,00:1a:ac:a0:de:s3,00:1a:ac:a0:de:s4,00:1a:ac:a0:de:s5,00:1a:ac:a0:de:s6,00:1a:ac:a0:de:s7,00:1a:ac:a0:de:t3,00:1a:ac:a0:de:t7,00:1a:ac:a0:de:t9,00:1a:ac:a0:de:u1,00:1a:ac:a0:de:u2,00:1a:ac:a0:de:u3,00:1a:ac:a0:de:u4,00:1a:ac:a0:de:u5,00:1a:ac:a0:de:v7,00:1a:ac:a0:de:v8,00:1a:ac:a0:de:w2,00:1a:ac:a0:de:w3,00:1a:ac:a0:de:w6,00:1a:ac:a0:de:w7,00:1a:ac:a0:de:w8,00:1a:ac:a0:de:w9,00:1a:ac:a0:de:x1,00:1a:ac:a0:de:x2,00:1a:ac:a0:de:x3,00:1a:ac:a0:de:x4,00:1a:ac:a0:de:x7,00:1a:ab:a0:de:a1,00:1a:ac:a0:de:f9,00:1a:ac:a0:de:j8,00:1a:ac:a0:de:p2,00:1a:ac:a0:de:t5,00:1a:ac:a0:de:t8,00:1a:ac:a0:de:g5,00:1a:ac:a0:de:g8,00:1a:ac:a0:de:l2,00:1a:ac:a0:de:n3,00:1a:ac:a0:de:j7,00:1a:ac:a0:de:n7,00:1a:ac:a0:de:b3,00:1a:ac:a0:de:i3,00:1a:ac:a0:de:t4,00:1a:ac:a0:de:h6,00:1a:ac:a0:de:l9,00:1a:ab:a0:de:a7,00:1a:ac:a0:de:i1,00:1a:ac:a0:de:n4,00:1a:ac:a0:de:n9,00:1a:ac:a0:de:t1,00:1a:ac:a0:de:f2,00:1a:ac:a0:de:k9,00:1a:ab:a0:de:a2,00:1a:ac:a0:de:f8,00:1a:ac:a0:de:f5,00:1a:ac:a0:de:t6,00:1a:ac:a0:de:e9,00:1a:ac:a0:de:j9,00:1a:ac:a0:de:f7,00:1a:ac:a0:de:l1,00:1a:ac:a0:de:f3,00:1a:ac:a0:de:g2,00:1a:ac:a0:de:h9,00:1a:ac:a0:de:b2,00:1a:ac:a0:de:l8,00:1a:ac:a0:de:i9,88:36:6c:88:5b:3e,00:1a:ac:a0:de:n5,00:1a:ac:a0:de:t2,00:1a:ac:a0:de:k2,00:1a:ac:a0:de:l7,00:1a:ac:a0:de:d4,00:1a:ac:a0:de:e8,00:1a:ac:a0:de:g7,00:1a:ac:a0:de:k6,90:9f:33:a4:06:5c,00:1a:ac:a0:de:w4,00:1a:ac:a0:de:b1,00:1a:ac:a0:de:k1,00:1a:ac:a0:de:r7,00:1a:ac:a0:de:q4,00:1a:ac:a0:de:r4,00:1a:ac:a0:de:v1,00:1a:ac:a0:de:w1,00:1a:ac:a0:de:k3,00:1a:ac:a0:de:g1,00:1a:ac:a0:de:q2,00:1a:ac:a0:de:b4,00:1a:ac:a0:de:r3,00:1a:ac:a0:de:v9,00:1a:ab:a0:de:a8,00:1a:ac:a0:de:d2,00:1a:ac:a0:de:i7,00:1a:ac:a0:de:j1,00:1a:ac:a0:de:j2,00:1a:ac:a0:de:i6,00:1a:ac:a0:de:r8,00:1a:ac:a0:de:w5,00:1a:ac:a0:de:j5,00:1a:ac:a0:de:h5,00:1a:ac:a0:de:m4,00:1a:ac:a0:de:u8,00:1a:ab:a0:de:a9,00:1a:ac:a0:de:c2,00:1a:ac:a0:de:m7,00:1a:ac:a0:de:c1,00:1a:ac:a0:de:v3,00:1a:ac:a0:de:k5,00:1a:ac:a0:de:m5,00:1a:ac:a0:de:q5,00:1a:ac:a0:de:q6,00:1a:ac:a0:de:v2,00:1a:ac:a0:de:f1,00:1a:ac:a0:de:m6,00:1a:ac:a0:de:p9,00:1a:ac:a0:de:q3,00:1a:ac:a0:de:u6,00:1a:ac:a0:de:u9,00:1a:ac:a0:de:q8,00:1a:ac:a0:de:s8,00:1a:ac:a0:de:x5,00:1a:ac:a0:de:j4
2021.01.30 155049,8.0,24.0,23.99119237614679,-31.23853174311927,-25.289174036697247,-5.407480626605506,8.305190160550458,-0.3944402995137613,0.0004083157036697248,-0.00030780323880733957,0.0020014803302752294,-0.9922512108032856,1.643720422316035,1.5192568214661484,1016.1898591743117,-100.0,-61.0,-100.0,-54.0,-68.0,-76.0,-68.0,-77.0,-100.0,-100.0,-67.0,-100.0,-66.0,-100.0,-100.0,-54.0,-66.0,-100.0,-70.0,-75.0,-69.0,-88.0,-50.0,-53.0,-51.0,-80.0,-63.0,-74.0,-54.0,-73.0,-78.0,-86.0,-32.0,-31.0,-60.0,-65.0,-62.0,-68.0,-100.0,-75.0,-69.0,-87.0,-49.0,-53.0,-57.0,-79.0,-62.0,-74.0,-55.0,-73.0,-77.0,-85.0,-31.0,-31.0,-60.0,-65.0,-60.0,-68.0,-100.0,-100.0,-100.0,-89.0,-86.0,-70.0,-86.0,-100.0,-100.0,-100.0,-81.0,-100.0,-89.0,-87.0,-100.0,-91.0,-100.0,-86.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 155058,9.0,24.0,22.024285491071428,-34.332321,-23.864999767857142,-5.3656981026785715,8.335710513392858,-0.3954615145446429,0.0009967138845535714,0.0009454011151785711,-0.002570651866607143,-0.9973474517464638,1.644529355423791,1.636654264160565,1016.1844720535713,-76.0,-61.0,-100.0,-51.0,-68.0,-73.0,-73.0,-77.0,-100.0,-100.0,-65.0,-100.0,-66.0,-100.0,-100.0,-54.0,-67.0,-100.0,-75.0,-100.0,-56.0,-82.0,-48.0,-53.0,-57.0,-80.0,-65.0,-76.0,-59.0,-73.0,-100.0,-85.0,-32.0,-34.0,-63.0,-58.0,-64.0,-67.0,-100.0,-100.0,-55.0,-83.0,-50.0,-53.0,-57.0,-80.0,-65.0,-76.0,-60.0,-73.0,-100.0,-84.0,-31.0,-34.0,-63.0,-58.0,-64.0,-68.0,-100.0,-100.0,-100.0,-100.0,-84.0,-75.0,-85.0,-100.0,-88.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-88.0,-90.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 155108,10.0,24.0,20.262702459459465,-36.814053711711715,-23.44810779279279,-5.3678347081081075,8.334621554054054,-0.3079986482972973,0.0033998337954054053,-0.0020605255552252257,-0.0003292893028828831,-0.9977023644490285,1.6282543115787678,1.7374667444744625,1016.1902848648649,-74.0,-60.0,-100.0,-54.0,-66.0,-100.0,-68.0,-78.0,-100.0,-75.0,-61.0,-100.0,-64.0,-100.0,-100.0,-54.0,-70.0,-100.0,-73.0,-69.0,-60.0,-86.0,-52.0,-56.0,-52.0,-69.0,-67.0,-72.0,-54.0,-76.0,-74.0,-84.0,-37.0,-35.0,-59.0,-60.0,-66.0,-69.0,-100.0,-69.0,-60.0,-87.0,-52.0,-56.0,-51.0,-69.0,-66.0,-71.0,-55.0,-77.0,-73.0,-83.0,-37.0,-35.0,-59.0,-60.0,-100.0,-69.0,-100.0,-100.0,-100.0,-88.0,-83.0,-70.0,-82.0,-100.0,-100.0,-100.0,-77.0,-100.0,-91.0,-76.0,-100.0,-100.0,-100.0,-86.0,-87.0,-83.0,-85.0,-100.0,-84.0,-88.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 155118,11.0,24.0,18.275454363636367,-37.41272689090909,-22.59545429090909,-5.357168145454546,8.33092276818182,-0.5054749451363636,-0.0023389475636363642,-0.0003230366526363639,0.0024748373474545453,-0.9968292675235054,1.66482797535983,1.8467658682302994,1016.1770261818182,-100.0,-65.0,-69.0,-45.0,-68.0,-76.0,-64.0,-84.0,-100.0,-72.0,-61.0,-100.0,-67.0,-63.0,-100.0,-61.0,-71.0,-100.0,-73.0,-68.0,-62.0,-100.0,-49.0,-62.0,-54.0,-71.0,-64.0,-67.0,-58.0,-79.0,-100.0,-87.0,-39.0,-44.0,-53.0,-60.0,-58.0,-66.0,-100.0,-67.0,-63.0,-100.0,-49.0,-62.0,-55.0,-71.0,-61.0,-66.0,-57.0,-80.0,-100.0,-87.0,-40.0,-43.0,-54.0,-60.0,-55.0,-66.0,-100.0,-100.0,-100.0,-91.0,-86.0,-72.0,-86.0,-90.0,-89.0,-100.0,-73.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 155128,12.0,24.0,22.19582586086957,-35.572173408695654,-23.859651860869562,-5.49750481652174,8.258561739130435,-0.30682111273913043,0.0006407710909565218,-0.0029980469406956523,0.0018762858113043478,-0.9826458386752916,1.626827273161515,1.668765808188397,1016.1702740000001,-75.0,-68.0,-100.0,-56.0,-70.0,-76.0,-60.0,-80.0,-100.0,-100.0,-61.0,-100.0,-100.0,-100.0,-100.0,-61.0,-73.0,-79.0,-78.0,-65.0,-61.0,-100.0,-56.0,-52.0,-59.0,-73.0,-66.0,-68.0,-57.0,-79.0,-100.0,-85.0,-41.0,-45.0,-57.0,-57.0,-56.0,-67.0,-78.0,-62.0,-60.0,-100.0,-57.0,-52.0,-59.0,-72.0,-65.0,-68.0,-58.0,-79.0,-100.0,-85.0,-41.0,-46.0,-60.0,-57.0,-58.0,-67.0,-100.0,-100.0,-100.0,-84.0,-83.0,-76.0,-84.0,-100.0,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 155138,13.0,24.0,20.77210985321101,-37.86990773394495,-23.985687788990827,-5.456530317431194,8.288144651376147,-0.2391419256825688,-0.003985430526238533,0.0014799582666055041,-0.000559670304770642,-0.9879449310652707,1.6146259340671225,1.7465097488613304,1016.1721164220185,-68.0,-67.0,-100.0,-60.0,-68.0,-79.0,-58.0,-77.0,-100.0,-60.0,-61.0,-100.0,-61.0,-100.0,-100.0,-60.0,-68.0,-81.0,-100.0,-66.0,-67.0,-87.0,-50.0,-49.0,-60.0,-69.0,-62.0,-72.0,-58.0,-76.0,-100.0,-87.0,-46.0,-50.0,-56.0,-58.0,-58.0,-67.0,-80.0,-65.0,-66.0,-87.0,-50.0,-49.0,-62.0,-69.0,-62.0,-72.0,-57.0,-76.0,-100.0,-86.0,-46.0,-50.0,-56.0,-58.0,-59.0,-67.0,-100.0,-100.0,-100.0,-100.0,-80.0,-71.0,-80.0,-100.0,-88.0,-100.0,-78.0,-100.0,-90.0,-88.0,-100.0,-89.0,-100.0,-100.0,-89.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 155148,14.0,24.0,18.85145428181818,-36.73799950909091,-24.537272409090907,-5.3476998427272715,8.355409654545454,-0.23783855274545457,-0.001022810551090909,0.00036557508827272695,0.0011198270340000002,-1.0009463743730025,1.6153159369121899,1.7628761811689897,1016.1787688181817,-66.0,-70.0,-100.0,-55.0,-64.0,-72.0,-57.0,-80.0,-100.0,-74.0,-49.0,-100.0,-60.0,-73.0,-100.0,-66.0,-73.0,-74.0,-67.0,-63.0,-64.0,-100.0,-41.0,-52.0,-50.0,-65.0,-60.0,-73.0,-61.0,-76.0,-100.0,-84.0,-47.0,-50.0,-57.0,-57.0,-59.0,-73.0,-75.0,-65.0,-64.0,-100.0,-45.0,-52.0,-51.0,-65.0,-61.0,-72.0,-60.0,-76.0,-100.0,-85.0,-48.0,-51.0,-56.0,-57.0,-59.0,-73.0,-100.0,-100.0,-100.0,-100.0,-83.0,-67.0,-83.0,-100.0,-100.0,-83.0,-77.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0,-77.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-86.0,-74.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 155158,15.0,24.0,16.88785694642857,-35.60517817857143,-26.793213937499996,-5.301287844642857,8.3846861875,-0.20967006430892857,0.00010223262455357103,-0.0038597084207142853,0.0012199851703571427,-1.006536012781518,1.6102752313017845,1.7756746038794518,1016.1750464285715,-100.0,-69.0,-100.0,-57.0,-66.0,-75.0,-54.0,-74.0,-100.0,-70.0,-62.0,-100.0,-59.0,-100.0,-100.0,-65.0,-76.0,-78.0,-65.0,-69.0,-63.0,-89.0,-49.0,-50.0,-54.0,-62.0,-62.0,-74.0,-62.0,-82.0,-100.0,-81.0,-50.0,-50.0,-57.0,-56.0,-56.0,-66.0,-80.0,-68.0,-63.0,-88.0,-49.0,-50.0,-51.0,-63.0,-64.0,-72.0,-62.0,-82.0,-100.0,-81.0,-50.0,-51.0,-56.0,-56.0,-56.0,-66.0,-100.0,-100.0,-100.0,-100.0,-82.0,-65.0,-82.0,-100.0,-100.0,-100.0,-72.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-90.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-62.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 155217,17.0,24.0,17.83100895412844,-32.91137563302753,-26.31357759633027,-5.312632193577981,8.375876155963303,-0.10323937195412843,-0.0024666735623853214,-0.003675968419541285,0.003537049855229358,-1.0050742593380289,1.5904671456835686,1.6853613809708061,1016.1604505504589,-59.0,-74.0,-100.0,-57.0,-65.0,-100.0,-48.0,-71.0,-100.0,-66.0,-64.0,-100.0,-55.0,-100.0,-100.0,-100.0,-80.0,-74.0,-57.0,-67.0,-63.0,-89.0,-39.0,-42.0,-42.0,-62.0,-62.0,-66.0,-62.0,-81.0,-100.0,-81.0,-50.0,-49.0,-59.0,-57.0,-55.0,-66.0,-73.0,-67.0,-64.0,-88.0,-40.0,-42.0,-44.0,-62.0,-62.0,-67.0,-62.0,-82.0,-100.0,-81.0,-50.0,-49.0,-60.0,-57.0,-54.0,-66.0,-100.0,-100.0,-100.0,-86.0,-85.0,-58.0,-85.0,-100.0,-100.0,-100.0,-58.0,-100.0,-100.0,-87.0,-100.0,-100.0,-81.0,-100.0,-100.0,-66.0,-100.0,-86.0,-100.0,-100.0,-80.0,-100.0,-85.0,-100.0,-86.0,-89.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 155226,18.0,24.0,14.987026729729731,-34.14162118918919,-26.553513153153148,-5.362485318018017,8.34387513063063,-0.1798941612486487,0.0013416031597297306,-0.001301071412342343,0.0014372668436036032,-0.9991099866660865,1.604467873100762,1.812518751299059,1016.1574818018016,-66.0,-75.0,-100.0,-57.0,-67.0,-100.0,-50.0,-70.0,-100.0,-71.0,-73.0,-100.0,-48.0,-100.0,-100.0,-83.0,-78.0,-75.0,-56.0,-68.0,-57.0,-100.0,-36.0,-37.0,-45.0,-61.0,-100.0,-64.0,-64.0,-74.0,-100.0,-82.0,-51.0,-52.0,-53.0,-59.0,-57.0,-64.0,-74.0,-67.0,-57.0,-100.0,-37.0,-37.0,-45.0,-61.0,-65.0,-64.0,-64.0,-77.0,-100.0,-83.0,-51.0,-53.0,-53.0,-59.0,-57.0,-64.0,-100.0,-100.0,-100.0,-100.0,-82.0,-54.0,-83.0,-100.0,-100.0,-100.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-58.0,-100.0,-90.0,-100.0,-100.0,-80.0,-100.0,-88.0,-56.0,-100.0,-88.0,-100.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 155237,19.0,24.0,15.558333064814816,-33.100555,-29.81833288888889,-5.451497697222222,8.290819403703702,-0.07009904534259259,-0.00543615765074074,-0.0039405106817592605,0.002667558165555556,-0.9888691212292071,1.583391496428737,1.7536170659241852,1016.1478107407407,-100.0,-100.0,-100.0,-62.0,-68.0,-80.0,-50.0,-74.0,-100.0,-71.0,-67.0,-100.0,-47.0,-100.0,-100.0,-74.0,-82.0,-79.0,-57.0,-66.0,-60.0,-89.0,-38.0,-32.0,-46.0,-64.0,-66.0,-63.0,-70.0,-81.0,-75.0,-82.0,-62.0,-53.0,-55.0,-54.0,-54.0,-65.0,-78.0,-66.0,-62.0,-89.0,-38.0,-32.0,-48.0,-64.0,-100.0,-63.0,-69.0,-81.0,-76.0,-81.0,-62.0,-53.0,-55.0,-54.0,-57.0,-65.0,-100.0,-100.0,-100.0,-86.0,-86.0,-59.0,-86.0,-100.0,-100.0,-100.0,-65.0,-100.0,-100.0,-84.0,-100.0,-100.0,-82.0,-100.0,-88.0,-63.0,-100.0,-100.0,-81.0,-100.0,-75.0,-100.0,-79.0,-56.0,-100.0,-86.0,-87.0,-84.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 155246,20.0,24.0,17.1117854375,-33.40982117857143,-33.387320946428574,-5.296648969642858,8.396657584821428,-0.034075660800000004,-0.00021410830937500014,-0.00017270026857142895,0.004896085008392856,-1.00765134287732,1.5773379941071783,1.6771047871027673,1016.1388558035713,-65.0,-79.0,-100.0,-62.0,-69.0,-100.0,-45.0,-77.0,-100.0,-68.0,-79.0,-100.0,-50.0,-100.0,-100.0,-80.0,-85.0,-75.0,-67.0,-65.0,-75.0,-100.0,-39.0,-29.0,-47.0,-62.0,-64.0,-67.0,-72.0,-85.0,-100.0,-81.0,-56.0,-55.0,-51.0,-56.0,-53.0,-71.0,-75.0,-61.0,-76.0,-100.0,-38.0,-28.0,-48.0,-63.0,-64.0,-67.0,-71.0,-85.0,-100.0,-81.0,-56.0,-55.0,-51.0,-56.0,-56.0,-71.0,-100.0,-86.0,-100.0,-86.0,-80.0,-68.0,-80.0,-100.0,-86.0,-64.0,-60.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-90.0,-60.0,-100.0,-85.0,-100.0,-82.0,-79.0,-100.0,-79.0,-61.0,-84.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
