Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ab:a0:de:a4,00:1a:ac:a0:de:b5,00:1a:ac:a0:de:b7,00:1a:ac:a0:de:b8,00:1a:ac:a0:de:d3,00:1a:ac:a0:de:f5,00:1a:ac:a0:de:f6,00:1a:ac:a0:de:g9,00:1a:ac:a0:de:h3,00:1a:ac:a0:de:h4,00:1a:ac:a0:de:i8,00:1a:ac:a0:de:k7,00:1a:ac:a0:de:k8,00:1a:ac:a0:de:p1,00:1a:ac:a0:de:p3,00:1a:ac:a0:de:p4,00:1a:ac:a0:de:p5,00:1a:ac:a0:de:p6,00:1a:ac:a0:de:p7,00:1a:ac:a0:de:p8,00:1a:ac:a0:de:r2,00:1a:ac:a0:de:r5,00:1a:ac:a0:de:r6,00:1a:ac:a0:de:s1,00:1a:ac:a0:de:s2,00:1a:ac:a0:de:s3,00:1a:ac:a0:de:s4,00:1a:ac:a0:de:s5,00:1a:ac:a0:de:s6,00:1a:ac:a0:de:s7,00:1a:ac:a0:de:t5,00:1a:ac:a0:de:t7,00:1a:ac:a0:de:t9,00:1a:ac:a0:de:u1,00:1a:ac:a0:de:u3,00:1a:ac:a0:de:u4,00:1a:ac:a0:de:u5,00:1a:ac:a0:de:v7,00:1a:ac:a0:de:v8,00:1a:ac:a0:de:w2,00:1a:ac:a0:de:w3,00:1a:ac:a0:de:w6,00:1a:ac:a0:de:w7,00:1a:ac:a0:de:w8,00:1a:ac:a0:de:w9,00:1a:ac:a0:de:x1,00:1a:ac:a0:de:x2,00:1a:ac:a0:de:x3,00:1a:ac:a0:de:x4,00:1a:ac:a0:de:x7,00:1a:ab:a0:de:a1,00:1a:ac:a0:de:b6,00:1a:ac:a0:de:h7,00:1a:ac:a0:de:j7,00:1a:ac:a0:de:l2,00:1a:ac:a0:de:p2,00:1a:ac:a0:de:r1,00:1a:ac:a0:de:t8,00:1a:ac:a0:de:u2,00:1a:ac:a0:de:n3,00:1a:ac:a0:de:n8,00:1a:ac:a0:de:r9,00:1a:ac:a0:de:f9,00:1a:ac:a0:de:l1,00:1a:ac:a0:de:n6,00:1a:ac:a0:de:t3,00:1a:ac:a0:de:e9,00:1a:ac:a0:de:f8,00:1a:ac:a0:de:g8,00:1a:ac:a0:de:i2,00:1a:ac:a0:de:j8,00:1a:ac:a0:de:l7,00:1a:ac:a0:de:g5,00:1a:ac:a0:de:i3,00:1a:ac:a0:de:t1,00:1a:ac:a0:de:l8,00:1a:ac:a0:de:r7,00:1a:ac:a0:de:w4,00:1a:ac:a0:de:e8,00:1a:ac:a0:de:v1,00:1a:ac:a0:de:g2,00:1a:ac:a0:de:k2,00:1a:ac:a0:de:k4,00:1a:ac:a0:de:j9,00:1a:ac:a0:de:n4,00:1a:ac:a0:de:n7,00:1a:ac:a0:de:k6,00:1a:ac:a0:de:t4,00:1a:ac:a0:de:i1,00:1a:ac:a0:de:k9,00:1a:ac:a0:de:n9,00:1a:ac:a0:de:t6,00:1a:ac:a0:de:b3,00:1a:ac:a0:de:i6,00:1a:ac:a0:de:f7,00:1a:ab:a0:de:a2,00:1a:ac:a0:de:h6,00:1a:ac:a0:de:h2,00:1a:ac:a0:de:j6,00:1a:ac:a0:de:f3,00:1a:ac:a0:de:h9,00:1a:ac:a0:de:i9,00:1a:ab:a0:de:a7,00:1a:ac:a0:de:f2,90:9f:33:a4:06:5c,00:1a:ac:a0:de:t2,00:1a:ac:a0:de:n5,00:1a:ac:a0:de:q4,00:1a:ac:a0:de:d4,00:1a:ac:a0:de:g7,00:1a:ac:a0:de:b2,00:1a:ac:a0:de:l9,00:1a:ac:a0:de:m4,00:1a:ac:a0:de:b1,00:1a:ac:a0:de:k1,00:1a:ac:a0:de:j1,00:1a:ac:a0:de:r4,00:1a:ac:a0:de:w1,00:1a:ac:a0:de:r3,00:1a:ac:a0:de:v9,00:1a:ac:a0:de:g1,00:1a:ac:a0:de:k3,00:1a:ac:a0:de:b4,00:1a:ab:a0:de:a3,00:1a:ac:a0:de:h5,00:1a:ac:a0:de:i7,00:1a:ac:a0:de:q2,00:1a:ac:a0:de:j2,00:1a:ac:a0:de:j4,00:1a:ac:a0:de:r8,00:1a:ac:a0:de:u8,00:1a:ac:a0:de:w5,00:1a:ac:a0:de:c2,00:1a:ac:a0:de:j5,00:1a:ac:a0:de:m6,00:1a:ab:a0:de:a8,00:1a:ac:a0:de:q5,00:1a:ac:a0:de:v2,00:1a:ab:a0:de:a9,00:1a:ac:a0:de:c1,00:1a:ac:a0:de:f1,00:1a:ac:a0:de:m7,00:1a:ac:a0:de:m5,00:1a:ac:a0:de:q6,00:1a:ac:a0:de:s8,00:1a:ac:a0:de:v3,00:1a:ac:a0:de:x5,00:1a:ac:a0:de:p9,00:1a:ac:a0:de:u6,00:1a:ac:a0:de:q3,00:1a:ac:a0:de:u9,00:1a:ac:a0:de:q8,00:1a:ac:a0:de:e2,00:1a:ac:a0:de:q7,00:1a:ac:a0:de:v4,00:1a:ac:a0:de:j3,00:1a:ac:a0:de:v5,00:1a:ac:a0:de:e7
2021.01.30 164505,8.0,24.0,-4.047652106956522,20.353564991304346,-33.76121688695652,6.371248540869564,-6.941960366086957,2.8298246330434775,-0.0011417070399999995,0.003957184942086956,0.0018879720124347823,0.7832492755806965,-1.1528010855550352,-1.4975973585377569,1016.802121304348,-100.0,-100.0,-57.0,-71.0,-100.0,-100.0,-74.0,-80.0,-73.0,-65.0,-69.0,-100.0,-73.0,-71.0,-59.0,-85.0,-46.0,-53.0,-59.0,-79.0,-73.0,-57.0,-63.0,-80.0,-37.0,-39.0,-61.0,-56.0,-53.0,-65.0,-72.0,-71.0,-59.0,-85.0,-53.0,-58.0,-79.0,-61.0,-74.0,-57.0,-63.0,-100.0,-80.0,-38.0,-40.0,-61.0,-57.0,-54.0,-65.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-82.0,-60.0,-82.0,-48.0,-80.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-69.0,-89.0,-100.0,-100.0,-100.0,-100.0,-91.0,-100.0,-100.0,-100.0,-90.0,-100.0,-90.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 164520,9.0,24.0,0.36536585138211386,23.879024097560976,-32.653658235772355,5.649379030081301,-7.332534736585365,3.423618309756098,-0.007550329343333334,0.010198936808699186,0.0012156964033333336,0.8333154437018604,-1.0265045694219388,-1.4413261544413682,1016.7934510569106,-100.0,-100.0,-54.0,-74.0,-100.0,-100.0,-74.0,-83.0,-69.0,-65.0,-100.0,-58.0,-76.0,-100.0,-61.0,-80.0,-49.0,-52.0,-57.0,-75.0,-77.0,-57.0,-66.0,-79.0,-43.0,-38.0,-62.0,-57.0,-53.0,-63.0,-73.0,-100.0,-61.0,-81.0,-52.0,-57.0,-76.0,-61.0,-77.0,-57.0,-67.0,-100.0,-79.0,-42.0,-38.0,-62.0,-57.0,-53.0,-63.0,-100.0,-100.0,-73.0,-100.0,-86.0,-100.0,-84.0,-59.0,-83.0,-47.0,-84.0,-72.0,-100.0,-100.0,-100.0,-77.0,-76.0,-100.0,-92.0,-100.0,-66.0,-100.0,-100.0,-100.0,-87.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-89.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 164532,10.0,24.0,-2.4897435547008553,26.340512495726497,-32.261025205128206,5.783647061538461,-7.30532124957265,3.2263159982905987,-0.002361349275555556,0.00480404254957265,0.005137611615726496,0.8342705944664458,-1.0619132926321437,-1.4068096224059405,1016.7990847008548,-100.0,-64.0,-50.0,-68.0,-70.0,-100.0,-73.0,-79.0,-100.0,-64.0,-66.0,-60.0,-71.0,-68.0,-68.0,-81.0,-50.0,-48.0,-58.0,-74.0,-74.0,-58.0,-71.0,-83.0,-39.0,-39.0,-60.0,-57.0,-53.0,-69.0,-100.0,-68.0,-66.0,-81.0,-48.0,-59.0,-74.0,-64.0,-73.0,-59.0,-70.0,-77.0,-83.0,-39.0,-39.0,-60.0,-57.0,-52.0,-69.0,-100.0,-87.0,-100.0,-87.0,-82.0,-100.0,-84.0,-63.0,-84.0,-50.0,-100.0,-69.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 164543,11.0,24.0,-3.6259321539830505,28.159830203389838,-31.953050372881357,5.8732169694915255,-7.330437566949153,3.008000496610169,0.0003782083183050843,1.0559299999991332e-06,0.0042129512934745775,0.8378136223655636,-1.0974718645467596,-1.3634606529090365,1016.8094755932203,-70.0,-63.0,-58.0,-63.0,-81.0,-72.0,-69.0,-80.0,-70.0,-60.0,-73.0,-62.0,-72.0,-68.0,-66.0,-85.0,-45.0,-52.0,-51.0,-70.0,-75.0,-62.0,-73.0,-80.0,-44.0,-42.0,-56.0,-59.0,-55.0,-73.0,-61.0,-63.0,-68.0,-85.0,-53.0,-51.0,-70.0,-100.0,-75.0,-62.0,-73.0,-100.0,-80.0,-43.0,-41.0,-57.0,-59.0,-55.0,-73.0,-79.0,-100.0,-78.0,-100.0,-80.0,-100.0,-82.0,-68.0,-82.0,-45.0,-78.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-88.0,-100.0,-91.0,-100.0,-75.0,-100.0,-87.0,-100.0,-88.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-89.0,-90.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 164554,12.0,24.0,-4.252066063636364,29.922148355371903,-31.712230925619835,5.684384361157025,-7.58100619338843,2.732421604132232,0.002150907190413223,-0.0006086541316528925,0.0057764377309917365,0.876816942672099,-1.122739212572082,-1.3628744093839786,1016.8187209917355,-100.0,-63.0,-64.0,-72.0,-80.0,-100.0,-69.0,-79.0,-74.0,-59.0,-100.0,-59.0,-75.0,-68.0,-71.0,-100.0,-49.0,-50.0,-100.0,-71.0,-74.0,-61.0,-70.0,-83.0,-48.0,-42.0,-53.0,-57.0,-53.0,-66.0,-65.0,-100.0,-70.0,-100.0,-50.0,-100.0,-71.0,-65.0,-74.0,-61.0,-69.0,-100.0,-83.0,-48.0,-43.0,-53.0,-57.0,-53.0,-66.0,-100.0,-81.0,-75.0,-100.0,-81.0,-80.0,-80.0,-67.0,-80.0,-48.0,-72.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,-65.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 164606,13.0,24.0,-4.009043413043479,28.005912660869566,-33.856695182608696,5.622069539130434,-7.531597392173913,2.988866933913043,0.004228595247826087,-0.002316135447826087,0.0020685756866086957,0.8686403969059819,-1.082297586876413,-1.4553711963736493,1016.8115099130436,-70.0,-64.0,-59.0,-72.0,-72.0,-67.0,-62.0,-79.0,-100.0,-58.0,-100.0,-69.0,-76.0,-70.0,-65.0,-90.0,-44.0,-51.0,-61.0,-65.0,-76.0,-67.0,-71.0,-77.0,-45.0,-42.0,-57.0,-57.0,-56.0,-75.0,-100.0,-100.0,-64.0,-89.0,-51.0,-60.0,-65.0,-61.0,-76.0,-67.0,-73.0,-100.0,-77.0,-46.0,-43.0,-54.0,-57.0,-57.0,-75.0,-86.0,-100.0,-75.0,-100.0,-86.0,-100.0,-80.0,-62.0,-80.0,-44.0,-72.0,-100.0,-100.0,-91.0,-100.0,-79.0,-77.0,-91.0,-100.0,-89.0,-100.0,-89.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-85.0,-86.0,-87.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 164617,14.0,24.0,-1.0273043259130434,26.299304095652168,-34.29495612173913,5.579722113913043,-7.527808208695651,3.10393786,0.0007811904000000004,-0.004042493726521739,0.007178596193826088,0.8673226833343506,-1.0630925282188084,-1.4493899397228076,1016.8046559999998,-100.0,-68.0,-52.0,-65.0,-100.0,-64.0,-55.0,-82.0,-100.0,-55.0,-100.0,-67.0,-79.0,-61.0,-66.0,-100.0,-40.0,-46.0,-52.0,-69.0,-75.0,-61.0,-78.0,-79.0,-50.0,-43.0,-50.0,-55.0,-59.0,-68.0,-100.0,-67.0,-65.0,-100.0,-46.0,-52.0,-69.0,-100.0,-75.0,-61.0,-79.0,-100.0,-78.0,-51.0,-43.0,-50.0,-55.0,-58.0,-68.0,-100.0,-100.0,-100.0,-100.0,-88.0,-100.0,-80.0,-100.0,-80.0,-40.0,-81.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-100.0,-100.0,-92.0,-100.0,-80.0,-100.0,-91.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 164627,15.0,24.0,0.5810256394017094,24.212820213675215,-34.62153799145299,5.477404985470086,-7.477115597435897,3.4230762888888893,0.002650878384444445,-0.00460954732974359,0.007262587303076922,0.8582546420586414,-1.0122837994852636,-1.4931064487522483,1016.8045361538462,-70.0,-100.0,-68.0,-70.0,-100.0,-100.0,-62.0,-75.0,-69.0,-68.0,-100.0,-71.0,-75.0,-65.0,-67.0,-88.0,-43.0,-43.0,-55.0,-65.0,-72.0,-69.0,-77.0,-79.0,-48.0,-45.0,-51.0,-55.0,-61.0,-65.0,-69.0,-65.0,-68.0,-88.0,-43.0,-55.0,-65.0,-56.0,-71.0,-69.0,-76.0,-76.0,-79.0,-48.0,-45.0,-51.0,-55.0,-58.0,-65.0,-100.0,-100.0,-77.0,-100.0,-86.0,-100.0,-78.0,-56.0,-78.0,-43.0,-67.0,-69.0,-100.0,-91.0,-100.0,-100.0,-100.0,-90.0,-84.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-88.0,-80.0,-92.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 164638,16.0,24.0,0.5918918826126125,24.639999711711713,-30.29891836936937,5.5581256288288285,-7.574471732432431,3.006648341441441,-0.00226878113981982,0.0043347107490991,0.0052129643001801815,0.8753203937599251,-1.0749955306182037,-1.3820054638493169,1016.8068537837837,-58.0,-75.0,-69.0,-67.0,-100.0,-100.0,-55.0,-77.0,-69.0,-71.0,-100.0,-75.0,-82.0,-61.0,-68.0,-100.0,-42.0,-42.0,-45.0,-66.0,-73.0,-71.0,-77.0,-76.0,-51.0,-46.0,-53.0,-56.0,-61.0,-65.0,-64.0,-61.0,-68.0,-100.0,-42.0,-45.0,-66.0,-64.0,-72.0,-70.0,-78.0,-100.0,-73.0,-51.0,-46.0,-54.0,-56.0,-61.0,-66.0,-100.0,-80.0,-100.0,-100.0,-84.0,-100.0,-86.0,-66.0,-86.0,-42.0,-63.0,-63.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-56.0,-86.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-71.0,-80.0,-87.0,-86.0,-100.0,-100.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 164648,17.0,24.0,1.0529203405309733,25.84407045132743,-28.925840318584076,5.740581078761061,-7.3604669053097345,3.1728167079646012,-0.0032035123338053097,0.0009936777022123892,0.0006315967349557522,0.8427751976831824,-1.0661781261452532,-1.2889701180753455,1016.8199913274337,-64.0,-100.0,-56.0,-68.0,-76.0,-100.0,-56.0,-76.0,-71.0,-73.0,-100.0,-75.0,-91.0,-100.0,-70.0,-100.0,-38.0,-43.0,-44.0,-55.0,-71.0,-100.0,-80.0,-78.0,-54.0,-54.0,-54.0,-59.0,-60.0,-68.0,-64.0,-100.0,-70.0,-100.0,-43.0,-43.0,-55.0,-64.0,-71.0,-100.0,-81.0,-100.0,-78.0,-54.0,-54.0,-54.0,-59.0,-60.0,-68.0,-100.0,-100.0,-77.0,-100.0,-100.0,-76.0,-75.0,-64.0,-75.0,-38.0,-61.0,-64.0,-100.0,-100.0,-100.0,-77.0,-100.0,-88.0,-80.0,-100.0,-64.0,-85.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-87.0,-79.0,-100.0,-100.0,-87.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 164659,18.0,24.0,2.202105220087719,26.586841710526315,-30.273683771929825,5.536676492982457,-7.522895456140351,3.198583121052632,0.0030046746251754385,-0.003022754207543859,0.003968641414824562,0.8661654727500782,-1.0471486982546354,-1.3145459660312586,1016.8234621052633,-60.0,-100.0,-58.0,-73.0,-82.0,-67.0,-57.0,-71.0,-69.0,-72.0,-100.0,-76.0,-88.0,-65.0,-76.0,-100.0,-39.0,-43.0,-44.0,-58.0,-77.0,-72.0,-81.0,-82.0,-56.0,-45.0,-50.0,-57.0,-60.0,-63.0,-63.0,-100.0,-100.0,-100.0,-43.0,-44.0,-58.0,-66.0,-77.0,-72.0,-82.0,-72.0,-81.0,-55.0,-45.0,-50.0,-57.0,-61.0,-63.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-82.0,-62.0,-82.0,-39.0,-69.0,-63.0,-72.0,-100.0,-100.0,-100.0,-100.0,-88.0,-80.0,-100.0,-52.0,-86.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-85.0,-89.0,-100.0,-90.0,-100.0,-75.0,-84.0,-83.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 164709,19.0,24.0,3.773097299115045,26.695220946902655,-32.413273973451325,5.430935678761062,-7.697487567256638,2.964408848672566,0.003975505647876107,-0.003779720635044247,0.004004870440707965,0.8936864190397009,-1.0712132548863909,-1.3367976129582497,1016.8114394690266,-100.0,-100.0,-60.0,-64.0,-78.0,-100.0,-60.0,-74.0,-73.0,-78.0,-100.0,-75.0,-89.0,-64.0,-71.0,-100.0,-41.0,-33.0,-50.0,-59.0,-73.0,-100.0,-77.0,-82.0,-60.0,-53.0,-53.0,-54.0,-50.0,-66.0,-61.0,-62.0,-72.0,-100.0,-34.0,-51.0,-59.0,-100.0,-73.0,-100.0,-76.0,-78.0,-83.0,-60.0,-53.0,-51.0,-54.0,-57.0,-66.0,-86.0,-100.0,-71.0,-100.0,-100.0,-62.0,-80.0,-100.0,-79.0,-40.0,-69.0,-60.0,-100.0,-100.0,-100.0,-80.0,-100.0,-86.0,-80.0,-100.0,-49.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-82.0,-100.0,-100.0,-88.0,-90.0,-90.0,-66.0,-76.0,-84.0,-85.0,-100.0,-100.0,-76.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
