Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ac:a0:de:b3,00:1a:ac:a0:de:b5,00:1a:ac:a0:de:b7,00:1a:ac:a0:de:b8,00:1a:ac:a0:de:d3,00:1a:ac:a0:de:e8,00:1a:ac:a0:de:e9,00:1a:ac:a0:de:f5,00:1a:ac:a0:de:f6,00:1a:ac:a0:de:f8,00:1a:ac:a0:de:g9,00:1a:ac:a0:de:h3,00:1a:ac:a0:de:h4,00:1a:ac:a0:de:k7,00:1a:ac:a0:de:k8,00:1a:ac:a0:de:k9,00:1a:ac:a0:de:m2,00:1a:ac:a0:de:m3,00:1a:ac:a0:de:n6,00:1a:ac:a0:de:n8,00:1a:ac:a0:de:p1,00:1a:ac:a0:de:p2,00:1a:ac:a0:de:p3,00:1a:ac:a0:de:p4,00:1a:ac:a0:de:p5,00:1a:ac:a0:de:p6,00:1a:ac:a0:de:p7,00:1a:ac:a0:de:p8,00:1a:ac:a0:de:r1,00:1a:ac:a0:de:r2,00:1a:ac:a0:de:r5,00:1a:ac:a0:de:r6,00:1a:ac:a0:de:r9,00:1a:ac:a0:de:s2,00:1a:ac:a0:de:s3,00:1a:ac:a0:de:s4,00:1a:ac:a0:de:s5,00:1a:ac:a0:de:s6,00:1a:ac:a0:de:s7,00:1a:ac:a0:de:t3,00:1a:ac:a0:de:t5,00:1a:ac:a0:de:t7,00:1a:ac:a0:de:t8,00:1a:ac:a0:de:t9,00:1a:ac:a0:de:u1,00:1a:ac:a0:de:u2,00:1a:ac:a0:de:u3,00:1a:ac:a0:de:u4,00:1a:ac:a0:de:u5,00:1a:ac:a0:de:v8,00:1a:ac:a0:de:w2,00:1a:ac:a0:de:w3,00:1a:ac:a0:de:w6,00:1a:ac:a0:de:w8,00:1a:ac:a0:de:w9,00:1a:ac:a0:de:x1,00:1a:ac:a0:de:x2,00:1a:ac:a0:de:x3,00:1a:ac:a0:de:x4,00:1a:ac:a0:de:x7,70:5d:cc:b6:d1:c8,70:5d:cc:e8:73:1c,70:5d:cc:e8:73:1e,86:25:19:b5:ef:50,88:36:6c:4b:14:1c,00:1a:ac:a0:de:w7,00:1a:ac:a0:de:b6,00:1a:ac:a0:de:s1,00:1a:ac:a0:de:k4,00:1a:ac:a0:de:v7,88:36:6c:51:f3:22,00:1a:ab:a0:de:a4,00:1a:ac:a0:de:r7,00:1a:ac:a0:de:w4,00:1a:ac:a0:de:n4,00:1a:ac:a0:de:t1,00:1a:ac:a0:de:h6,00:1a:ac:a0:de:l8,00:1a:ac:a0:de:j9,00:1a:ac:a0:de:f2,00:1a:ac:a0:de:n7,00:1a:ac:a0:de:t4,00:1a:ac:a0:de:n9,00:1a:ac:a0:de:t6,00:1a:ac:a0:de:f3,70:5d:cc:05:03:10,00:1a:ac:a0:de:d5,00:1a:ac:a0:de:m9,00:1a:ac:a0:de:l2,ea:d8:d1:b4:cf:21,32:24:a9:c6:2d:75,00:1a:ac:a0:de:i8,00:1a:ac:a0:de:h9,00:1a:ac:a0:de:l1,00:1a:ac:a0:de:i9,70:5d:cc:b1:75:50,00:1a:ac:a0:de:f9,90:9f:33:a4:06:5c,00:1a:ac:a0:de:n5,00:1a:ac:a0:de:b2,00:1a:ac:a0:de:b1,00:1a:ac:a0:de:t2,00:1a:ac:a0:de:j7,00:1a:ac:a0:de:k1,00:1a:ac:a0:de:i6,00:1a:ac:a0:de:l9,00:1a:ac:a0:de:k2,00:1a:ac:a0:de:l7,00:1a:ac:a0:de:r3,00:1a:ac:a0:de:v9,00:1a:ac:a0:de:g7,00:1a:ab:a0:de:a7,00:1a:ac:a0:de:m4,00:1a:ac:a0:de:b4,00:1a:ac:a0:de:r4,00:1a:ac:a0:de:w1,00:1a:ac:a0:de:k3,72:5d:cc:4b:31:60,00:1a:ac:a0:de:j8,28:b3:71:0f:d8:ec,28:b3:71:0f:d8:ed,28:b3:71:4f:d8:ec,28:b3:71:8f:d8:ec,28:b3:71:cf:d8:ec,70:5d:cc:ea:72:5c,70:5d:cc:ea:72:5e,00:1a:ac:a0:de:j1,00:1b:ad:a1:df:a8,00:1a:ac:a0:de:g1,00:1a:ac:a0:de:i7,00:1a:ac:a0:de:j2,00:1a:ac:a0:de:j5,00:1a:ac:a0:de:v1,00:1a:ac:a0:de:q2,00:1a:ac:a0:de:c2,00:1a:ac:a0:de:h5,00:1a:ac:a0:de:r8,00:1a:ac:a0:de:w5,70:5d:cc:1b:31:60,00:1a:ac:a0:de:q4,00:1a:ac:a0:de:u8,00:1a:ac:a0:de:c1,00:1a:ac:a0:de:q6,00:1a:ac:a0:de:v3,00:1a:ac:a0:de:m5,00:1a:ac:a0:de:q3,00:1a:ac:a0:de:q5,00:1a:ac:a0:de:u9,00:1a:ac:a0:de:v2,00:1a:ac:a0:de:p9,00:1a:ac:a0:de:q8,00:1a:ac:a0:de:u6,00:1a:ac:a0:de:q7,00:1a:ac:a0:de:v4
2021.05.22 145809,8.0,24.0,28.771904269841272,-0.289523802936508,-33.23999934920635,-0.31688036912698414,0.6754515269047621,9.960753230158732,0.001003787355484128,-0.00567741069777778,0.00017872172460317486,-0.06771521472800815,0.031866847714852674,-1.4967847835449946,1000.9630414285715,-100.0,-56.0,-57.0,-71.0,-70.0,-100.0,-80.0,-100.0,-71.0,-89.0,-81.0,-74.0,-63.0,-62.0,-72.0,-100.0,-100.0,-78.0,-100.0,-72.0,-73.0,-84.0,-66.0,-79.0,-48.0,-55.0,-67.0,-75.0,-65.0,-76.0,-57.0,-69.0,-78.0,-37.0,-37.0,-61.0,-65.0,-61.0,-72.0,-82.0,-100.0,-73.0,-86.0,-67.0,-79.0,-49.0,-55.0,-64.0,-75.0,-76.0,-57.0,-70.0,-100.0,-36.0,-37.0,-61.0,-65.0,-62.0,-72.0,-77.0,-100.0,-76.0,-100.0,-76.0,-100.0,-84.0,-78.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.0,-92.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 145820,9.0,24.0,27.484389910569107,2.33170727398374,-35.53121904878049,-0.32301297781300814,0.6157568693495935,9.973536650406503,0.0004533465040162598,-0.0029104251943089434,0.003976941258536586,-0.0616454641084845,0.03240048555975276,-1.397877974238822,1000.9701037398373,-100.0,-58.0,-66.0,-68.0,-100.0,-60.0,-85.0,-100.0,-73.0,-100.0,-84.0,-70.0,-65.0,-59.0,-77.0,-100.0,-66.0,-84.0,-100.0,-79.0,-75.0,-83.0,-65.0,-80.0,-52.0,-62.0,-64.0,-72.0,-100.0,-76.0,-57.0,-68.0,-100.0,-43.0,-53.0,-58.0,-61.0,-62.0,-71.0,-100.0,-77.0,-75.0,-83.0,-64.0,-80.0,-51.0,-62.0,-62.0,-72.0,-76.0,-57.0,-68.0,-100.0,-44.0,-53.0,-58.0,-61.0,-62.0,-71.0,-72.0,-100.0,-78.0,-71.0,-69.0,-100.0,-83.0,-77.0,-82.0,-100.0,-100.0,-100.0,-76.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-90.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 145832,10.0,24.0,26.43209269767442,2.5753488031007756,-37.213953077519385,-0.3258812177441861,0.7059398655038759,9.94605876744186,0.0005910191875736436,-0.0043663841797674414,0.0002981210930232545,-0.07086879046734908,0.03283411106672277,-1.363411080005557,1000.9496658914728,-100.0,-68.0,-59.0,-65.0,-75.0,-100.0,-85.0,-100.0,-68.0,-100.0,-81.0,-100.0,-64.0,-65.0,-77.0,-100.0,-66.0,-82.0,-82.0,-75.0,-68.0,-86.0,-100.0,-85.0,-49.0,-53.0,-53.0,-69.0,-66.0,-77.0,-58.0,-77.0,-100.0,-46.0,-47.0,-60.0,-57.0,-66.0,-72.0,-82.0,-100.0,-71.0,-86.0,-100.0,-85.0,-48.0,-54.0,-53.0,-69.0,-77.0,-58.0,-76.0,-77.0,-46.0,-47.0,-61.0,-57.0,-66.0,-72.0,-100.0,-100.0,-82.0,-100.0,-70.0,-100.0,-83.0,-100.0,-83.0,-90.0,-67.0,-100.0,-74.0,-87.0,-85.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 145844,11.0,24.0,26.675624710937498,4.551093673437499,-37.842655765625004,-0.3706075538984375,0.46432096687499996,9.96325083203125,0.0005387448726562506,-0.002803298891328126,0.005481523088671876,-0.04658065475814506,0.03723106867983002,-1.3224134659394622,1000.922932109375,-100.0,-68.0,-55.0,-68.0,-78.0,-68.0,-89.0,-68.0,-68.0,-91.0,-82.0,-64.0,-64.0,-62.0,-75.0,-100.0,-100.0,-77.0,-100.0,-69.0,-68.0,-83.0,-100.0,-85.0,-50.0,-54.0,-59.0,-71.0,-69.0,-76.0,-70.0,-77.0,-74.0,-48.0,-53.0,-65.0,-62.0,-100.0,-70.0,-100.0,-69.0,-69.0,-83.0,-100.0,-86.0,-51.0,-54.0,-58.0,-71.0,-76.0,-68.0,-78.0,-100.0,-47.0,-53.0,-65.0,-62.0,-69.0,-71.0,-78.0,-100.0,-82.0,-69.0,-73.0,-100.0,-85.0,-100.0,-84.0,-100.0,-69.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 145855,12.0,24.0,27.216787963503652,2.629926978832117,-39.006568854014596,-0.33170318112408764,0.5625497199883213,9.957334587591241,0.0001880618583722629,-0.003306140894160584,0.005515034221167883,-0.056487510741746044,0.03327457517223567,-1.384117976592405,1000.9350540145986,-100.0,-100.0,-100.0,-64.0,-100.0,-100.0,-91.0,-100.0,-64.0,-92.0,-78.0,-66.0,-61.0,-62.0,-81.0,-100.0,-100.0,-78.0,-86.0,-70.0,-69.0,-84.0,-71.0,-89.0,-48.0,-54.0,-100.0,-72.0,-100.0,-78.0,-61.0,-73.0,-100.0,-49.0,-60.0,-57.0,-58.0,-65.0,-73.0,-87.0,-68.0,-66.0,-85.0,-71.0,-90.0,-48.0,-55.0,-63.0,-72.0,-78.0,-62.0,-73.0,-100.0,-50.0,-60.0,-55.0,-58.0,-66.0,-73.0,-100.0,-100.0,-78.0,-78.0,-76.0,-100.0,-84.0,-100.0,-84.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 145907,13.0,24.0,26.958831810218978,3.4935765912408763,-38.992116321167885,-0.28254190460145984,0.41864856543795625,9.968030098540146,0.0009683640000000001,-0.0038367465621167887,0.004997805085036497,-0.04200741826101154,0.0283458065912319,-1.3725693756646484,1000.93897729927,-100.0,-69.0,-52.0,-67.0,-78.0,-100.0,-90.0,-100.0,-59.0,-89.0,-80.0,-100.0,-62.0,-67.0,-84.0,-100.0,-62.0,-75.0,-100.0,-100.0,-72.0,-100.0,-68.0,-88.0,-47.0,-49.0,-60.0,-67.0,-100.0,-79.0,-100.0,-78.0,-78.0,-54.0,-59.0,-61.0,-62.0,-64.0,-77.0,-100.0,-70.0,-100.0,-100.0,-68.0,-88.0,-46.0,-49.0,-60.0,-67.0,-79.0,-66.0,-79.0,-78.0,-53.0,-59.0,-61.0,-62.0,-64.0,-77.0,-100.0,-91.0,-77.0,-100.0,-76.0,-100.0,-79.0,-70.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 145919,14.0,24.0,28.209916983471068,4.589256119008265,-37.256032528925616,-0.2996405235454546,0.48190221925619836,9.973282425619834,-0.0017849333053966947,-0.0015684343959504138,0.002807173247107439,-0.04832272104965133,0.030036548381548112,-1.3367503270630008,1000.9293488429752,-100.0,-74.0,-60.0,-69.0,-83.0,-100.0,-100.0,-100.0,-55.0,-85.0,-76.0,-66.0,-58.0,-67.0,-81.0,-86.0,-57.0,-69.0,-84.0,-69.0,-63.0,-85.0,-71.0,-89.0,-46.0,-50.0,-58.0,-65.0,-68.0,-78.0,-67.0,-81.0,-100.0,-53.0,-64.0,-55.0,-55.0,-64.0,-76.0,-83.0,-100.0,-65.0,-85.0,-70.0,-89.0,-48.0,-51.0,-58.0,-66.0,-79.0,-67.0,-80.0,-78.0,-52.0,-64.0,-55.0,-55.0,-66.0,-76.0,-84.0,-89.0,-77.0,-70.0,-75.0,-100.0,-83.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0,-100.0,-100.0,-100.0,-100.0,-89.0,-89.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 145930,15.0,24.0,28.421652504132233,4.350743746280992,-34.712230991735545,-0.3386019043586777,0.812826617107438,9.9434628553719,0.005287977833008264,0.0007942510567768598,0.007815258404132231,-0.08157198405093395,0.03400254206422112,-1.310238765290946,1000.9312600826446,-100.0,-100.0,-57.0,-64.0,-79.0,-100.0,-100.0,-65.0,-53.0,-88.0,-77.0,-100.0,-62.0,-77.0,-85.0,-100.0,-65.0,-70.0,-81.0,-100.0,-67.0,-83.0,-100.0,-88.0,-45.0,-52.0,-55.0,-69.0,-67.0,-77.0,-67.0,-81.0,-100.0,-56.0,-65.0,-53.0,-56.0,-58.0,-76.0,-100.0,-100.0,-65.0,-83.0,-76.0,-88.0,-46.0,-52.0,-55.0,-69.0,-78.0,-66.0,-82.0,-100.0,-56.0,-65.0,-52.0,-57.0,-68.0,-76.0,-100.0,-86.0,-71.0,-68.0,-100.0,-100.0,-81.0,-71.0,-80.0,-100.0,-65.0,-100.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-89.0,-87.0,-87.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 145941,16.0,24.0,27.122499558333335,4.430499945833333,-31.631499558333335,-0.4081639965583334,0.7454375098333335,9.952541479166666,-0.0034996468092166667,-0.0001476257141666664,0.004304970802916668,-0.07476664888672528,0.04096362145113133,-1.3097289125124614,1000.9206739166667,-100.0,-68.0,-56.0,-72.0,-82.0,-100.0,-100.0,-60.0,-53.0,-83.0,-73.0,-100.0,-68.0,-68.0,-85.0,-80.0,-100.0,-81.0,-100.0,-65.0,-70.0,-86.0,-100.0,-100.0,-46.0,-49.0,-49.0,-66.0,-100.0,-76.0,-100.0,-76.0,-100.0,-57.0,-64.0,-59.0,-64.0,-58.0,-74.0,-100.0,-72.0,-71.0,-86.0,-100.0,-100.0,-46.0,-49.0,-50.0,-66.0,-76.0,-67.0,-76.0,-100.0,-58.0,-63.0,-59.0,-64.0,-64.0,-75.0,-86.0,-100.0,-68.0,-61.0,-100.0,-100.0,-84.0,-100.0,-84.0,-100.0,-100.0,-100.0,-59.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 145952,17.0,24.0,27.10333295238095,5.671904684126982,-33.16761868253969,-0.3842621059523809,0.661256896031746,9.951100126984127,-0.0019535760349682543,-0.002574602990952381,0.004183282665079367,-0.06640238780528303,0.0386734722359549,-1.2712244344136072,1000.9072432539682,-100.0,-100.0,-65.0,-75.0,-100.0,-100.0,-100.0,-100.0,-50.0,-88.0,-75.0,-100.0,-72.0,-77.0,-91.0,-76.0,-62.0,-86.0,-83.0,-100.0,-72.0,-80.0,-100.0,-100.0,-35.0,-47.0,-46.0,-56.0,-63.0,-75.0,-68.0,-87.0,-100.0,-58.0,-67.0,-61.0,-57.0,-68.0,-72.0,-83.0,-100.0,-71.0,-79.0,-100.0,-100.0,-35.0,-47.0,-48.0,-56.0,-75.0,-69.0,-88.0,-100.0,-60.0,-67.0,-62.0,-58.0,-68.0,-72.0,-100.0,-100.0,-65.0,-57.0,-100.0,-100.0,-84.0,-77.0,-83.0,-100.0,-64.0,-100.0,-65.0,-100.0,-100.0,-80.0,-81.0,-79.0,-100.0,-83.0,-100.0,-100.0,-100.0,-80.0,-80.0,-100.0,-100.0,-83.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 150003,18.0,24.0,27.746399568000005,7.3991998720000005,-33.49343948,-0.2894007841728001,0.485635545808,9.973437872000002,-0.006371935347200001,-0.0006322454308799999,0.005373170826800001,-0.04870049854367967,0.02896698571741576,-1.243216076850891,1000.9081051200001,-100.0,-100.0,-100.0,-78.0,-79.0,-100.0,-100.0,-62.0,-55.0,-84.0,-70.0,-59.0,-75.0,-100.0,-100.0,-100.0,-100.0,-85.0,-79.0,-64.0,-71.0,-82.0,-100.0,-100.0,-40.0,-41.0,-48.0,-58.0,-100.0,-80.0,-68.0,-81.0,-100.0,-58.0,-64.0,-55.0,-57.0,-68.0,-74.0,-79.0,-63.0,-71.0,-83.0,-78.0,-100.0,-40.0,-41.0,-47.0,-58.0,-80.0,-68.0,-82.0,-100.0,-57.0,-64.0,-55.0,-57.0,-68.0,-72.0,-100.0,-100.0,-63.0,-66.0,-83.0,-100.0,-82.0,-79.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-90.0,-80.0,-100.0,-100.0,-100.0,-83.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 150014,19.0,24.0,31.098922684615385,7.38646140923077,-32.918307215384615,-0.3793636351907692,0.6529371558461537,9.951398007692308,0.003974054441061539,-0.003753296920923077,-0.001065161048846154,-0.06556541747771771,0.03823763479986851,-1.25836730828652,1000.9009378461537,-100.0,-82.0,-64.0,-75.0,-100.0,-100.0,-100.0,-70.0,-55.0,-100.0,-74.0,-62.0,-82.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-70.0,-79.0,-100.0,-100.0,-35.0,-37.0,-46.0,-64.0,-65.0,-75.0,-66.0,-87.0,-71.0,-59.0,-67.0,-51.0,-55.0,-60.0,-74.0,-100.0,-63.0,-69.0,-79.0,-100.0,-100.0,-38.0,-37.0,-45.0,-65.0,-75.0,-66.0,-87.0,-71.0,-61.0,-67.0,-50.0,-55.0,-62.0,-74.0,-100.0,-100.0,-68.0,-54.0,-83.0,-100.0,-85.0,-80.0,-85.0,-100.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-89.0,-91.0,-79.0,-79.0,-100.0,-100.0,-100.0,-79.0,-63.0,-59.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
