Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ab:a0:de:a7,00:1a:ab:a0:de:a8,00:1a:ab:a0:de:a9,00:1a:ac:a0:de:c1,00:1a:ac:a0:de:c2,00:1a:ac:a0:de:f1,00:1a:ac:a0:de:f9,00:1a:ac:a0:de:g5,00:1a:ac:a0:de:h2,00:1a:ac:a0:de:j5,00:1a:ac:a0:de:k4,00:1a:ac:a0:de:l4,00:1a:ac:a0:de:l9,00:1a:ac:a0:de:n6,00:1a:ac:a0:de:n7,00:1a:ac:a0:de:r1,00:1a:ac:a0:de:s6,00:1a:ac:a0:de:s7,00:1a:ac:a0:de:t3,00:1a:ac:a0:de:t4,00:1a:ac:a0:de:v7,f0:b0:52:6a:20:c8,f0:b0:52:6a:20:cc,00:1a:ac:a0:de:b7,00:1a:ac:a0:de:b8,00:1a:ac:a0:de:d3,00:1a:ac:a0:de:f6,00:1a:ac:a0:de:h3,00:1a:ac:a0:de:h4,00:1a:ac:a0:de:h7,00:1a:ac:a0:de:i8,00:1a:ac:a0:de:k7,00:1a:ac:a0:de:k8,00:1a:ac:a0:de:m2,00:1a:ac:a0:de:n2,00:1a:ac:a0:de:n8,00:1a:ac:a0:de:p5,00:1a:ac:a0:de:p6,00:1a:ac:a0:de:r2,00:1a:ac:a0:de:r5,00:1a:ac:a0:de:r6,00:1a:ac:a0:de:s2,00:1a:ac:a0:de:s3,00:1a:ac:a0:de:s5,00:1a:ac:a0:de:t5,00:1a:ac:a0:de:t7,00:1a:ac:a0:de:u2,00:1a:ac:a0:de:u3,00:1a:ac:a0:de:v8,00:1a:ac:a0:de:w2,00:1a:ac:a0:de:w3,00:1a:ac:a0:de:w8,00:1a:ac:a0:de:w9,f0:b0:52:6a:1f:cc,00:1a:ac:a0:de:b6,00:1a:ac:a0:de:i2,00:1a:ac:a0:de:m3,00:1a:ac:a0:de:p3,00:1a:ac:a0:de:p4,00:1a:ac:a0:de:p7,00:1a:ac:a0:de:p8,00:1a:ac:a0:de:s4,00:1a:ac:a0:de:t9,00:1a:ac:a0:de:u1,00:1a:ac:a0:de:u4,00:1a:ac:a0:de:u5,00:1a:ac:a0:de:x1,f4:28:53:71:29:24,00:1a:ab:a0:de:a2,00:1a:ab:a0:de:a4,00:1a:ac:a0:de:b3,00:1a:ac:a0:de:f5,00:1a:ac:a0:de:l2,00:1a:ac:a0:de:n3,00:1a:ac:a0:de:p1,00:1a:ac:a0:de:p2,00:1a:ac:a0:de:s1,00:1a:ac:a0:de:t8,00:1a:ac:a0:de:w7,00:1a:ab:a0:de:a1,00:1a:ac:a0:de:n4,00:1a:ac:a0:de:r9,00:1a:ac:a0:de:t1,00:1a:ac:a0:de:w6,00:1a:ac:a0:de:m1,00:1a:ac:a0:de:f8,00:1a:ac:a0:de:g9,00:1a:ac:a0:de:h9,00:1a:ac:a0:de:k9,fa:d0:27:36:de:a9,00:1a:ac:a0:de:f3,00:1a:ac:a0:de:i1,00:1a:ac:a0:de:j9,00:1a:ac:a0:de:e9,00:1a:ac:a0:de:g2,00:1a:ac:a0:de:h6,00:1a:ac:a0:de:i9,00:1a:ac:a0:de:m9,00:1a:ac:a0:de:n9,00:1a:ac:a0:de:r3,00:1a:ac:a0:de:t6,00:1a:ac:a0:de:v9,00:1a:ac:a0:de:f2,00:1a:ac:a0:de:k2,00:1a:ac:a0:de:e8,00:1a:ac:a0:de:g7,00:1a:ac:a0:de:l1,00:1a:ac:a0:de:d4,00:1a:ac:a0:de:l8,90:9f:33:a4:06:5c,00:1a:ac:a0:de:b2,00:1a:ac:a0:de:g8,00:1a:ac:a0:de:j8,00:1a:ac:a0:de:b1,00:1a:ac:a0:de:j7,00:1a:ac:a0:de:k1,00:1a:ac:a0:de:i6,00:1a:ac:a0:de:k6,00:1a:ac:a0:de:l7,00:1a:ac:a0:de:n5,00:1a:ac:a0:de:r4,00:1a:ac:a0:de:t2,00:1a:ac:a0:de:w1,00:1a:ac:a0:de:b4,00:1a:ac:a0:de:q2,00:1a:ac:a0:de:r7,00:1a:ac:a0:de:u8,00:1a:ac:a0:de:w4,00:1a:ac:a0:de:l5,00:1a:ac:a0:de:q4,00:1a:ac:a0:de:v3,00:1a:ac:a0:de:k3,00:1a:ac:a0:de:v1,00:1a:ac:a0:de:g1,00:1a:ac:a0:de:j2,00:1a:ac:a0:de:h5,00:1a:ac:a0:de:i7,00:1a:ac:a0:de:j1,00:1a:ac:a0:de:r8,00:1a:ac:a0:de:w5,00:1a:ac:a0:de:m5,00:1a:ac:a0:de:m4,00:1a:ac:a0:de:q5,00:1a:ac:a0:de:v2,00:1a:ac:a0:de:m6,00:1a:ac:a0:de:p9,00:1a:ac:a0:de:q6,00:1a:ac:a0:de:q8,00:1a:ac:a0:de:u6,00:1a:ac:a0:de:u9,00:1a:ac:a0:de:q3,00:1a:ac:a0:de:s8,f0:b0:52:6a:26:78,00:1a:ac:a0:de:q9,00:1a:ac:a0:de:v5,00:1a:ac:a0:de:v6
2021.01.19 085540,19.0,24.0,34.68475553658537,11.599755850609757,-30.75256056707317,0.08293826353902439,1.0169536211585364,9.626561423780489,-0.0019142579759146338,-0.0013714520556256098,0.0004172210190243906,-0.1052555571332937,-0.008641385401307615,-1.1716798100529648,1024.5469554878048,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-52.0,-57.0,-70.0,-100.0,-89.0,-61.0,-57.0,-70.0,-53.0,-80.0,-76.0,-60.0,-60.0,-70.0,-100.0,-100.0,-74.0,-100.0,-100.0,-65.0,-58.0,-28.0,-39.0,-72.0,-65.0,-100.0,-52.0,-66.0,-63.0,-59.0,-58.0,-28.0,-39.0,-72.0,-65.0,-85.0,-53.0,-66.0,-65.0,-84.0,-49.0,-100.0,-100.0,-100.0,-38.0,-64.0,-47.0,-100.0,-100.0,-39.0,-64.0,-47.0,-100.0,-100.0,-58.0,-72.0,-100.0,-65.0,-56.0,-59.0,-79.0,-88.0,-80.0,-87.0,-78.0,-100.0,-100.0,-100.0,-100.0,-69.0,-83.0,-76.0,-100.0,-71.0,-100.0,-100.0,-68.0,-74.0,-88.0,-100.0,-78.0,-100.0,-100.0,-82.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.19 085553,20.0,24.0,37.36631512280702,11.071929567251463,-31.885613590643278,0.08311353917660819,1.0803920063157895,9.63337174269006,-0.00013685887573099465,-0.0026367907973146197,0.0009334199321637427,-0.11170149869040435,-0.008603061932991408,-1.2024438053543804,1024.547811111111,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-62.0,-52.0,-75.0,-100.0,-100.0,-100.0,-53.0,-75.0,-58.0,-81.0,-100.0,-58.0,-63.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-55.0,-51.0,-23.0,-38.0,-81.0,-100.0,-100.0,-58.0,-70.0,-58.0,-51.0,-61.0,-25.0,-38.0,-81.0,-100.0,-100.0,-58.0,-71.0,-59.0,-87.0,-40.0,-100.0,-74.0,-100.0,-48.0,-66.0,-49.0,-75.0,-100.0,-49.0,-67.0,-48.0,-100.0,-100.0,-58.0,-100.0,-55.0,-100.0,-61.0,-61.0,-79.0,-84.0,-79.0,-84.0,-82.0,-100.0,-73.0,-100.0,-73.0,-59.0,-80.0,-76.0,-72.0,-70.0,-100.0,-100.0,-100.0,-100.0,-88.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.19 085716,26.0,24.0,39.65890189634146,11.278536289634149,-35.005609335365854,0.04690734767926829,1.0486631667073172,9.645715625,-0.002763509720121951,-0.003163075130858537,-0.0030468319559756097,-0.10829027274214635,-0.0048584207832053595,-1.2110762734238694,1024.5593914634146,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-59.0,-59.0,-71.0,-100.0,-100.0,-59.0,-56.0,-71.0,-58.0,-100.0,-100.0,-59.0,-58.0,-100.0,-100.0,-100.0,-81.0,-100.0,-100.0,-57.0,-58.0,-29.0,-41.0,-80.0,-100.0,-100.0,-100.0,-70.0,-57.0,-59.0,-50.0,-29.0,-41.0,-80.0,-100.0,-100.0,-100.0,-71.0,-57.0,-88.0,-41.0,-100.0,-100.0,-100.0,-100.0,-66.0,-47.0,-100.0,-100.0,-100.0,-66.0,-47.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-100.0,-52.0,-82.0,-85.0,-81.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-85.0,-77.0,-100.0,-71.0,-100.0,-100.0,-66.0,-69.0,-88.0,-100.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.19 085729,27.0,24.0,36.563189625766874,13.69766833435583,-31.99730021472393,0.013675275585276071,1.1521456073619631,9.627467187116563,0.0011933121638036809,-0.005007622138868712,-0.003396002233742331,-0.11909521334558903,-0.0014151893801708664,-1.1270100375625984,1024.5685809815952,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-69.0,-100.0,-63.0,-57.0,-71.0,-70.0,-100.0,-63.0,-56.0,-71.0,-74.0,-100.0,-100.0,-70.0,-49.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-59.0,-44.0,-59.0,-83.0,-78.0,-100.0,-63.0,-74.0,-49.0,-59.0,-48.0,-43.0,-59.0,-83.0,-100.0,-100.0,-61.0,-74.0,-49.0,-100.0,-57.0,-100.0,-81.0,-100.0,-56.0,-80.0,-42.0,-81.0,-100.0,-56.0,-80.0,-42.0,-100.0,-100.0,-100.0,-66.0,-100.0,-100.0,-100.0,-48.0,-69.0,-82.0,-70.0,-82.0,-75.0,-100.0,-100.0,-100.0,-100.0,-71.0,-81.0,-69.0,-58.0,-71.0,-100.0,-70.0,-81.0,-100.0,-78.0,-100.0,-63.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-51.0,-67.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.19 085918,28.0,24.0,34.66463375609756,15.873292371951221,-29.82695081097561,0.2800279585304878,0.8357478975609756,9.656781832317073,-0.005598073306402438,-0.003360488905307317,0.005542529409878049,-0.08628950820009153,-0.028963466986968344,-1.0949381873375033,1024.5896213414635,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-100.0,-100.0,-100.0,-100.0,-61.0,-89.0,-60.0,-58.0,-72.0,-59.0,-88.0,-60.0,-56.0,-72.0,-72.0,-100.0,-100.0,-77.0,-49.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-46.0,-59.0,-76.0,-81.0,-100.0,-57.0,-71.0,-48.0,-63.0,-51.0,-45.0,-59.0,-76.0,-100.0,-100.0,-56.0,-71.0,-48.0,-100.0,-60.0,-100.0,-100.0,-100.0,-100.0,-80.0,-41.0,-100.0,-100.0,-100.0,-80.0,-41.0,-100.0,-100.0,-100.0,-60.0,-100.0,-100.0,-70.0,-51.0,-73.0,-79.0,-73.0,-79.0,-72.0,-100.0,-100.0,-68.0,-100.0,-100.0,-100.0,-63.0,-66.0,-100.0,-100.0,-63.0,-83.0,-100.0,-67.0,-100.0,-61.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-46.0,-100.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.19 085932,29.0,24.0,35.55864972392638,14.549447585889569,-28.436686834355825,0.3014289158282209,0.9631741574233128,9.636956119631904,-0.0016399034957055214,-0.0030101302168895703,-0.0023466632233128835,-0.09956831407327589,-0.03126466186842848,-1.129744061663107,1024.5899858895707,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,-58.0,-100.0,-71.0,-69.0,-100.0,-58.0,-100.0,-71.0,-100.0,-100.0,-100.0,-80.0,-48.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-49.0,-59.0,-75.0,-100.0,-100.0,-58.0,-70.0,-45.0,-62.0,-52.0,-49.0,-59.0,-76.0,-100.0,-100.0,-57.0,-70.0,-45.0,-100.0,-55.0,-100.0,-81.0,-100.0,-67.0,-81.0,-32.0,-80.0,-100.0,-100.0,-81.0,-33.0,-100.0,-100.0,-100.0,-67.0,-100.0,-66.0,-100.0,-48.0,-69.0,-79.0,-69.0,-79.0,-75.0,-100.0,-100.0,-66.0,-100.0,-100.0,-85.0,-56.0,-69.0,-74.0,-100.0,-100.0,-77.0,-100.0,-71.0,-100.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-68.0,-54.0,-100.0,-100.0,-79.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.19 085945,30.0,24.0,36.82993973053893,13.66526918263473,-27.630179203592814,0.24615152101796411,0.8519460591616768,9.647565517964074,-1.0779862275448871e-05,-0.0033951047619784425,-0.0017354389140119759,-0.0880444010351589,-0.025509821216225408,-1.1684856471901168,1024.5863101796406,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-100.0,-100.0,-58.0,-53.0,-72.0,-100.0,-100.0,-57.0,-53.0,-72.0,-100.0,-100.0,-100.0,-100.0,-50.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-77.0,-62.0,-46.0,-59.0,-77.0,-100.0,-100.0,-54.0,-72.0,-42.0,-62.0,-47.0,-46.0,-59.0,-77.0,-100.0,-100.0,-55.0,-72.0,-42.0,-100.0,-60.0,-100.0,-100.0,-100.0,-59.0,-84.0,-38.0,-100.0,-100.0,-61.0,-84.0,-39.0,-100.0,-100.0,-64.0,-62.0,-100.0,-100.0,-100.0,-49.0,-67.0,-81.0,-68.0,-82.0,-71.0,-66.0,-68.0,-66.0,-68.0,-83.0,-87.0,-64.0,-100.0,-83.0,-100.0,-75.0,-100.0,-100.0,-76.0,-100.0,-57.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-72.0,-56.0,-100.0,-100.0,-84.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.19 085959,31.0,24.0,38.94141956213017,13.1190529852071,-29.340354562130177,0.15262439282840237,0.8643898743786983,9.651562606508875,-0.0014408792334319527,-0.004891046261394083,-0.0033112257060355027,-0.08932274615270848,-0.01578572685499643,-1.1930545667219443,1024.5799390532545,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-100.0,-90.0,-62.0,-52.0,-68.0,-100.0,-90.0,-100.0,-53.0,-68.0,-100.0,-100.0,-100.0,-79.0,-47.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-74.0,-61.0,-53.0,-64.0,-77.0,-72.0,-100.0,-58.0,-71.0,-41.0,-64.0,-43.0,-53.0,-64.0,-78.0,-72.0,-100.0,-58.0,-71.0,-41.0,-100.0,-57.0,-100.0,-100.0,-100.0,-57.0,-86.0,-31.0,-100.0,-100.0,-61.0,-85.0,-31.0,-100.0,-100.0,-100.0,-57.0,-100.0,-100.0,-100.0,-43.0,-65.0,-81.0,-65.0,-81.0,-100.0,-67.0,-66.0,-67.0,-100.0,-100.0,-90.0,-57.0,-100.0,-82.0,-100.0,-100.0,-85.0,-100.0,-83.0,-100.0,-58.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-57.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-85.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.19 090122,37.0,24.0,26.726295981481474,-2.3944444160493825,-26.790740351851856,0.2017546003518518,0.9073562544444445,9.653996885802469,-0.0005137376975308637,-0.0027572571879975315,0.0006887166733333334,-0.09368685269613321,-0.020876958984939086,-1.5682332773267487,1024.5740796296298,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-100.0,-100.0,-100.0,-100.0,-72.0,-100.0,-56.0,-57.0,-65.0,-100.0,-100.0,-48.0,-57.0,-64.0,-100.0,-100.0,-100.0,-100.0,-50.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-47.0,-68.0,-84.0,-100.0,-100.0,-64.0,-75.0,-41.0,-100.0,-44.0,-47.0,-69.0,-85.0,-100.0,-100.0,-65.0,-75.0,-41.0,-100.0,-57.0,-100.0,-100.0,-100.0,-68.0,-91.0,-27.0,-100.0,-100.0,-80.0,-90.0,-27.0,-100.0,-100.0,-100.0,-60.0,-100.0,-100.0,-73.0,-44.0,-67.0,-79.0,-67.0,-79.0,-70.0,-56.0,-64.0,-58.0,-65.0,-100.0,-88.0,-57.0,-100.0,-100.0,-100.0,-74.0,-100.0,-100.0,-82.0,-86.0,-57.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-63.0,-84.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.19 090143,38.0,24.0,24.213864748466257,-1.8750919955214722,-23.667607141104295,0.14135034641349695,1.0128810621472393,9.647590822085888,-0.0015162312886503068,-0.002328059860420859,-0.0014359867552147239,-0.10459093754094066,-0.014648964660002184,-1.547483629975582,1024.5692159509204,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-69.0,-88.0,-100.0,-100.0,-100.0,-60.0,-88.0,-52.0,-58.0,-69.0,-65.0,-88.0,-52.0,-58.0,-69.0,-78.0,-100.0,-100.0,-86.0,-53.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-54.0,-73.0,-76.0,-78.0,-100.0,-61.0,-73.0,-45.0,-100.0,-43.0,-53.0,-73.0,-75.0,-79.0,-100.0,-61.0,-73.0,-45.0,-100.0,-69.0,-100.0,-100.0,-100.0,-72.0,-100.0,-46.0,-100.0,-100.0,-70.0,-100.0,-47.0,-100.0,-100.0,-100.0,-61.0,-100.0,-100.0,-100.0,-45.0,-70.0,-72.0,-70.0,-72.0,-56.0,-56.0,-54.0,-55.0,-53.0,-100.0,-100.0,-61.0,-100.0,-100.0,-100.0,-73.0,-100.0,-100.0,-83.0,-100.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-62.0,-100.0,-100.0,-100.0,-100.0,-88.0,-100.0,-65.0,-82.0,-75.0,-87.0,-69.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.19 090157,39.0,24.0,22.20962939506173,1.1618518274074074,-22.957407129629626,0.1514452720148148,0.9849337146296296,9.64091700617284,-0.0009963964555555558,-0.0037602828026888887,0.0010280862260493827,-0.1018015209263489,-0.01568963713361877,-1.4186979201104906,1024.566988271605,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-100.0,-53.0,-57.0,-68.0,-100.0,-100.0,-53.0,-56.0,-68.0,-100.0,-100.0,-100.0,-100.0,-59.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-56.0,-75.0,-79.0,-100.0,-100.0,-60.0,-78.0,-55.0,-79.0,-52.0,-56.0,-75.0,-79.0,-100.0,-100.0,-61.0,-78.0,-55.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-52.0,-100.0,-100.0,-77.0,-100.0,-52.0,-100.0,-100.0,-83.0,-61.0,-100.0,-100.0,-100.0,-52.0,-71.0,-71.0,-71.0,-71.0,-52.0,-56.0,-100.0,-58.0,-100.0,-100.0,-100.0,-72.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-100.0,-51.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-66.0,-82.0,-78.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.19 090210,40.0,24.0,21.469580568862277,8.018442893413173,-24.635927832335327,0.26863189861676645,0.8596736852095807,9.656884529940122,-0.0031419214332335335,-0.0026781613471437123,0.002076067643952096,-0.08878974683448937,-0.02782066208366189,-1.1420815433570726,1024.561825748503,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-65.0,-85.0,-52.0,-61.0,-60.0,-100.0,-86.0,-51.0,-61.0,-60.0,-100.0,-100.0,-100.0,-86.0,-60.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-60.0,-73.0,-79.0,-100.0,-100.0,-100.0,-79.0,-61.0,-85.0,-59.0,-59.0,-73.0,-78.0,-100.0,-100.0,-62.0,-78.0,-61.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-48.0,-100.0,-100.0,-100.0,-100.0,-48.0,-100.0,-100.0,-100.0,-63.0,-100.0,-100.0,-100.0,-58.0,-73.0,-64.0,-73.0,-64.0,-54.0,-56.0,-55.0,-57.0,-55.0,-100.0,-100.0,-66.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-60.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.0,-86.0,-78.0,-100.0,-67.0,-81.0,-78.0,-82.0,-65.0,-82.0,-89.0,-82.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
